fold,param_id,threshold,train_labeled_candidates,valid_labeled_candidates,precision_bad_trade,recall_bad_trade,pr_auc,top_decile_bad_rate,filtered_trade_bad_rate,kept_trade_bad_rate,scored_samples,filtered_samples,n_total,n_bad,n_good,minority_class_ratio,bad_class_weight,good_class_weight,scale_pos_weight
WF1,lgbm_01,0.5,8553,9857,0.7141253807920475,0.6366495140080046,0.7200234608240931,0.731237322515213,0.7141253807920475,0.7022099447513812,9857,6237,8553,6225,2328,0.27218519817607856,0.6869879518072289,1.8369845360824741,1.0
WF2,lgbm_06,0.6,13089,9423,0.7620578778135049,0.3771701388888889,0.7604483922774883,0.8048780487804879,0.7620578778135049,0.7172609130289903,9423,3421,13089,9567,3522,0.26908090763236303,0.6840702414550016,1.8581771720613287,1.0
WF3,lgbm_06,0.55,18171,8288,0.8018414731785428,0.3085335797905114,0.7917487861503965,0.8021712907117008,0.8018414731785428,0.7753022452504318,8288,2498,18171,13200,4971,0.2735677728248308,0.6882954545454546,1.827700663850332,1.0
WF4,lgbm_01,0.5,22617,9017,0.7953230472516876,0.46675155631013016,0.7839516460081484,0.7716186252771619,0.7953230472516876,0.7740809201067981,9017,4148,22617,16466,6151,0.2719635672281912,0.6867788169561521,1.8384815477158185,1.0
WF5,lgbm_01,0.5,26558,12404,0.7124886329190664,0.5171048289517105,0.7014926088249398,0.6390008058017728,0.7124886329190664,0.7561143644505683,12404,6598,26558,19656,6902,0.2598840274117027,0.6755698005698005,1.9239350912778905,1.0
