version,period,stage,sizing,risk_budget_per_trade,single_stock_max_weight,max_positions,max_daily_new_weight,max_industry_weight,rows,trades,win_rate,total_return_with_cost,total_return_without_cost,annual_return_with_cost,max_drawdown,return_drawdown_ratio,turnover_mean,cost_sum,cost_ratio,avg_positions,avg_cash_ratio,max_single_stock_weight_observed,max_industry_weight_observed,ending_account,stop_time_trades,stop_time_trade_ratio,fold,train_start,train_end,valid_start,valid_end,valid_executable_end,selected_threshold,selected_param_id
no_model_gate,WF1,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,486,168,0.23214285714285715,-0.05218903304286027,-0.04342379750301317,-0.027410031864233297,-0.12137024689304665,-0.2258381486888417,0.019029672651532357,8890.036498975755,0.008890036498975755,4.397119341563786,0.8735799017296344,0.04826126522610809,0.21063489572361174,947810.9669571398,105,0.625,WF1,2017-01-01,2018-12-31,2019-01-01,2020-12-31,2020-12-30,,lgbm_01
rule_pullback_hard_gate,WF1,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,486,66,0.25757575757575757,-0.00834830342078241,-0.004830698030181324,-0.004337485795719465,-0.07137984289055688,-0.06076625585138809,0.007314413866045352,3514.3055036067963,0.003514305503606796,1.8888888888888888,0.9463636907635428,0.046574568596272604,0.14950022897771528,991651.6965792176,43,0.6515151515151515,WF1,2017-01-01,2018-12-31,2019-01-01,2020-12-31,2020-12-30,,lgbm_01
lgbm_pullback_bad_trade_gate,WF1,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,486,91,0.2087912087912088,-0.027119060697008424,-0.022344623697893695,-0.014154790041228993,-0.06918565047331604,-0.20459141374537343,0.010137353764069133,4797.073497223854,0.004797073497223854,2.4176954732510287,0.9311035344431365,0.04716358072453027,0.11186923158704094,972880.9393029916,65,0.7142857142857143,WF1,2017-01-01,2018-12-31,2019-01-01,2020-12-31,2020-12-30,0.5,lgbm_01
no_model_gate,WF2,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,485,121,0.23140495867768596,-0.03718608467947304,-0.030751369958254338,-0.019497256859166034,-0.06403186889648427,-0.30449301566827375,0.013737302653609038,6509.076503622533,0.006509076503622533,3.0618556701030926,0.9145075939288633,0.04675064349368182,0.15008128815915875,962813.9153205269,76,0.628099173553719,WF2,2017-01-01,2019-12-31,2020-01-01,2021-12-31,2021-12-30,,lgbm_06
rule_pullback_hard_gate,WF2,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,485,40,0.3,0.020723452460217562,0.02293912605075832,0.010714590422534531,-0.023230815561190554,0.46122317119310896,0.0044475331018669715,2197.54949862957,0.00219754949862957,1.2927835051546392,0.9621223551932058,0.04822843623931494,0.07597232957294861,1020723.4524602175,24,0.6,WF2,2017-01-01,2019-12-31,2020-01-01,2021-12-31,2021-12-30,,lgbm_06
lgbm_pullback_bad_trade_gate,WF2,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,485,105,0.2761904761904762,-0.009109028245473327,-0.0033357450615363327,-0.00474334108389185,-0.05754113119934956,-0.08243392135373015,0.011963381470874765,5758.029510045051,0.005758029510045051,2.775257731958763,0.921964774671626,0.046413968884177426,0.14973141300624662,990890.9717545267,64,0.6095238095238096,WF2,2017-01-01,2019-12-31,2020-01-01,2021-12-31,2021-12-30,0.6,lgbm_06
no_model_gate,WF3,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,484,46,0.1956521739130435,-0.04888706643021101,-0.0465753558738653,-0.025759244619694366,-0.06391604335209633,-0.40301688384860745,0.005087603598011044,2373.0590049028397,0.0023730590049028397,0.8388429752066116,0.9768620807066748,0.036214611181852124,0.06319257485478146,951112.9335697889,34,0.7391304347826086,WF3,2017-01-01,2020-12-31,2021-01-01,2022-12-31,2022-12-29,,lgbm_06
rule_pullback_hard_gate,WF3,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,484,14,0.14285714285714285,-0.019295703651976415,-0.018626871430697634,-0.010093431876402326,-0.023151040338272533,-0.4359817843570597,0.0014560087886061866,673.69899995327,0.00067369899995327,0.3822314049586777,0.990010705720512,0.030808600300358157,0.030808600300358157,980704.2963480236,9,0.6428571428571429,WF3,2017-01-01,2020-12-31,2021-01-01,2022-12-31,2022-12-29,,lgbm_06
lgbm_pullback_bad_trade_gate,WF3,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,484,40,0.2,-0.04784401666729454,-0.04581069299268614,-0.025203109511900745,-0.060723148603092914,-0.4150494513490533,0.0044500034827446005,2086.013003277779,0.002086013003277779,0.7396694214876033,0.9796960074857177,0.03624208896588623,0.06331717572591834,952155.9833327055,29,0.725,WF3,2017-01-01,2020-12-31,2021-01-01,2022-12-31,2022-12-29,0.55,lgbm_06
no_model_gate,WF4,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,483,50,0.18,-0.018543146396398313,-0.015869123183438694,-0.00971798140789093,-0.032380532138578055,-0.3001180266680349,0.00564671931383641,2686.1305005550385,0.0026861305005550385,1.0828157349896481,0.9685526705103602,0.05303766382924697,0.14275795769940322,981456.8536036017,39,0.78,WF4,2017-01-01,2021-12-31,2022-01-01,2023-12-31,2023-12-28,,lgbm_01
rule_pullback_hard_gate,WF4,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,483,17,0.29411764705882354,0.008651315571451157,0.009606612403491033,0.004504431486652916,-0.011852435124356409,0.3800427034100731,0.0019506264048282358,941.68150267601,0.0009416815026760101,0.525879917184265,0.9843464742292888,0.052763373666444235,0.09137855283747616,1008651.3155714512,13,0.7647058823529411,WF4,2017-01-01,2021-12-31,2022-01-01,2023-12-31,2023-12-28,,lgbm_01
lgbm_pullback_bad_trade_gate,WF4,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,483,42,0.21428571428571427,-0.007774740137338254,-0.005513003909739522,-0.0040639567302209745,-0.025370547393398724,-0.16018403809759318,0.0047198880519999905,2255.7294981479645,0.0022557294981479644,0.9875776397515528,0.9712179466337194,0.052836106892550465,0.12387356283929012,992225.2598626617,31,0.7380952380952381,WF4,2017-01-01,2021-12-31,2022-01-01,2023-12-31,2023-12-28,0.5,lgbm_01
no_model_gate,WF5,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,483,167,0.30538922155688625,-0.02473931352784653,-0.01650942123417487,-0.012984772882134732,-0.07329437779826031,-0.17715919381804116,0.01786095144892381,8337.322518134117,0.008337322518134117,3.536231884057971,0.8982154267196931,0.05434909156572767,0.2138235882233454,975260.6864721535,96,0.5748502994011976,WF5,2017-01-01,2022-12-31,2023-01-01,2024-12-31,2024-12-30,,lgbm_01
rule_pullback_hard_gate,WF5,explore6_replay,risk_unit,0.005,0.03,20,0.2,0.2,483,46,0.32608695652173914,0.0078638339878081,0.010295887385950664,0.004095184285191289,-0.022188690263801436,0.18456178514836274,0.005049635142140177,2442.169010543824,0.0024421690105438237,1.3623188405797102,0.9598945240212639,0.05457329140995965,0.14291268593499473,1007863.8339878082,30,0.6521739130434783,WF5,2017-01-01,2022-12-31,2023-01-01,2024-12-31,2024-12-30,,lgbm_01
