version,calendar_year,year_return_with_cost,max_drawdown,trades,net_pnl_sum,year_instances,folds
lgbm_pullback_bad_trade_gate,2019,-0.009927927325463437,-0.03467369073246884,35.0,-21760.824106526372,1,WF1
lgbm_pullback_bad_trade_gate,2020,-0.00793643145103079,-0.05754113119934956,71.0,1174.9959019780072,2,"WF1,WF2"
lgbm_pullback_bad_trade_gate,2021,-0.016700863046765213,-0.034984606905427595,22.0,-24226.239419603357,2,"WF2,WF3"
lgbm_pullback_bad_trade_gate,2022,-0.021386641936638418,-0.02541485039918534,15.5,-17335.7904638052,2,"WF3,WF4"
lgbm_pullback_bad_trade_gate,2023,0.010685014624435274,-0.025370547393398724,25.5,11079.554075849053,2,"WF4,WF5"
lgbm_pullback_bad_trade_gate,2024,-0.0201198769406169,-0.057388744444896056,97.0,-21841.114248931408,1,WF5
no_model_gate,2019,-0.028037699883162848,-0.07012057821799933,72.0,-40657.61580990552,1,WF1
no_model_gate,2020,-0.022517891089981923,-0.07307939630345628,97.5,-12763.536685311796,2,"WF1,WF2"
no_model_gate,2021,-0.019703908020465566,-0.03500180170941869,25.0,-27048.101232004174,2,"WF2,WF3"
no_model_gate,2022,-0.022992850109142704,-0.028711435274692998,18.0,-18876.688999581336,2,"WF3,WF4"
no_model_gate,2023,0.0005298291721508308,-0.0326352391944883,32.0,1006.2461215496039,2,"WF4,WF5"
no_model_gate,2024,-0.025762135975372247,-0.06851333596220477,135.0,-27408.875883197794,1,WF5
rule_pullback_hard_gate,2019,-0.01314980505847918,-0.050748490923741674,31.0,-22971.13524808883,1,WF1
rule_pullback_hard_gate,2020,0.012703141732861023,-0.027600742255975308,35.5,20459.71777089834,2,"WF1,WF2"
rule_pullback_hard_gate,2021,-0.002742120439386486,-0.01384538574168992,5.0,-8008.739467525485,2,"WF2,WF3"
rule_pullback_hard_gate,2022,-0.011307863680542873,-0.01554001624307999,8.0,-9379.98761473894,2,"WF3,WF4"
rule_pullback_hard_gate,2023,0.01851437434346126,-0.010806037723110284,9.0,18912.002251386642,2,"WF4,WF5"
rule_pullback_hard_gate,2024,-0.011233283275809525,-0.022038250364846412,37.0,-11689.137002182015,1,WF5
