version,fold,calendar_year,dimension,group_value,trades,stop_loss_count,time_stop_count,stop_time_ratio,net_pnl_sum,return_contribution,avg_cost_after_return
lgbm_pullback_bad_trade_gate,WF1,2019,entry_type,breakout,23,0,18,0.782608695652174,-17662.167677187917,-0.017662167677187916,-0.02906869713296756
lgbm_pullback_bad_trade_gate,WF1,2019,entry_type,pullback,12,2,4,0.5,-4098.656429338456,-0.004098656429338456,-0.012276242366738618
lgbm_pullback_bad_trade_gate,WF1,2019,exit_reason,ema60_exit,1,0,0,0.0,-4315.63441467285,-0.0043156344146728495,-0.14865859301116746
lgbm_pullback_bad_trade_gate,WF1,2019,exit_reason,stop_loss,2,2,0,1.0,-5754.676192045214,-0.005754676192045213,-0.09732614586309124
lgbm_pullback_bad_trade_gate,WF1,2019,exit_reason,time_stop,22,0,22,1.0,-24651.53621969223,-0.024651536219692228,-0.04156155784957515
lgbm_pullback_bad_trade_gate,WF1,2019,exit_reason,trailing_stop,10,0,0,0.0,12961.02271988392,0.01296102271988392,0.04417702149688858
lgbm_pullback_bad_trade_gate,WF1,2019,industry_sync,industry_sync_on,35,2,22,0.6857142857142857,-21760.824106526372,-0.021760824106526373,-0.023311284070260497
lgbm_pullback_bad_trade_gate,WF1,2019,market_trend,market_trend_on,35,2,22,0.6857142857142857,-21760.824106526372,-0.021760824106526373,-0.023311284070260497
lgbm_pullback_bad_trade_gate,WF1,2019,pullback_money,not_pullback,23,0,18,0.782608695652174,-17662.167677187917,-0.017662167677187916,-0.02906869713296756
lgbm_pullback_bad_trade_gate,WF1,2019,pullback_money,pullback_money_other,2,1,1,1.0,-4057.274807596208,-0.004057274807596208,-0.06994426407582335
lgbm_pullback_bad_trade_gate,WF1,2019,pullback_money,pullback_money_weak,10,1,3,0.4,-41.38162174224772,-4.1381621742247715e-05,-0.0007426380249216733
lgbm_pullback_bad_trade_gate,WF1,2019,pullback_top10_20,False,28,1,20,0.75,-23930.130385136603,-0.023930130385136604,-0.03181582571090916
