fold,dimension,group_value,samples,bad_trades,good_or_neutral,bad_rate
WF1,entry_type,pullback,18499,13272,5227,0.7174441861722255
WF2,entry_type,pullback,22955,16687,6268,0.726944020910477
WF3,entry_type,pullback,26787,19764,7023,0.7378205846119387
WF4,entry_type,pullback,31972,23755,8217,0.7429938696359314
WF5,entry_type,pullback,39191,28855,10336,0.7362659794340537
WF1,fold_role,train,8642,6276,2366,0.7262207822263365
WF1,fold_role,valid,9857,6996,2861,0.7097494166582125
WF2,fold_role,train,13532,9775,3757,0.7223618090452262
WF2,fold_role,valid,9423,6912,2511,0.7335243553008596
WF3,fold_role,train,18499,13272,5227,0.7174441861722255
WF3,fold_role,valid,8288,6492,1796,0.7833011583011583
WF4,fold_role,train,22955,16687,6268,0.726944020910477
WF4,fold_role,valid,9017,7068,1949,0.7838527226350227
WF5,fold_role,train,26787,19764,7023,0.7378205846119387
WF5,fold_role,valid,12404,9091,3313,0.7329087391164141
WF1,pullback_money_weak,False,7150,5111,2039,0.7148251748251748
WF1,pullback_money_weak,True,11349,8161,3188,0.7190941933209974
WF2,pullback_money_weak,False,8798,6379,2419,0.7250511479881792
WF2,pullback_money_weak,True,14157,10308,3849,0.7281203644840009
WF3,pullback_money_weak,False,10233,7542,2691,0.7370272647317502
WF3,pullback_money_weak,True,16554,12222,4332,0.738310982239942
WF4,pullback_money_weak,False,12166,9023,3143,0.7416570771001151
WF4,pullback_money_weak,True,19806,14732,5074,0.7438150055538726
WF5,pullback_money_weak,False,14850,10898,3952,0.7338720538720539
WF5,pullback_money_weak,True,24341,17957,6384,0.73772646974241
WF1,pullback_top10_20,False,18215,13064,5151,0.7172110897611859
WF1,pullback_top10_20,True,284,208,76,0.7323943661971831
WF2,pullback_top10_20,False,22646,16460,6186,0.7268391768965822
WF2,pullback_top10_20,True,309,227,82,0.7346278317152104
WF3,pullback_top10_20,False,26468,19528,6940,0.7377965845549342
WF3,pullback_top10_20,True,319,236,83,0.7398119122257053
WF4,pullback_top10_20,False,31608,23481,8127,0.7428815489749431
WF4,pullback_top10_20,True,364,274,90,0.7527472527472527
WF5,pullback_top10_20,False,38641,28442,10199,0.7360575554462876
WF5,pullback_top10_20,True,550,413,137,0.7509090909090909
WF1,width_regime,width_neutral,5354,3725,1629,0.6957415016809861
WF1,width_regime,width_strong,8824,6461,2363,0.732207615593835
WF1,width_regime,width_weak,4321,3086,1235,0.714186530895626
WF2,width_regime,width_neutral,8651,6237,2414,0.720957114784418
WF2,width_regime,width_strong,9334,6873,2461,0.7363402614098993
WF2,width_regime,width_weak,4970,3577,1393,0.719718309859155
WF3,width_regime,width_neutral,10198,7491,2707,0.7345557952539714
WF3,width_regime,width_strong,9835,7296,2539,0.7418403660396543
WF3,width_regime,width_weak,6754,4977,1777,0.7368966538347645
WF4,width_regime,width_neutral,12042,8838,3204,0.7339312406576981
WF4,width_regime,width_strong,11444,8564,2880,0.7483397413491786
WF4,width_regime,width_weak,8486,6353,2133,0.7486448267735093
WF5,width_regime,width_neutral,13025,9500,3525,0.7293666026871402
WF5,width_regime,width_strong,16477,12196,4281,0.7401832857923165
WF5,width_regime,width_weak,9689,7159,2530,0.7388791412942513
WF1,market_trend_regime,market_trend_off,5200,3679,1521,0.7075
WF1,market_trend_regime,market_trend_on,13299,9593,3706,0.7213324310098503
WF2,market_trend_regime,market_trend_off,8432,6126,2306,0.7265180265654649
WF2,market_trend_regime,market_trend_on,14523,10561,3962,0.7271913516491083
WF3,market_trend_regime,market_trend_off,11445,8542,2903,0.7463521188291831
WF3,market_trend_regime,market_trend_on,15342,11222,4120,0.7314561334897667
WF4,market_trend_regime,market_trend_off,14955,11283,3672,0.7544633901705116
WF4,market_trend_regime,market_trend_on,17017,12472,4545,0.7329141446788505
WF5,market_trend_regime,market_trend_off,17207,12813,4394,0.7446388097867147
WF5,market_trend_regime,market_trend_on,21984,16042,5942,0.7297125181950509
WF1,industry_sync_regime,industry_sync_off,12146,8657,3489,0.7127449366046436
WF1,industry_sync_regime,industry_sync_on,6353,4615,1738,0.72642845899575
WF2,industry_sync_regime,industry_sync_off,14063,10135,3928,0.7206854867382493
WF2,industry_sync_regime,industry_sync_on,8892,6552,2340,0.7368421052631579
WF3,industry_sync_regime,industry_sync_off,16294,11895,4399,0.7300233214680251
WF3,industry_sync_regime,industry_sync_on,10493,7869,2624,0.7499285237777567
WF4,industry_sync_regime,industry_sync_off,19808,14517,5291,0.7328857027463651
WF4,industry_sync_regime,industry_sync_on,12164,9238,2926,0.7594541269319303
WF5,industry_sync_regime,industry_sync_off,23784,17256,6528,0.7255297679112008
WF5,industry_sync_regime,industry_sync_on,15407,11599,3808,0.752839618355293
WF1,calendar_year,2017,6004,4040,1964,0.6728847435043305
WF1,calendar_year,2018,2638,2236,402,0.8476118271417741
WF1,calendar_year,2019,4890,3499,1391,0.7155419222903886
WF1,calendar_year,2020,4967,3497,1470,0.7040467082746125
WF2,calendar_year,2017,6004,4040,1964,0.6728847435043305
WF2,calendar_year,2018,2638,2236,402,0.8476118271417741
WF2,calendar_year,2019,4890,3499,1391,0.7155419222903886
WF2,calendar_year,2020,4967,3497,1470,0.7040467082746125
WF2,calendar_year,2021,4456,3415,1041,0.7663824057450629
WF3,calendar_year,2017,6004,4040,1964,0.6728847435043305
WF3,calendar_year,2018,2638,2236,402,0.8476118271417741
WF3,calendar_year,2019,4890,3499,1391,0.7155419222903886
WF3,calendar_year,2020,4967,3497,1470,0.7040467082746125
WF3,calendar_year,2021,4456,3415,1041,0.7663824057450629
WF3,calendar_year,2022,3832,3077,755,0.8029749478079332
WF4,calendar_year,2017,6004,4040,1964,0.6728847435043305
WF4,calendar_year,2018,2638,2236,402,0.8476118271417741
WF4,calendar_year,2019,4890,3499,1391,0.7155419222903886
WF4,calendar_year,2020,4967,3497,1470,0.7040467082746125
WF4,calendar_year,2021,4456,3415,1041,0.7663824057450629
WF4,calendar_year,2022,3832,3077,755,0.8029749478079332
WF4,calendar_year,2023,5185,3991,1194,0.7697203471552555
WF5,calendar_year,2017,6004,4040,1964,0.6728847435043305
WF5,calendar_year,2018,2638,2236,402,0.8476118271417741
WF5,calendar_year,2019,4890,3499,1391,0.7155419222903886
WF5,calendar_year,2020,4967,3497,1470,0.7040467082746125
WF5,calendar_year,2021,4456,3415,1041,0.7663824057450629
WF5,calendar_year,2022,3832,3077,755,0.8029749478079332
WF5,calendar_year,2023,5185,3991,1194,0.7697203471552555
WF5,calendar_year,2024,7219,5100,2119,0.7064690400332456
