source,key,path,abs_path,category,exists,sha256,used_for_label,used_for_features,used_for_replay,used_for_model_selection,rewritten_to,note
explore6_config,paths.backtest_dir,Explore6/outputs/backtests,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore6/outputs/backtests,rewritten_output_path,True,,False,False,False,False,Explore6/outputs/*,
explore6_config,paths.cache_dir,Explore6/outputs/cache,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore6/outputs/cache,rewritten_output_path,True,,False,False,False,False,Explore6/outputs/*,
explore6_config,paths.industry_membership,Explore4/data/targets/industry_membership.csv,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore4/data/targets/industry_membership.csv,structural_input,True,59c3613ae6fb18111127b1012f056d7cb5737eef8b41db2c7aa1382d9019747f,False,True,True,False,,"features,replay"
explore6_config,paths.provider_uri,Explore1/data/qlib/cn_data,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore1/data/qlib/cn_data,structural_input,True,,True,True,True,False,,"label,features,replay"
explore6_config,paths.report_dir,Explore6/outputs/reports,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore6/outputs/reports,rewritten_output_path,True,,False,False,False,False,Explore6/outputs/*,
explore6_config,paths.target_history,Explore4/data/targets/target_history.csv,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore4/data/targets/target_history.csv,structural_input,True,1e5a39a8545b54f2e9c17ee5e06838c6201d234c579ed6792a84cf1e18544ebc,False,True,False,False,,features
explore6_config,paths.universe_csv,Explore1/data/universe/mcap500_mainboard_20251231.csv,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore1/data/universe/mcap500_mainboard_20251231.csv,structural_input,True,3dfb8f27e3730288acaf7fadcf0fe9b3688134cb1f7a9b2af114272b96d8e771,False,False,False,False,,audit
explore6_config,paths.universe_qlib,Explore1/data/universe/qlib_mcap500_mainboard_20251231.txt,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore1/data/universe/qlib_mcap500_mainboard_20251231.txt,structural_input,True,a434c74d1b6c0c80bfa9f4b1a7a448cfb829fbecb8c89d594d20f22b58176098,False,False,False,False,,audit
explore6_config,sources.source_background_report,Explore5/outputs/reports/explore5_final_report.md,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore5/outputs/reports/explore5_final_report.md,background_reference,True,d11f13ab14b986f8d6a265b67711b408a225dcb83b2e2e91d2eb49ec0a5495c6,False,False,False,False,,
explore6_config,sources.source_rule_config,Explore4/configs/trend_rule_v1_frozen.yaml,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore4/configs/trend_rule_v1_frozen.yaml,structural_input,True,5e8ba37a8ce98ee3efb18139e5e1c0aa1859fd85e0a3df2e0e05872cbc27f3c7,False,False,False,False,,
explore6_config,sources.source_walk_forward_config,Explore5/configs/walk_forward_v1.yaml,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore5/configs/walk_forward_v1.yaml,structural_input,True,898ee7b7334b6ef8c3b424e51ba9a1ebec2f1a366c2b858ffb9091b7f29a3a59,False,False,False,False,,
source_walk_forward_config,explore5.industry_membership_source,Explore4/data/targets/industry_membership.csv,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore4/data/targets/industry_membership.csv,background_reference,True,59c3613ae6fb18111127b1012f056d7cb5737eef8b41db2c7aa1382d9019747f,False,False,False,False,,
source_walk_forward_config,explore5.source_config,Explore4/configs/trend_rule_v1_frozen.yaml,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore4/configs/trend_rule_v1_frozen.yaml,background_reference,True,5e8ba37a8ce98ee3efb18139e5e1c0aa1859fd85e0a3df2e0e05872cbc27f3c7,False,False,False,False,,
source_walk_forward_config,explore5.source_diagnostics[0],Explore4/outputs/diagnostics/valid_trade_attribution.csv,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore4/outputs/diagnostics/valid_trade_attribution.csv,background_reference,True,275a43dea0d177790f4bf03e2bbb18d61f1b4fea3b9a1463a4e0b9cfadd22944,False,False,False,False,,
source_walk_forward_config,explore5.source_diagnostics[1],Explore4/outputs/diagnostics/pullback_rule_diagnostic.csv,/home/xiaolv/code/a_share/topics/01_askhare_qlib/Explore4/outputs/diagnostics/pullback_rule_diagnostic.csv,background_reference,True,0de4287c25e7b769de2c772565b1dcfac3244451c8c97dfb1472b2d30e8b2329,False,False,False,False,,
