fold,train_labeled_candidates,bad_trade_count,good_or_neutral_count,minority_class_ratio,insufficient_label_coverage,bad_class_weight,good_class_weight,class_weight_cap,scale_pos_weight
WF1,8553,6225,2328,0.27218519817607856,False,0.6869879518072289,1.8369845360824741,10.0,1.0
WF2,13089,9567,3522,0.26908090763236303,False,0.6840702414550016,1.8581771720613287,10.0,1.0
WF3,18171,13200,4971,0.2735677728248308,False,0.6882954545454546,1.827700663850332,10.0,1.0
WF4,22617,16466,6151,0.2719635672281912,False,0.6867788169561521,1.8384815477158185,10.0,1.0
WF5,26558,19656,6902,0.2598840274117027,False,0.6755698005698005,1.9239350912778905,10.0,1.0
