metric,value
1day.excess_return_with_cost.max_drawdown,-0.2316981726170728
ICIR,0.0880502405965771
1day.excess_return_without_cost.information_ratio,-0.1917975904129951
1day.excess_return_without_cost.max_drawdown,-0.1490758145185055
l2.valid,0.996414069837699
Rank ICIR,0.05157741391007
IC,0.0084188751620506
1day.excess_return_with_cost.mean,-0.0002582910914767
Rank IC,0.0055476636554922
1day.excess_return_with_cost.information_ratio,-0.8372405783611963
1day.excess_return_with_cost.annualized_return,-0.0614732797714547
1day.excess_return_without_cost.mean,-0.00005917424759921263
1day.excess_return_without_cost.annualized_return,-0.0140834709286126
1day.excess_return_with_cost.std,0.0047593499260173
l2.train,0.9836733484311287
1day.excess_return_without_cost.std,0.0047596835167783
