metric,value
1day.excess_return_with_cost.max_drawdown,-0.19192488597764287
ICIR,0.116953376082755
1day.excess_return_without_cost.information_ratio,1.0445077041064892
1day.excess_return_without_cost.max_drawdown,-0.17437626390495442
l2.valid,0.9962301928804669
Rank ICIR,0.10213403263095337
IC,0.01321400351984552
1day.excess_return_with_cost.mean,0.00016517657948928298
Rank IC,0.011928886671852847
1day.excess_return_with_cost.information_ratio,0.47286456653855985
1day.excess_return_with_cost.annualized_return,0.03931202591844935
1day.excess_return_without_cost.mean,0.0003649103169952313
1day.excess_return_without_cost.annualized_return,0.08684865544486504
1day.excess_return_with_cost.std,0.005388900624813492
l2.train,0.9808073316047763
1day.excess_return_without_cost.std,0.005389679906001062
