metric,fixed_core_baseline,raw_name_confounded_candidate,corrected_candidate,corrected_delta_vs_baseline
IC,0.0084188751620506,0.0121590867752990,0.01321400351984552,0.00479512835779492
Rank IC,0.0055476636554922,0.0100884634341020,0.011928886671852847,0.006381223016360647
ICIR,0.0880502405965771,0.1138917703540132,0.116953376082755,0.0289031354861779
Rank ICIR,0.0515774139100700,0.0883561547072866,0.10213403263095337,0.05055661897546137
1day.excess_return_with_cost.annualized_return,-0.0614732797714547,0.0302701981563725,0.03931202591844935,0.10078530568990404
1day.excess_return_with_cost.information_ratio,-0.8372405783611963,0.3901601068113760,0.47286456653855985,1.310105144899756
1day.excess_return_with_cost.max_drawdown,-0.2316981726170728,-0.1234558196381956,-0.19192488597764287,0.03977328663942992
1day.excess_return_without_cost.annualized_return,-0.0140834709286126,0.0779969907529955,0.08684865544486504,0.10093212637347765
l2.valid,0.9964140698376990,0.9963355327264828,0.9962301928804669,-0.0001838769572321
l2.train,0.9836733484311287,0.9810316480346740,0.9808073316047763,-0.0028660168263524
