check_name,forbidden_token_or_recommendation,found_in_artifact,found_count,self_check_pass,blocking_severity
forbidden_recommendation_absent,candidate_for_industry_p1_refine = true,,0,True,none
forbidden_recommendation_absent,validated_model = true,,0,True,none
forbidden_recommendation_absent,clean_oos_proven_rule = true,,0,True,none
forbidden_recommendation_absent,selected_lgbm_params,,0,True,none
forbidden_recommendation_absent,selected_score_bucket,,0,True,none
forbidden_recommendation_absent,actionable_trade_rule,,0,True,none
forbidden_recommendation_absent,proceed_to_explore10_backtest = true,,0,True,none
forbidden_recommendation_absent,freeze_strategy = true,,0,True,none
forbidden_recommendation_absent,proceed_to_industry_p1_refine,,0,True,none
forbidden_recommendation_absent,validated_industry_model,,0,True,none
forbidden_recommendation_absent,selected_lgbm_model,,0,True,none
