industry,task,fold_id,contract_id,raw_train_rows,train_rows_after_purge,rows_with_train_label_window_end_crossing_validation,rows_with_event_date_crossing_validation,rows_with_feature_asof_crossing_validation,train_label_window_end_date_max,validation_start_date,walk_forward_purge_pass
汽车,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,572,422,0,0,0,2019-12-26,2020-01-01,True
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,800,620,0,0,0,2020-12-25,2021-01-01,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,1075,865,0,0,0,2021-12-24,2022-01-01,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,1300,1064,0,0,0,2022-12-30,2023-01-01,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,1560,1300,0,0,0,2023-12-29,2024-01-01,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,1711,1443,0,0,0,2019-12-26,2020-01-01,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,2363,2116,0,0,0,2020-12-31,2021-01-01,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,3207,2762,0,0,0,2021-12-23,2022-01-01,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,3863,3393,0,0,0,2022-12-27,2023-01-01,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,4626,4230,0,0,0,2023-12-28,2024-01-01,True
电子,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,611,310,0,0,0,2019-12-31,2020-01-01,True
电子,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,1031,661,0,0,0,2020-12-30,2021-01-01,True
电子,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,1610,1092,0,0,0,2021-12-31,2022-01-01,True
电子,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,2015,1524,0,0,0,2022-12-30,2023-01-01,True
电子,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,2494,1941,0,0,0,2023-12-29,2024-01-01,True
电子,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,1819,1256,0,0,0,2019-12-31,2020-01-01,True
电子,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,3070,2301,0,0,0,2020-12-31,2021-01-01,True
电子,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,4757,3742,0,0,0,2021-12-31,2022-01-01,True
电子,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,5989,5028,0,0,0,2022-12-30,2023-01-01,True
电子,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,7383,6337,0,0,0,2023-12-29,2024-01-01,True
