cache_path,expected_ignored_by_git,git_check_ignore_pass,tracked_by_git,row_level_panel,file_size_bytes,cache_tracking_pass
Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_train_eval_panel.parquet,True,True,False,True,4173694,True
Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True,True,False,True,1951614,True
