primitive_id,industry,task,fold_id,event_count,from_launch_target_50h120_false_reject_rate,from_launch_target_100h240_false_reject_rate,from_decision_target_50h120_false_reject_rate,from_decision_target_100h240_false_reject_rate,baseline_from_launch_false_reject_rate,false_reject_penalty,false_reject_caution_pass
auto_destructive_high_vol_rank_evaporation,汽车,industry_failure_reject_score_lgbm,fold_2020,51,0.5445659104130308,0.26734799301919715,0.5110245491564863,0.2892788830715532,0.3993896626249568,0.14517624778807403,False
auto_destructive_high_vol_rank_evaporation,汽车,industry_failure_reject_score_lgbm,fold_2021,38,0.4495776135163676,0.2333685322069694,0.4495776135163676,0.2333685322069694,0.22143894143023066,0.22813867208613695,False
auto_destructive_high_vol_rank_evaporation,汽车,industry_failure_reject_score_lgbm,fold_2022,18,0.3408400236760669,0.0,0.02272266824507113,0.02891975958463599,0.22814308408033587,0.11269693959573104,False
auto_destructive_high_vol_rank_evaporation,汽车,industry_failure_reject_score_lgbm,fold_2023,4,0.0,0.18045112781954886,0.0,0.18045112781954886,0.0661764705882353,0.0,True
auto_industry_breadth_failure,汽车,industry_failure_reject_score_lgbm,fold_2020,14,0.38469284994964764,0.29305135951661637,0.38469284994964764,0.29305135951661637,0.3993896626249568,0.0,True
auto_industry_breadth_failure,汽车,industry_failure_reject_score_lgbm,fold_2021,49,0.05786320664373319,0.05786320664373319,0.05786320664373319,0.05786320664373319,0.22143894143023066,0.0,True
auto_industry_breadth_failure,汽车,industry_failure_reject_score_lgbm,fold_2022,20,0.2292418184645306,0.21385791571313015,0.55230377624394,0.21385791571313015,0.22814308408033587,0.0010987343841947217,True
auto_industry_breadth_failure,汽车,industry_failure_reject_score_lgbm,fold_2023,29,0.0,0.0,0.0,0.0,0.0661764705882353,0.0,True
electronics_failure_null_stress,电子,industry_failure_reject_score_lgbm,fold_2020,57,0.5025578762604572,0.1480809489209831,0.5243040295985036,0.16876631429132002,0.30441747091297916,0.19814040534747807,False
electronics_failure_null_stress,电子,industry_failure_reject_score_lgbm,fold_2021,57,0.23390378039849033,0.19424767969874626,0.24620906327533398,0.19424767969874626,0.17129020109554252,0.06261357930294781,False
electronics_failure_null_stress,电子,industry_failure_reject_score_lgbm,fold_2022,75,0.013997058229166102,0.0,0.003110457384259134,0.0,0.02735658175177767,0.0,True
electronics_failure_null_stress,电子,industry_failure_reject_score_lgbm,fold_2023,7,0.0,0.0,0.0,0.0,0.18164120462916725,0.0,True
