industry,task,fold_id,contract_id,top_split_features,common_feature_pairs,feature_family_pair_frequency,approximate_threshold_quantile_bucket,path_support_count,path_fold_presence,path_interpretation_text
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,atr20_pct,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,q57,56,fold_2021,atr20_pct split appears in 56/328 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,ret_rank_20d_market,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,q48,45,fold_2021,ret_rank_20d_market split appears in 45/328 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,launch_gain_from_recent_low_120d,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,q10,43,fold_2021,launch_gain_from_recent_low_120d split appears in 43/328 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,industry_breadth_20d,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,q50,41,fold_2021,industry_breadth_20d split appears in 41/328 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,launch_gain_from_recent_low_60d,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,q36,40,fold_2021,launch_gain_from_recent_low_60d split appears in 40/328 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,money_ratio_20,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,q32,40,fold_2021,money_ratio_20 split appears in 40/328 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,prelaunch_drawdown_120d,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,q22,39,fold_2021,prelaunch_drawdown_120d split appears in 39/328 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,market_regime,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,categorical_or_unavailable,23,fold_2021,market_regime split appears in 23/328 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,launch_family,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,industry_breadth_20d+ret_rank_20d_market:14;atr20_pct+ret_rank_20d_market:14;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:13;industry_breadth_20d+prelaunch_drawdown_120d:12;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:12,categorical_or_unavailable,1,fold_2021,launch_family split appears in 1/328 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,atr20_pct,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,q55,99,fold_2022,atr20_pct split appears in 99/522 locked T1 splits; diagnostic only
