industry,task,contract_id,AUC,logloss,Brier,calibration_slope,prediction_std,unique_prediction_count,OOF_event_count,positive_count,base_rate,rank_correlation,core_expected_fold_count,core_trainable_fold_count,core_metric_fold_count,core_missing_fold_count,missing_core_fold_ids,diagnostic_only
汽车,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,0.5742844185644738,0.6849206087300649,0.24519668213271756,0.07931247927757668,0.15725202770116734,1411,2750,1084,0.3941818181818182,0.12575003825770326,4,4,4,0,,True
汽车,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,0.7215547386353448,0.42762463626703207,0.14088851992886128,0.08149533719723612,0.20419128692439953,583,701,114,0.16262482168330955,0.28322169876794306,4,3,3,1,fold_2020,True
电子,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,0.513220346919659,0.9090562893310681,0.33175158286684536,0.011998665143107712,0.1891793151811285,2638,4586,2359,0.5143916266899259,0.02288883919064234,4,4,4,0,,True
电子,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,0.4751931640848019,0.6002610779386185,0.21014820108704538,-0.004734351680830894,0.219707635240517,1128,1212,94,0.07755775577557755,-0.02298499604614859,4,3,3,1,fold_2020,True
