industry,task,fold_id,contract_id,window_sample_count,event_level_dedup_count,duplicate_window_count,dedup_unit,failure_event_level_dedup_pass
汽车,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,2073,696,1377,launch_stratum_event_id,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,2843,957,1886,launch_stratum_event_id,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,3404,1140,2264,launch_stratum_event_id,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,4144,1387,2757,launch_stratum_event_id,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,5165,1734,3431,launch_stratum_event_id,True
电子,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,2309,796,1513,launch_stratum_event_id,True
电子,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,3636,1236,2400,launch_stratum_event_id,True
电子,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,4861,1644,3217,launch_stratum_event_id,True
电子,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,6107,2065,4042,launch_stratum_event_id,True
电子,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,7739,2635,5104,launch_stratum_event_id,True
