industry,task,fold_id,contract_id,auc,logloss,brier,calibration_slope,oof_event_count,positive_count,base_rate,model_fit_success,non_degenerate_sanity_pass,sanity_diagnostic_only
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,0.6726305609284333,0.4553124112849528,0.1407553210368095,0.08650392638999754,232,44,0.1896551724137931,True,True,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,0.6862716763005781,0.5361314161745476,0.18647704311464297,0.09115684084434862,213,40,0.18779342723004694,True,True,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,0.8454277286135693,0.3160810292557551,0.10300971280409581,0.10681795140718316,256,30,0.1171875,True,True,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,0.37717484926787254,0.5580199619594617,0.16652550313394782,-0.04627149269785939,313,43,0.13738019169329074,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,0.5450510994865834,0.7095990347654351,0.25643842980469733,0.03950939523939754,630,186,0.29523809523809524,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,0.7113341204250295,0.6647806479980705,0.23505787833237565,0.26936902454876843,727,363,0.49931224209078406,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,0.4766223233376518,0.6794647963860992,0.2414490684783936,-0.03303511149369498,642,231,0.3598130841121495,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,0.5666946308724832,0.6857325246341665,0.24741495837840144,0.0825821095996799,751,304,0.4047936085219707,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,0.4475039619651347,0.6961684225120837,0.25086215330395684,-0.08403451759749057,935,304,0.3251336898395722,True,True,True
电子,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,0.28359941944847605,0.7742077467100995,0.2843585200842565,-0.09132250851375992,443,53,0.11963882618510158,True,True,True
电子,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,0.5664864864864865,0.6484231847583082,0.234912911107161,0.006543004274324948,380,10,0.02631578947368421,True,True,True
电子,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,0.710127950982159,0.3486893198552222,0.09857045338075822,0.08562966204932129,389,31,0.07969151670951156,True,True,True
电子,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,0.4623449686740826,0.7648884050732231,0.2560576559813952,-0.05399950562865207,455,158,0.34725274725274724,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,0.5518887585291302,0.8973349872557601,0.31669499021677927,0.030272918529177212,1053,392,0.37226970560303896,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,0.5085898695486054,0.9508268048578506,0.34403575368129125,0.007927515120636948,1335,744,0.5573033707865168,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,0.4153581316804011,1.0780841983671763,0.4094199237688732,-0.09155421402354595,1119,646,0.5773011617515639,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,0.4707116076422214,0.7103327691368254,0.25808771924112806,-0.06199506881890012,1079,577,0.5347544022242817,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,0.5377803857363982,0.7005544550774628,0.25360811985633835,0.06875877062179178,1402,423,0.3017118402282454,True,True,True
