artifact_id,resolved_path,row_count,column_count,sha256,schema_status,read_status,required_flag,lineage_role
requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/requirement_13e_nonlinear_winner_train_kfold_feasibility_diagnostic.md,,,1341068082d3ce81b40d4c4b3426affb6fd7c2545824416f2d0149aa84c05093,pass,pass,True,run_config_input
upstream_requirement_13c,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/requirement_13c_morphology_orthogonal_residual_importance_diagnostic.md,,,807718a7467b160dafe861c3f2dbc6ccfeebe08211ab6a22ba8849448a1bbcb9,pass,pass,True,run_config_input
upstream_report_13c,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/reports/morphology_orthogonal_residual_importance_diagnostic_report.md,,,fa2ebc21214bb680677ee633a8414f9a9536a4130d86ec50fb95cabd0f33013b,pass,pass,True,lineage_report_only_not_row_truth
upstream_13c_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/manifests/13C_morphology_orthogonal_residual_importance_diagnostic_manifest.json,,,c5790b3f78a4bfca6bdff35d5b0cfc2212eafe61a02f3f532ae806e30bbeb7a2,pass,pass,True,upstream_13c_lineage
upstream_13c_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/morphology_orthogonal_residual_importance_decision.csv,1.0,24.0,67ec71e5a8b703ce365945461d40766effbd6a8d5a433f9585c2f25164eba57f,pass,pass,True,upstream_13c_lineage
upstream_13c_feature_cluster_dictionary,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/feature_cluster_dictionary.csv,17.0,8.0,ef7661a83801a6c39aa43549281945c21707658ec966487de5c39602caa74329,pass,pass,True,upstream_13c_lineage
upstream_13c_sample_uniqueness_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/sample_uniqueness_audit.csv,18.0,17.0,e198b3b5613be63d6b7657cae823c155fc70ee0381338689e04a124fe957c515,pass,pass,True,upstream_13c_lineage
upstream_13c_incremental_model_comparison,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/incremental_model_comparison.csv,8.0,13.0,700b1c22ef67e6b34c2e45ae852ede95527b7c0d038f82e4a8d9579e09490087,pass,pass,True,upstream_13c_lineage
upstream_13c_clustered_mda_importance,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/clustered_mda_importance.csv,40.0,13.0,3bc5bcc7d96b5f69831c233791d505b336c0a68ce75e1218f06b002c8aec1e91,pass,pass,True,upstream_13c_lineage
upstream_13c_morphology_residual_panel_cache,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13C_morphology_orthogonal_residual_importance_diagnostic/morphology_residual_panel.parquet,431239.0,136.0,6e8efa1053baa46cee39f1edd0568618e8bdb4212cd9e494b1dc89c9827ca3bf,pass,pass,True,upstream_13c_lineage
pit_topn_400_100_executable_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,1140000.0,33.0,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,pass,pass,True,raw_pit_lineage_guard
pit_topn_400_100_membership_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_membership_daily.csv,1140500.0,32.0,982cc6930b27c4b255f019af5180ef835667280b841154af8c2ca9b0138a863b,pass,pass,True,raw_pit_lineage_guard
stock_daily_qfq_dir,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,4598.0,,,directory,pass,True,raw_pit_lineage_guard
global_regime_calendar,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/11_archetype_proxy_validation_system_v0/outputs/publishable/tables/11A0_regime_pit_availability_audit/regime_daily_series_audit.csv,1912.0,7.0,8ec181dd392b20c1677c61c5a74f4d6bfa5609f78782057958c96ec63e600898,pass,pass,True,raw_pit_lineage_guard
