lineage_source_id,lineage_check_id,observed_value,expected_value,lineage_status,artifact_path,sha256
13C,input_gate_status,pass,pass,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/morphology_orthogonal_residual_importance_decision.csv,67ec71e5a8b703ce365945461d40766effbd6a8d5a433f9585c2f25164eba57f
13C,upstream_lineage_gate_status,pass,pass,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/morphology_orthogonal_residual_importance_decision.csv,67ec71e5a8b703ce365945461d40766effbd6a8d5a433f9585c2f25164eba57f
13C,row_level_rebuild_gate_status,pass,pass,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/morphology_orthogonal_residual_importance_decision.csv,67ec71e5a8b703ce365945461d40766effbd6a8d5a433f9585c2f25164eba57f
13C,decision_state,13C_stop_residual_probability_only_no_utility,13C_stop_residual_probability_only_no_utility,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/morphology_orthogonal_residual_importance_decision.csv,67ec71e5a8b703ce365945461d40766effbd6a8d5a433f9585c2f25164eba57f
13C,selected_state_id,repair_range_participation_core_30,repair_range_participation_core_30,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/morphology_orthogonal_residual_importance_decision.csv,67ec71e5a8b703ce365945461d40766effbd6a8d5a433f9585c2f25164eba57f
13C,sample_uniqueness_gate_status,pass_with_exact_t1,pass_with_exact_t1|pass_with_downstream_exact_t1_requirement,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/morphology_orthogonal_residual_importance_decision.csv,67ec71e5a8b703ce365945461d40766effbd6a8d5a433f9585c2f25164eba57f
13C,sequence_mining_authorized,False,False,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/morphology_orthogonal_residual_importance_decision.csv,67ec71e5a8b703ce365945461d40766effbd6a8d5a433f9585c2f25164eba57f
13C,meta_labeling_authorized,False,False,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/morphology_orthogonal_residual_importance_decision.csv,67ec71e5a8b703ce365945461d40766effbd6a8d5a433f9585c2f25164eba57f
13C,bet_sizing_authorized,False,False,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/morphology_orthogonal_residual_importance_decision.csv,67ec71e5a8b703ce365945461d40766effbd6a8d5a433f9585c2f25164eba57f
13C,upstream_13c_manifest.exists,True,True,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/manifests/13C_morphology_orthogonal_residual_importance_diagnostic_manifest.json,c5790b3f78a4bfca6bdff35d5b0cfc2212eafe61a02f3f532ae806e30bbeb7a2
