feature_set,metric_id,logistic_fold_mean,logistic_fold_std,sklearn_hgb_fold_mean,sklearn_hgb_fold_std,nonlinear_minus_linear_delta,delta_fold_std,delta_sign,comparison_status
baseline_feature_set,auc,0.5322572677534354,0.04714218281342448,0.5397023605096503,0.06883678486647006,0.007445092756214855,0.032651207675588316,positive,nonlinear_better
baseline_feature_set,logloss,0.6944397662965516,0.11080331392444251,0.7540692238810466,0.14240569196651656,0.059629457584495005,0.12763188541404016,positive,linear_better
baseline_feature_set,winner_uplift_topN,-0.005712068874319515,0.04973155665710926,0.023643071743419,0.08398055835087538,0.029355140617738515,0.05622175434785236,positive,nonlinear_better
baseline_feature_set,utility_proxy_0bps,0.013939056227407154,0.013592128944991191,0.01449721660681691,0.014195457958561407,0.0005581603794097556,0.009399833980437124,positive,nonlinear_better
baseline_feature_set,utility_proxy_50bps,0.00893905622740715,0.01359212894499119,0.009497216606816905,0.014195457958561407,0.0005581603794097556,0.00939983398043712,positive,nonlinear_better
baseline_feature_set,utility_proxy_100bps,0.003939056227407154,0.013592128944991191,0.0044972166068169075,0.014195457958561404,0.0005581603794097539,0.009399833980437122,positive,nonlinear_better
augmented_feature_set,auc,0.5509994941246423,0.04319801287341035,0.5479694414055697,0.04616311720434731,-0.00303005271907264,0.009959546359570975,negative,linear_better
augmented_feature_set,logloss,0.6986157561653983,0.10948915150993427,0.7341786442512953,0.12298857866064832,0.035562888085897026,0.10333768298302258,positive,linear_better
augmented_feature_set,winner_uplift_topN,0.035991164207833756,0.044238713678038735,0.03699775270866453,0.04605646818278314,0.0010065885008307754,0.04303474069252053,positive,nonlinear_better
augmented_feature_set,utility_proxy_0bps,0.015548340472500127,0.006973652889564336,0.016456281221109693,0.013629254271655483,0.0009079407486095661,0.007124427625914324,positive,nonlinear_better
augmented_feature_set,utility_proxy_50bps,0.010548340472500126,0.006973652889564337,0.011456281221109694,0.013629254271655485,0.0009079407486095679,0.007124427625914326,positive,nonlinear_better
augmented_feature_set,utility_proxy_100bps,0.005548340472500128,0.0069736528895643374,0.006456281221109696,0.013629254271655485,0.0009079407486095679,0.007124427625914324,positive,nonlinear_better
