split,captured_reference_count,entry_after_reference_count,entry_after_reference_share,captured_reference_count_with_entry_on_or_before_reference,captured_reference_count_with_entry_after_reference,audit_only_status
robustness,36,14,0.3888888888888889,22,14,report_only
train,58,14,0.2413793103448276,44,14,report_only
validation,11,4,0.36363636363636365,7,4,report_only
