risk_pct_quintile,risk_pct_quintile_edge_low,risk_pct_quintile_edge_high,eligible_probe_count,failed_seed_average_loss_r_diff_vs_no_fail_fast,p05_return_r_diff_vs_no_fail_fast,risk_pct_quintile_sample_status,risk_pct_quintile_pass_status,risk_pct_quintile_cost_control_status
risk_pct_q1,-inf,0.029850788302800274,179,-0.16955410417073097,0.9175664660254051,sufficient,passed,passed
risk_pct_q2,0.029850788302800274,0.04078656232121893,155,-0.057770618263845275,0.4832709999923521,sufficient,passed,passed
risk_pct_q3,0.04078656232121893,0.05352951482149462,135,-0.06719646858963962,0.44921635439070756,sufficient,passed,passed
risk_pct_q4,0.05352951482149462,0.07273161514450215,132,-0.05856989152210251,0.33868163661230954,sufficient,passed,passed
risk_pct_q5,0.07273161514450215,inf,92,-0.05526831144764027,0.24038210018124317,sufficient,passed,passed
