split,recall_basis,big_winner_reference_count,captured_reference_count,primary_recall,recall_diff_vs_ep2_detector
train,raw_seed_primary_recall,446,136,0.30493273542600896,0.1905829596412556
train,emitted_seed_primary_recall_pre_cooling,446,86,0.19282511210762332,0.07847533632286996
train,cooling_qualified_probe_primary_recall,446,58,0.13004484304932734,0.01569506726457398
train,ep2_detector_primary_recall,446,51,0.11434977578475336,0.0
train,fail_fast_survived_probe_primary_recall,446,34,0.07623318385650224,-0.03811659192825112
validation,raw_seed_primary_recall,158,23,0.14556962025316456,0.10759493670886075
validation,emitted_seed_primary_recall_pre_cooling,158,16,0.10126582278481013,0.06329113924050633
validation,cooling_qualified_probe_primary_recall,158,11,0.06962025316455696,0.03164556962025316
validation,ep2_detector_primary_recall,158,6,0.0379746835443038,0.0
validation,fail_fast_survived_probe_primary_recall,158,4,0.02531645569620253,-0.012658227848101267
robustness,raw_seed_primary_recall,241,79,0.3278008298755187,0.23236514522821577
robustness,emitted_seed_primary_recall_pre_cooling,241,53,0.21991701244813278,0.12448132780082988
robustness,cooling_qualified_probe_primary_recall,241,36,0.14937759336099585,0.05394190871369295
robustness,ep2_detector_primary_recall,241,23,0.0954356846473029,0.0
robustness,fail_fast_survived_probe_primary_recall,241,15,0.06224066390041494,-0.03319502074688796
