split,raw_seed_count,emitted_seed_count,suppressed_raw_seed_count,suppressed_raw_seed_share,raw_to_emitted_lost_primary_capture_count,raw_to_emitted_added_primary_capture_count,raw_to_emitted_net_capture_count,split_boundary_suppressed_raw_seed_count
train,10094,2122,1039,0.10293243510996632,50,0,-50,0
validation,4272,1095,527,0.12336142322097378,7,0,-7,18
robustness,4900,1206,555,0.11326530612244898,26,0,-26,4
