split,candidate_total_failed_loss_r,ep2_total_failed_loss_r,incremental_abs_failed_loss_r_vs_ep2,candidate_captured_reference_count,ep2_captured_reference_count,overlap_captured_reference_count,added_capture_vs_ep2_count,lost_capture_vs_ep2_count,net_added_capture_vs_ep2_count,late_capture_0_to_10_count,recall_cost_score,incremental_loss_r_per_added_big_winner_vs_ep2,incremental_exposure_days_per_added_big_winner_vs_ep2,max_allowed_incremental_loss_r_per_added_big_winner_vs_ep2,max_allowed_incremental_exposure_days_per_added_big_winner_vs_ep2,decision_support_status
train,316.9911950004549,177.39759428802228,139.59360071243265,86,51,30,56,21,35,0,0.2507278257840855,3.98838859178379,329.54285714285714,5.0,250.0,failed
validation,163.3175845578378,86.46449101788724,76.85309353995055,16,6,3,13,3,10,0,0.13011837961736308,7.685309353995055,573.8,5.0,250.0,failed
robustness,133.0562339440323,101.32988419610972,31.726349747922583,53,23,17,36,6,30,0,0.9455862473420654,1.0575449915974195,165.96666666666667,7.5,375.0,passed
