split,error_type,seed_episode_id,instrument,episode_start_signal_date,exit_trigger_type,exit_signal_date,h20_after_cost_return,return_r,loss_r,captured_reference_event_id,price_structure_component,initial_risk_pct,audit_only_status
train,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600010_20180723_b2e9f916ca,SH600010,,natural_exit_h20,2018-08-22,-0.036005956394136174,-0.28444665633551003,0.28444665633551003,,,0.03164561403005779,report_only
train,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600010_20190226_24a65c6a95,SH600010,,natural_exit_h20,2019-03-28,-0.02773035241132249,-0.12270677884223992,0.12270677884223992,,,0.056497189220031795,report_only
train,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600010_20210824_d3492fb92e,SH600010,,natural_exit_h20,2021-09-27,-0.001174702986862619,-0.0034224520645590372,0.0034224520645590372,,,0.08580857852087788,report_only
train,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600011_20190801_39d9188efc,SH600011,,natural_exit_h20,2019-09-02,-0.06451874587092721,-0.5295918637420481,0.5295918637420481,,,0.030456824532312295,report_only
robustness,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600016_20240925_1eba882616,SH600016,,natural_exit_h20,2024-11-01,-0.022111120916457727,-0.08532007792356432,0.08532007792356432,,,0.0647887386374237,report_only
train,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600019_20171107_7eb0857b31,SH600019,,natural_exit_h20,2017-12-07,-0.022270321081955036,-0.24358186913165572,0.24358186913165572,,,0.02285712105887277,report_only
train,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600019_20190904_f437c888a8,SH600019,,natural_exit_h20,2019-10-14,-0.0245776298203213,-0.26789642873111474,0.26789642873111474,,,0.022935757240897796,report_only
train,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600019_20210222_ef3556b8ce,SH600019,,natural_exit_h20,2021-03-24,-0.010967098703888345,-0.04119515625364603,0.04119515625364603,,,0.06655575376606132,report_only
validation,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600019_20230220_586bf7bb01,SH600019,,natural_exit_h20,2023-03-22,-0.05119898645138432,-0.22211315395497996,0.22211315395497996,,,0.05762714357493864,report_only
validation,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600019_20230725_691d54374e,SH600019,,natural_exit_h20,2023-08-24,-0.014537611212520285,-0.08053836556279653,0.08053836556279653,,,0.04512635410134184,report_only
robustness,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600019_20251031_1c17d079c0,SH600019,,natural_exit_h20,2025-12-02,-0.05016261419973134,-0.32735435177005145,0.32735435177005145,,,0.03830910901939669,report_only
train,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600023_20180122_ad994640ab,SH600023,,natural_exit_h20,2018-02-28,-0.07347927906360852,-0.406891880090125,0.406891880090125,,,0.045146685556451224,report_only
train,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600023_20180718_4787f58b87,SH600023,,natural_exit_h20,2018-08-17,-0.05373611142209567,-0.45187130340631787,0.45187130340631787,,,0.029729765431561788,report_only
robustness,false_reject_winner,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600026_20250822_d884fcbf8d,SH600026,,close_below_seed_day_low,2025-08-29,0.13334343291097683,-0.26739213044754867,0.26739213044754867,,,0.03345730508306627,report_only
train,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600029_20190620_4c6cdee5e5,SH600029,,natural_exit_h20,2019-07-22,-0.01622098301047037,-0.13276521232930186,0.13276521232930186,,,0.03054449039375793,report_only
train,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600030_20180108_0b64a1526a,SH600030,,natural_exit_h20,2018-02-07,-0.01032651867452139,-0.09059181594135551,0.09059181594135551,,,0.028497382923657937,report_only
train,missed_failure,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600030_20210514_6e93ba39b5,SH600030,,natural_exit_h20,2021-06-16,-0.01668951399145724,-0.14186072541935854,0.14186072541935854,,,0.02941179445917975,report_only
