split,layer,seed_family_id,eligible_stock_day_count,eligible_instrument_year_count,event_count,episode_count,day_rate,episode_rate,unique_instrument_count,unique_instrument_year_count,event_count_vs_ep2,episode_count_vs_ep2,day_rate_vs_ep2,episode_rate_vs_ep2
train,raw_seed,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed,179135,699,10094,10094,0.05634856393222988,14.44062947067239,526,0,8.78503046127067,8.78503046127067,8.78503046127067,8.78503046127067
train,emitted_seed,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed,179135,699,2122,2122,0.0118458146090937,3.035765379113019,331,0,1.8468233246301131,1.8468233246301131,1.8468233246301131,1.8468233246301133
train,probe_entry,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed,179135,699,1420,1420,0.007926982443408602,2.0314735336194563,308,765,1.23585726718886,1.23585726718886,1.23585726718886,1.23585726718886
train,ep2_detector,ep2_launch_detector_v0_bridge,179135,699,1149,1149,0.006414156920758088,1.6437768240343347,232,649,1.0,1.0,1.0,1.0
validation,raw_seed,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed,107845,448,4272,4272,0.039612406694793455,9.535714285714286,530,0,8.030075187969924,8.030075187969924,8.030075187969926,8.030075187969926
validation,emitted_seed,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed,107845,448,1095,1095,0.010153460985673884,2.4441964285714284,280,0,2.058270676691729,2.058270676691729,2.0582706766917296,2.058270676691729
validation,probe_entry,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed,107845,448,693,693,0.006425889007371691,1.546875,257,415,1.3026315789473684,1.3026315789473684,1.3026315789473684,1.3026315789473684
validation,ep2_detector,ep2_launch_detector_v0_bridge,107845,448,532,532,0.004933005702628773,1.1875,234,344,1.0,1.0,1.0,1.0
robustness,raw_seed,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed,108406,438,4900,4900,0.045200450159585265,11.187214611872147,527,0,6.9209039548022595,6.9209039548022595,6.92090395480226,6.92090395480226
robustness,emitted_seed,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed,108406,438,1206,1206,0.011124845488257108,2.7534246575342465,301,0,1.7033898305084745,1.7033898305084745,1.7033898305084745,1.7033898305084745
robustness,probe_entry,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed,108406,438,752,752,0.006936885412246555,1.7168949771689497,272,419,1.0621468926553672,1.0621468926553672,1.0621468926553672,1.0621468926553672
robustness,ep2_detector,ep2_launch_detector_v0_bridge,108406,438,708,708,0.00653100381897681,1.6164383561643836,248,403,1.0,1.0,1.0,1.0
