split,baseline_id,eligibility_status,row_count
robustness,ep2_detector_probe_with_simple_stop_bridge,passed,454
robustness,matched_random_same_density_no_fail_fast_h20_report_only,ineligible,60224
robustness,matched_random_same_density_no_fail_fast_h20_report_only,passed,14976
robustness,matched_random_same_density_same_fail_fast_h20_report_only,ineligible,60186
robustness,matched_random_same_density_same_fail_fast_h20_report_only,passed,15014
robustness,r01_v2_raw_seed_t1_open_bridge,ineligible,352
robustness,r01_v2_raw_seed_t1_open_bridge,passed,854
robustness,same_cooling_qualified_seed_no_fail_fast_hold_h20,ineligible,1
robustness,same_cooling_qualified_seed_no_fail_fast_hold_h20,passed,751
robustness,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,ineligible,129
robustness,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,passed,623
robustness,same_cooling_qualified_seed_t1_open_same_fail_fast_h20,ineligible,129
robustness,same_cooling_qualified_seed_t1_open_same_fail_fast_h20,passed,623
robustness,same_cooling_qualified_seed_t3_open_no_fail_fast_h20,ineligible,190
robustness,same_cooling_qualified_seed_t3_open_no_fail_fast_h20,passed,562
robustness,same_cooling_qualified_seed_t3_open_same_fail_fast_h20,ineligible,190
robustness,same_cooling_qualified_seed_t3_open_same_fail_fast_h20,passed,562
robustness,same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,ineligible,352
robustness,same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,passed,854
train,ep2_detector_probe_with_simple_stop_bridge,passed,771
train,matched_random_same_density_no_fail_fast_h20_report_only,ineligible,104594
train,matched_random_same_density_no_fail_fast_h20_report_only,passed,37406
train,matched_random_same_density_same_fail_fast_h20_report_only,ineligible,104569
train,matched_random_same_density_same_fail_fast_h20_report_only,passed,37431
train,r01_v2_raw_seed_t1_open_bridge,ineligible,524
train,r01_v2_raw_seed_t1_open_bridge,passed,1598
train,same_cooling_qualified_seed_no_fail_fast_hold_h20,ineligible,1
train,same_cooling_qualified_seed_no_fail_fast_hold_h20,passed,1419
train,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,ineligible,193
train,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,passed,1227
train,same_cooling_qualified_seed_t1_open_same_fail_fast_h20,ineligible,193
train,same_cooling_qualified_seed_t1_open_same_fail_fast_h20,passed,1227
train,same_cooling_qualified_seed_t3_open_no_fail_fast_h20,ineligible,252
train,same_cooling_qualified_seed_t3_open_no_fail_fast_h20,passed,1168
train,same_cooling_qualified_seed_t3_open_same_fail_fast_h20,ineligible,251
train,same_cooling_qualified_seed_t3_open_same_fail_fast_h20,passed,1169
train,same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,ineligible,524
train,same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,passed,1598
validation,ep2_detector_probe_with_simple_stop_bridge,passed,339
validation,matched_random_same_density_no_fail_fast_h20_report_only,ineligible,54600
validation,matched_random_same_density_no_fail_fast_h20_report_only,passed,14700
validation,matched_random_same_density_same_fail_fast_h20_report_only,ineligible,54598
validation,matched_random_same_density_same_fail_fast_h20_report_only,passed,14702
validation,r01_v2_raw_seed_t1_open_bridge,ineligible,335
validation,r01_v2_raw_seed_t1_open_bridge,passed,760
validation,same_cooling_qualified_seed_no_fail_fast_hold_h20,passed,693
validation,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,ineligible,113
validation,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,passed,580
validation,same_cooling_qualified_seed_t1_open_same_fail_fast_h20,ineligible,113
validation,same_cooling_qualified_seed_t1_open_same_fail_fast_h20,passed,580
validation,same_cooling_qualified_seed_t3_open_no_fail_fast_h20,ineligible,139
validation,same_cooling_qualified_seed_t3_open_no_fail_fast_h20,passed,554
validation,same_cooling_qualified_seed_t3_open_same_fail_fast_h20,ineligible,139
validation,same_cooling_qualified_seed_t3_open_same_fail_fast_h20,passed,554
validation,same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,ineligible,335
validation,same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,passed,760
