split,baseline_id,baseline_role,metric_name,candidate_value,baseline_value,diff_value,random_replicate_stat,comparison,threshold,status
validation,r01_v2_raw_seed_t1_open_bridge,audit,mean_return_r_diff_vs_r01_v2_raw_seed_t1_open_bridge,-0.12702710241820966,-0.12643229203085615,-0.0005948103873535115,not_random,,,report_only
validation,r01_v2_raw_seed_t1_open_bridge,audit,p05_return_r_diff_vs_r01_v2_raw_seed_t1_open_bridge,-0.5568084785705337,-0.5809958972552565,0.02418741868472274,not_random,,,report_only
validation,r01_v2_raw_seed_t1_open_bridge,audit,failed_seed_average_loss_r_diff_vs_r01_v2_raw_seed_t1_open_bridge,0.2394685990584132,0.24973633756063565,-0.010267738502222457,not_random,,,report_only
validation,r01_v2_raw_seed_t1_open_bridge,audit,failed_seed_median_holding_days_diff_vs_r01_v2_raw_seed_t1_open_bridge,11.0,11.0,0.0,not_random,,,report_only
validation,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,gate,mean_return_r_diff_vs_same_cooling_qualified_seed_t1_open_no_fail_fast_h20,-0.12702710241820966,-0.14069799236550237,0.013670889947292708,not_random,,,report_only
validation,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,gate,p05_return_r_diff_vs_same_cooling_qualified_seed_t1_open_no_fail_fast_h20,-0.5568084785705337,-1.0592024042673585,0.5023939256968247,not_random,,,report_only
validation,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,gate,failed_seed_average_loss_r_diff_vs_same_cooling_qualified_seed_t1_open_no_fail_fast_h20,0.2394685990584132,0.3093810685813337,-0.06991246952292049,not_random,,,report_only
validation,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,gate,failed_seed_median_holding_days_diff_vs_same_cooling_qualified_seed_t1_open_no_fail_fast_h20,11.0,22.0,-11.0,not_random,,,report_only
validation,same_cooling_qualified_seed_t1_open_same_fail_fast_h20,gate,mean_return_r_diff_vs_same_cooling_qualified_seed_t1_open_same_fail_fast_h20,-0.12702710241820966,-0.07840586880215018,-0.04862123361605948,not_random,,,report_only
validation,same_cooling_qualified_seed_t1_open_same_fail_fast_h20,gate,p05_return_r_diff_vs_same_cooling_qualified_seed_t1_open_same_fail_fast_h20,-0.5568084785705337,-0.5639287520000767,0.0071202734295430226,not_random,,,report_only
validation,same_cooling_qualified_seed_t1_open_same_fail_fast_h20,gate,failed_seed_average_loss_r_diff_vs_same_cooling_qualified_seed_t1_open_same_fail_fast_h20,0.2394685990584132,0.2227194288430234,0.016749170215389797,not_random,,,report_only
validation,same_cooling_qualified_seed_t1_open_same_fail_fast_h20,gate,failed_seed_median_holding_days_diff_vs_same_cooling_qualified_seed_t1_open_same_fail_fast_h20,11.0,11.0,0.0,not_random,,,report_only
validation,same_cooling_qualified_seed_t3_open_no_fail_fast_h20,gate,mean_return_r_diff_vs_same_cooling_qualified_seed_t3_open_no_fail_fast_h20,-0.12702710241820966,-0.1567648040792343,0.02973770166102463,not_random,,,report_only
validation,same_cooling_qualified_seed_t3_open_no_fail_fast_h20,gate,p05_return_r_diff_vs_same_cooling_qualified_seed_t3_open_no_fail_fast_h20,-0.5568084785705337,-1.0451339779997308,0.4883254994291971,not_random,,,report_only
validation,same_cooling_qualified_seed_t3_open_no_fail_fast_h20,gate,failed_seed_average_loss_r_diff_vs_same_cooling_qualified_seed_t3_open_no_fail_fast_h20,0.2394685990584132,0.28604323303960394,-0.046574633981190744,not_random,,,report_only
