split,seed_episode_id,instrument,exit_trigger_type,exit_signal_date,exit_execution_date,holding_days,return_r,loss_r,audit_only_status
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600000_20180720_5c7cb74f74,SH600000,t10_close_below_entry_price,2018-08-06,2018-08-07,11,-0.0867554751527818,0.0867554751527818,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600000_20190225_bf5b800b7c,SH600000,t10_close_below_entry_price,2019-03-12,2019-03-13,11,-0.15650062950872085,0.15650062950872085,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600000_20190725_4b894eca95,SH600000,close_below_seed_day_low|close_below_breakout_reference,2019-08-02,2019-08-05,6,-0.48537754541095746,0.48537754541095746,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600000_20191011_bc2cda9670,SH600000,t10_close_below_entry_price,2019-10-28,2019-10-29,11,-0.09145155885788431,0.09145155885788431,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600000_20200702_797b3cd55d,SH600000,t10_close_below_entry_price,2020-07-17,2020-07-20,11,-0.049467707751286845,0.049467707751286845,report_only
robustness,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600000_20240430_a9f2218ee3,SH600000,natural_exit_h20,2024-06-04,2024-06-05,22,0.33746012950585474,0.0,report_only
robustness,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600000_20240717_de9d5c4ac9,SH600000,close_below_breakout_reference,2024-07-24,2024-07-25,5,-0.3310871022610095,0.3310871022610095,report_only
robustness,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600000_20240924_0f528d586e,SH600000,natural_exit_h20,2024-10-31,2024-11-01,22,0.07563091654386142,0.0,report_only
robustness,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600000_20241223_caa25cede0,SH600000,natural_exit_h20,2025-01-23,2025-01-24,22,0.017306498106682857,0.0,report_only
robustness,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600000_20251229_00a975f593,SH600000,close_below_breakout_reference,2026-01-05,2026-01-06,3,-0.3361502176886421,0.3361502176886421,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600009_20171030_8805ab6aca,SH600009,t10_close_below_entry_price,2017-11-14,2017-11-15,11,-0.10598304219745606,0.10598304219745606,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600009_20200423_17be6d0513,SH600009,close_below_breakout_reference,2020-05-12,2020-05-13,10,-0.316390701569231,0.316390701569231,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600009_20200529_bc41801c99,SH600009,t10_close_below_entry_price,2020-06-15,2020-06-16,11,-0.16188404748370805,0.16188404748370805,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600009_20201110_1323ef2c25,SH600009,natural_exit_h20,2020-12-10,2020-12-11,22,0.05767292324222331,0.0,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600009_20211008_d866b97e8e,SH600009,natural_exit_h20,2021-11-09,2021-11-10,22,0.003460294832995523,0.0,report_only
validation,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600009_20220801_eddb0ad579,SH600009,natural_exit_h20,2022-08-31,2022-09-01,22,0.03413590415749206,0.0,report_only
validation,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600009_20230116_fded8e17ff,SH600009,close_below_seed_day_low,2023-01-31,2023-02-01,6,-0.3443091820988158,0.3443091820988158,report_only
robustness,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600009_20251218_f79edc784c,SH600009,t10_close_below_entry_price,2026-01-06,2026-01-07,11,-0.2018703371825909,0.2018703371825909,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600010_20180723_b2e9f916ca,SH600010,natural_exit_h20,2018-08-22,2018-08-23,22,-0.28444665633551003,0.28444665633551003,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600010_20180928_a660eaa98a,SH600010,close_below_seed_day_low|close_below_breakout_reference,2018-10-18,2018-10-19,9,-0.41477501185814264,0.41477501185814264,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600010_20190226_24a65c6a95,SH600010,natural_exit_h20,2019-03-28,2019-03-29,22,-0.12270677884223992,0.12270677884223992,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600010_20210120_7746fc03f0,SH600010,close_below_breakout_reference,2021-01-28,2021-01-29,6,-0.36306060682176583,0.36306060682176583,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600010_20210507_d4260d3e21,SH600010,close_below_breakout_reference,2021-05-20,2021-05-21,9,-0.3381567050691746,0.3381567050691746,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600010_20210707_c861fd54d1,SH600010,natural_exit_h20,2021-08-06,2021-08-09,22,3.537890069985072,0.0,report_only
train,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600010_20210824_d3492fb92e,SH600010,natural_exit_h20,2021-09-27,2021-09-28,22,-0.0034224520645590372,0.0034224520645590372,report_only
validation,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600010_20220523_8eef5c8776,SH600010,natural_exit_h20,2022-06-23,2022-06-24,22,0.5398308306051477,0.0,report_only
validation,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600010_20220622_cf4ad57b1d,SH600010,t10_close_below_entry_price,2022-07-07,2022-07-08,11,-0.043502799292229374,0.043502799292229374,report_only
validation,ep4_r01_1_emitted_seed_20d_from_r01_v2_raw_seed_SH600010_20221110_d374de14de,SH600010,close_below_seed_day_low,2022-11-14,2022-11-15,2,-0.4233550223531684,0.4233550223531684,report_only
