split,counterfactual_family,counterfactual_variant,primary_decision,decision_change_allowed,metric_name,primary_value,counterfactual_value,diff_value,affected_episode_count,affected_reference_count,dominant_year,dominant_industry,dominant_bucket,inheritance_note,audit_only_status
train,fail_fast_window,trigger_day_le_8_vs_9_12_descriptive,archive_cost_control_sleeve_no_r02,False,fail_fast_triggered_count,808,,,1420,0,none,none,none,report-only timing sensitivity; frozen R01 rule unchanged,report_only_not_decision_changing
train,density_cap,cap_violation_source_descriptive,archive_cost_control_sleeve_no_r02,False,cap_violation_flag,False,,,0,0,none,none,none,report-only density diagnostic; no threshold trimming applied,report_only_not_decision_changing
validation,fail_fast_window,trigger_day_le_8_vs_9_12_descriptive,archive_cost_control_sleeve_no_r02,False,fail_fast_triggered_count,413,,,693,0,none,none,none,report-only timing sensitivity; frozen R01 rule unchanged,report_only_not_decision_changing
validation,density_cap,cap_violation_source_descriptive,archive_cost_control_sleeve_no_r02,False,cap_violation_flag,False,,,0,0,none,none,none,report-only density diagnostic; no threshold trimming applied,report_only_not_decision_changing
robustness,fail_fast_window,trigger_day_le_8_vs_9_12_descriptive,archive_cost_control_sleeve_no_r02,False,fail_fast_triggered_count,430,,,752,0,none,none,none,report-only timing sensitivity; frozen R01 rule unchanged,report_only_not_decision_changing
robustness,density_cap,cap_violation_source_descriptive,archive_cost_control_sleeve_no_r02,False,cap_violation_flag,False,,,0,0,none,none,none,report-only density diagnostic; no threshold trimming applied,report_only_not_decision_changing
