split,emitted_seed_count,cooling_cancelled_count,cooling_cancelled_rate,cooling_qualified_probe_count,cooling_cancelled_primary_big_winner_capture_loss_count,cooling_cancel_reason_distribution
train,2122,147,0.06927426955702168,1420,7,cooling_close_below_breakout_reference;cooling_close_below_seed_day_low|cooling_close_below_breakout_reference;cooling_close_below_seed_day_low;cooling_close_below_seed_day_low|cooling_close_below_breakout_reference|cooling_close_below_pivot_low_10d
validation,1095,93,0.08493150684931507,693,1,cooling_close_below_seed_day_low|cooling_close_below_breakout_reference;cooling_close_below_breakout_reference;cooling_close_below_seed_day_low
robustness,1206,131,0.10862354892205639,752,2,cooling_close_below_seed_day_low|cooling_close_below_breakout_reference;cooling_close_below_breakout_reference;cooling_close_below_seed_day_low;cooling_close_below_seed_day_low|cooling_close_below_breakout_reference|cooling_close_below_pivot_low_10d
