instrument,anchor_row_n,path_winner_anchor_n,qfq_row_n,missing_qfq_file_flag,max_episode_threshold_pos,hit_pos_out_of_bounds_n,price_path_status,blocking_reason
SH600000,831,133,2281,False,2064.0,0,pass,
SH600004,1647,104,2281,False,1520.0,0,pass,
SH600007,21,3,2281,False,1882.0,0,pass,
SH600008,738,117,2265,False,1135.0,0,pass,
SH600009,2412,74,2270,False,1385.0,0,pass,
SH600010,2598,1461,2272,False,2211.0,0,pass,
SH600011,2613,859,2281,False,1556.0,0,pass,
SH600012,84,0,2271,False,,0,pass,
SH600015,2256,510,2281,False,2067.0,0,pass,
SH600016,2112,212,2281,False,2067.0,0,pass,
SH600018,2568,304,2278,False,1879.0,0,pass,
SH600019,2367,665,2262,False,2132.0,0,pass,
SH600020,9,0,2281,False,,0,pass,
SH600021,963,802,2275,False,2135.0,0,pass,
SH600022,438,69,2184,False,1045.0,0,pass,
SH600023,2280,939,2281,False,1825.0,0,pass,
SH600025,2505,1355,2048,False,1649.0,0,pass,
SH600026,2574,2167,2276,False,2232.0,0,pass,
SH600027,2595,1211,2270,False,1767.0,0,pass,
SH600028,2388,1216,2281,False,2222.0,0,pass,
SH600029,654,1,2278,False,2208.0,0,pass,
SH600030,2607,587,2264,False,1888.0,0,pass,
SH600031,1944,250,2281,False,2217.0,0,pass,
SH600032,291,7,1215,False,86.0,0,pass,
SH600036,2598,394,2281,False,2067.0,0,pass,
SH600037,339,55,2275,False,849.0,0,pass,
SH600038,2229,412,2271,False,1216.0,0,pass,
SH600039,1188,164,2269,False,2180.0,0,pass,
SH600048,2592,204,2281,False,1882.0,0,pass,
SH600050,2298,339,2186,False,1879.0,0,pass,
SH600056,333,302,2281,False,1274.0,0,pass,
SH600060,618,122,2280,False,2276.0,0,pass,
SH600061,903,1,2281,False,1882.0,0,pass,
SH600062,132,70,2281,False,1299.0,0,pass,
SH600064,27,3,2280,False,2141.0,0,pass,
SH600066,2172,1581,2280,False,2242.0,0,pass,
SH600085,2547,906,2281,False,1539.0,0,pass,
SH600089,2574,2132,2275,False,2217.0,0,pass,
SH600095,1122,97,2261,False,2108.0,0,pass,
SH600096,1503,1013,2279,False,2217.0,0,pass,
SH600098,126,39,2281,False,2238.0,0,pass,
SH600100,846,5,2175,False,1434.0,0,pass,
SH600104,2592,157,2281,False,1941.0,0,pass,
SH600110,156,1,2265,False,1162.0,0,pass,
SH600111,2598,1990,2281,False,2220.0,0,pass,
SH600116,3,0,2269,False,,0,pass,
SH600118,2559,2559,2281,False,2191.0,0,pass,
SH600120,195,92,2281,False,1967.0,0,pass,
SH600125,18,0,2281,False,,0,pass,
SH600126,753,432,2274,False,1970.0,0,pass,
SH600129,24,0,2278,False,,0,pass,
SH600132,2094,811,2281,False,1107.0,0,pass,
