split_bucket,threshold_id,episode_cluster_n,assignment_changed_by_entropy_n,entropy_incremental_class_share_delta
robustness,up100pct,155,2,0.012903225806451613
robustness,up50pct,377,5,0.013262599469496022
train,up100pct,607,5,0.008237232289950576
train,up50pct,919,30,0.03264417845484222
train,up150pct,421,4,0.009501187648456057
validation,up100pct,82,0,0.0
validation,up50pct,163,4,0.024539877300613498
validation,up150pct,55,0,0.0
robustness,up150pct,88,1,0.011363636363636364
