threshold_id,episode_cluster_id,cluster_anchor_n,earliest_anchor_row_id,shortest_duration_anchor_row_id,medoid_anchor_row_id,earliest_source_row_key,shortest_source_row_key,medoid_source_row_key,medoid_distance,representative_taxonomy_disagreement,earliest_anchor_path_type,shortest_duration_anchor_path_type,medoid_anchor_path_type,cluster_distinct_path_type_n,cluster_internal_path_type_entropy,cluster_dominant_path_type,cluster_dominant_path_type_share
up100pct,up100pct::SH601601::000000,229,254218,882688,733683,SH601601|2019-02-01|254218|up100pct,SH601601|2024-04-12|882688|up100pct,SH601601|2023-01-16|733683|up100pct,0.03174444720142191,True,late_rescue_winner,stair_step_winner,slow_grind_winner,4,0.6923686593325552,late_rescue_winner,0.47161572052401746
up150pct,up150pct::SH601601::000000,22,673182,685177,680679,SH601601|2022-07-20|673182|up150pct,SH601601|2022-08-23|685177|up150pct,SH601601|2022-08-10|680679|up150pct,0.010319922967273245,False,slow_grind_winner,slow_grind_winner,slow_grind_winner,1,-0.0,slow_grind_winner,1.0
up50pct,up50pct::SH601601::000000,673,124727,896688,571691,SH601601|2018-01-10|124727|up50pct,SH601601|2024-05-27|896688|up50pct,SH601601|2021-09-13|571691|up50pct,0.11340091106522929,True,late_rescue_winner,unclassified_mixed_path,late_rescue_winner,6,0.7150100576079902,late_rescue_winner,0.5557206537890045
up100pct,up100pct::SH601608::000000,70,126730,407194,325710,SH601608|2018-01-16|126730|up100pct,SH601608|2020-05-13|407194|up100pct,SH601608|2019-09-04|325710|up100pct,0.06199200173997362,False,late_rescue_winner,late_rescue_winner,late_rescue_winner,1,-0.0,late_rescue_winner,1.0
up150pct,up150pct::SH601608::000000,1,372698,372698,372698,SH601608|2020-01-23|372698|up150pct,SH601608|2020-01-23|372698|up150pct,SH601608|2020-01-23|372698|up150pct,0.0,False,late_rescue_winner,late_rescue_winner,late_rescue_winner,1,-0.0,late_rescue_winner,1.0
up50pct,up50pct::SH601608::000000,100,126730,261222,366710,SH601608|2018-01-16|126730|up50pct,SH601608|2019-02-28|261222|up50pct,SH601608|2020-01-07|366710|up50pct,0.09390853440301046,True,unclassified_mixed_path,unclassified_short_path,unclassified_mixed_path,4,0.6399870114890273,unclassified_mixed_path,0.6
up100pct,up100pct::SH601611::000000,1,1018680,1018680,1018680,SH601611|2025-05-29|1018680|up100pct,SH601611|2025-05-29|1018680|up100pct,SH601611|2025-05-29|1018680|up100pct,0.0,False,slow_grind_winner,slow_grind_winner,slow_grind_winner,1,-0.0,slow_grind_winner,1.0
up50pct,up50pct::SH601611::000000,16,1018680,1077178,1071172,SH601611|2025-05-29|1018680|up50pct,SH601611|2025-11-19|1077178|up50pct,SH601611|2025-11-03|1071172|up50pct,0.22008979464797893,True,unclassified_mixed_path,smooth_trend_winner,unclassified_mixed_path,3,0.8957541375001012,unclassified_mixed_path,0.5625
up100pct,up100pct::SH601615::000000,42,530685,561687,540184,SH601615|2021-05-19|530685|up100pct,SH601615|2021-08-16|561687|up100pct,SH601615|2021-06-16|540184|up100pct,0.021344656825549223,True,smooth_trend_winner,unclassified_mixed_path,smooth_trend_winner,3,0.6631125584309169,smooth_trend_winner,0.7380952380952381
up100pct,up100pct::SH601615::000001,22,836686,970186,954183,SH601615|2023-11-23|836686|up100pct,SH601615|2024-12-30|970186|up100pct,SH601615|2024-11-14|954183|up100pct,0.1294710793798251,True,late_rescue_winner,slow_grind_winner,unclassified_mixed_path,3,0.7695756163983517,slow_grind_winner,0.5
up150pct,up150pct::SH601615::000000,2,537184,537682,537184,SH601615|2021-06-07|537184|up150pct,SH601615|2021-06-08|537682|up150pct,SH601615|2021-06-07|537184|up150pct,0.0312759298008906,False,stair_step_winner,stair_step_winner,stair_step_winner,1,-0.0,stair_step_winner,1.0
up50pct,up50pct::SH601615::000000,73,530685,561687,542183,SH601615|2021-05-19|530685|up50pct,SH601615|2021-08-16|561687|up50pct,SH601615|2021-06-22|542183|up50pct,0.16723682676925924,False,smooth_trend_winner,smooth_trend_winner,smooth_trend_winner,3,0.8568180179119994,smooth_trend_winner,0.6027397260273972
up50pct,up50pct::SH601615::000001,66,796184,1070673,952682,SH601615|2023-07-25|796184|up50pct,SH601615|2025-10-31|1070673|up50pct,SH601615|2024-11-11|952682|up50pct,0.11343278570697865,True,late_rescue_winner,jump_repricing_winner,unclassified_mixed_path,4,0.9383950074949293,late_rescue_winner,0.3787878787878788
up100pct,up100pct::SH601618::000000,323,254220,551688,442192,SH601618|2019-02-01|254220|up100pct,SH601618|2021-07-19|551688|up100pct,SH601618|2020-08-21|442192|up100pct,0.07752850043760251,True,unclassified_mixed_path,smooth_trend_winner,stair_step_winner,5,0.4811997109782323,stair_step_winner,0.7832817337461301
up150pct,up150pct::SH601618::000000,53,349707,424195,414696,SH601618|2019-11-19|349707|up150pct,SH601618|2020-07-02|424195|up150pct,SH601618|2020-06-03|414696|up150pct,0.0576569593725587,False,stair_step_winner,stair_step_winner,stair_step_winner,1,-0.0,stair_step_winner,1.0
up50pct,up50pct::SH601618::000000,409,124729,564688,423694,SH601618|2018-01-10|124729|up50pct,SH601618|2021-08-24|564688|up50pct,SH601618|2020-07-01|423694|up50pct,0.1067453741912313,True,late_rescue_winner,smooth_trend_winner,stair_step_winner,5,0.8733435327354224,stair_step_winner,0.37163814180929094
up50pct,up50pct::SH601618::000001,2,679185,712683,712683,SH601618|2022-08-05|679185|up50pct,SH601618|2022-11-16|712683|up50pct,SH601618|2022-11-16|712683|up50pct,0.3564929681888179,True,stair_step_winner,unclassified_mixed_path,unclassified_mixed_path,2,1.0,stair_step_winner,0.5
up50pct,up50pct::SH601618::000002,1,1025677,1025677,1025677,SH601618|2025-06-19|1025677|up50pct,SH601618|2025-06-19|1025677|up50pct,SH601618|2025-06-19|1025677|up50pct,0.0,False,smooth_trend_winner,smooth_trend_winner,smooth_trend_winner,1,-0.0,smooth_trend_winner,1.0
up100pct,up100pct::SH601628::000000,100,143724,413198,414697,SH601628|2018-03-12|143724|up100pct,SH601628|2020-05-29|413198|up100pct,SH601628|2020-06-03|414697|up100pct,0.14426250160732446,True,late_rescue_winner,jump_repricing_winner,late_rescue_winner,5,0.4559039321311788,late_rescue_winner,0.79
