instrument,threshold_id,episode_cluster_id,cluster_split_bucket,cluster_member_split_bucket_set,cluster_calendar_span_split_bucket_set,cluster_start_date,cluster_end_date,cluster_start_pos,cluster_end_pos,touches_multiple_split_buckets,touches_multiple_calendar_split_buckets,train_validation_boundary_overlap,validation_robustness_boundary_overlap,split_overlap_status,blocking_reason
SH600000,up100pct,up100pct::SH600000::000000,cross_split,robustness;validation,robustness;validation,2023-11-15,2025-07-04,1668,2063,True,True,False,True,pass,
SH600004,up100pct,up100pct::SH600004::000000,train,train,train,2019-02-11,2019-09-24,510,665,False,False,False,False,pass,
SH600009,up100pct,up100pct::SH600009::000000,train,train,train,2018-01-11,2019-08-27,251,646,False,False,False,False,pass,
SH600010,up100pct,up100pct::SH600010::000000,train,train,train,2018-05-11,2021-09-01,319,1127,False,False,False,False,pass,
SH600010,up100pct,up100pct::SH600010::000001,cross_split,robustness;validation,robustness;validation,2023-11-15,2026-03-02,1659,2211,True,True,False,True,pass,
SH600011,up100pct,up100pct::SH600011::000000,cross_split,train,train;validation,2019-11-20,2023-05-31,701,1556,False,True,True,False,pass,
SH600015,up100pct,up100pct::SH600015::000000,cross_split,train;validation,robustness;train;validation,2021-08-03,2025-07-10,1115,2067,True,True,True,True,pass,
SH600018,up100pct,up100pct::SH600018::000000,cross_split,train,robustness;train;validation,2020-05-12,2024-10-08,811,1879,False,True,True,True,pass,
SH600019,up100pct,up100pct::SH600019::000000,train,train,train,2019-09-05,2021-09-13,634,1125,False,False,False,False,pass,
SH600021,up100pct,up100pct::SH600021::000000,cross_split,robustness;train;validation,robustness;train;validation,2019-02-11,2025-10-30,504,2135,True,True,True,True,pass,
SH600023,up100pct,up100pct::SH600023::000000,cross_split,train;validation,robustness;train;validation,2019-02-14,2024-07-10,513,1825,True,True,True,True,pass,
SH600025,up100pct,up100pct::SH600025::000000,cross_split,train;validation,robustness;train;validation,2018-05-11,2024-10-08,95,1649,True,True,True,True,pass,
SH600026,up100pct,up100pct::SH600026::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-03-25,248,2232,True,True,True,True,pass,
SH600027,up100pct,up100pct::SH600027::000000,cross_split,train;validation,robustness;train;validation,2018-01-12,2024-04-12,252,1765,True,True,True,True,pass,
SH600028,up100pct,up100pct::SH600028::000000,cross_split,train;validation,robustness;train;validation,2018-03-13,2026-03-04,289,2222,True,True,True,True,pass,
SH600030,up100pct,up100pct::SH600030::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2024-11-08,251,1888,True,True,True,True,pass,
SH600031,up100pct,up100pct::SH600031::000000,train,train,train,2020-07-20,2021-01-13,861,981,False,False,False,False,pass,
SH600036,up100pct,up100pct::SH600036::000000,train,train,train,2018-01-11,2021-06-04,251,1074,False,False,False,False,pass,
SH600037,up100pct,up100pct::SH600037::000000,train,train,train,2019-02-11,2020-07-10,508,849,False,False,False,False,pass,
SH600038,up100pct,up100pct::SH600038::000000,train,train,train,2018-01-16,2021-12-31,254,1216,False,False,False,False,pass,
SH600048,up100pct,up100pct::SH600048::000000,cross_split,train,train;validation,2021-08-03,2022-04-15,1115,1283,False,True,True,False,pass,
SH600050,up100pct,up100pct::SH600050::000000,cross_split,validation,robustness;validation,2022-06-29,2025-02-21,1237,1878,False,True,False,True,pass,
SH600056,up100pct,up100pct::SH600056::000000,train,train,train,2018-01-15,2022-03-31,253,1274,False,False,False,False,pass,
SH600060,up100pct,up100pct::SH600060::000000,cross_split,train,robustness;train;validation,2018-01-11,2024-05-13,250,1783,False,True,True,True,pass,
SH600062,up100pct,up100pct::SH600062::000000,train,train,train,2018-01-16,2022-05-12,254,1299,False,False,False,False,pass,
SH600066,up100pct,up100pct::SH600066::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-04-02,251,2242,True,True,True,True,pass,
SH600085,up100pct,up100pct::SH600085::000000,cross_split,train,train;validation,2018-01-11,2023-05-08,251,1539,False,True,True,False,pass,
SH600089,up100pct,up100pct::SH600089::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-01-20,245,2191,True,True,True,True,pass,
SH600095,up100pct,up100pct::SH600095::000000,train,train,train,2020-06-12,2020-08-19,826,872,False,False,False,False,pass,
SH600096,up100pct,up100pct::SH600096::000000,cross_split,robustness;train;validation,robustness;train;validation,2021-06-11,2026-02-27,1077,2217,True,True,True,True,pass,
SH600111,up100pct,up100pct::SH600111::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-03-02,251,2220,True,True,True,True,pass,
SH600118,up100pct,up100pct::SH600118::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2025-12-30,251,2184,True,True,True,True,pass,
SH600120,up100pct,up100pct::SH600120::000000,cross_split,train,robustness;train,2018-03-13,2025-02-13,289,1967,False,True,False,False,pass,
SH600126,up100pct,up100pct::SH600126::000000,cross_split,train,robustness;train,2019-03-08,2025-02-27,529,1970,False,True,False,False,pass,
SH600132,up100pct,up100pct::SH600132::000000,train,train,train,2018-05-11,2021-07-22,328,1107,False,False,False,False,pass,
SH600141,up100pct,up100pct::SH600141::000000,cross_split,validation,robustness,2023-07-31,2026-02-25,1596,2216,False,False,False,False,pass,
SH600143,up100pct,up100pct::SH600143::000000,train,train,train,2018-01-11,2021-02-03,170,915,False,False,False,False,pass,
SH600143,up100pct,up100pct::SH600143::000001,cross_split,robustness;train;validation,robustness;train;validation,2021-10-26,2025-09-18,1087,2036,True,True,True,True,pass,
SH600153,up100pct,up100pct::SH600153::000000,cross_split,train,train;validation,2019-02-11,2022-11-30,510,1436,False,True,True,False,pass,
SH600160,up100pct,up100pct::SH600160::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-03-02,251,2210,True,True,True,True,pass,
SH600161,up100pct,up100pct::SH600161::000000,train,train,train,2018-01-11,2020-08-04,156,777,False,False,False,False,pass,
SH600166,up100pct,up100pct::SH600166::000000,train,train,train,2018-05-11,2021-09-03,328,1138,False,False,False,False,pass,
SH600171,up100pct,up100pct::SH600171::000000,cross_split,train,robustness;train,2020-02-18,2024-10-25,725,1862,False,True,False,False,pass,
SH600176,up100pct,up100pct::SH600176::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-05-28,249,2267,True,True,True,True,pass,
SH600177,up100pct,up100pct::SH600177::000000,cross_split,train,robustness;train;validation,2018-01-11,2024-12-17,251,1932,False,True,True,True,pass,
SH600183,up100pct,up100pct::SH600183::000000,cross_split,robustness;train;validation,robustness;train;validation,2021-10-20,2026-05-27,1164,2278,True,True,True,True,pass,
SH600185,up100pct,up100pct::SH600185::000000,train,train,train,2018-01-18,2020-06-04,256,821,False,False,False,False,pass,
SH600188,up100pct,up100pct::SH600188::000000,cross_split,robustness;train;validation,robustness;train;validation,2021-02-24,2026-04-29,1006,2261,True,True,True,True,pass,
SH600196,up100pct,up100pct::SH600196::000000,train,train,train,2018-01-11,2021-08-05,251,1117,False,False,False,False,pass,
SH600201,up100pct,up100pct::SH600201::000000,train,train,train,2019-02-11,2020-08-10,508,874,False,False,False,False,pass,
SH600208,up100pct,up100pct::SH600208::000000,cross_split,train,robustness;train,2019-02-11,2025-08-18,507,2080,False,True,False,False,pass,
SH600211,up100pct,up100pct::SH600211::000000,train,train,train,2020-07-17,2020-07-31,860,870,False,False,False,False,pass,
SH600219,up100pct,up100pct::SH600219::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-01-29,251,2198,True,True,True,True,pass,
SH600221,up100pct,up100pct::SH600221::000000,train,train,train,2021-02-03,2021-09-08,869,1013,False,False,False,False,pass,
SH600221,up100pct,up100pct::SH600221::000001,robustness,robustness,robustness,2024-09-27,2024-11-08,1749,1774,False,False,False,False,pass,
SH600236,up100pct,up100pct::SH600236::000000,cross_split,robustness;train;validation,robustness;train;validation,2019-02-22,2026-05-12,519,2267,True,True,True,True,pass,
SH600246,up100pct,up100pct::SH600246::000000,cross_split,train,robustness;train,2020-05-07,2026-05-29,803,2271,False,True,False,False,pass,
SH600256,up100pct,up100pct::SH600256::000000,cross_split,train;validation,train;validation,2018-01-11,2022-08-26,251,1361,True,True,True,False,pass,
SH600273,up100pct,up100pct::SH600273::000000,train,train,train,2019-02-11,2019-04-11,418,460,False,False,False,False,pass,
SH600276,up100pct,up100pct::SH600276::000000,train,train,train,2019-04-01,2020-12-25,545,969,False,False,False,False,pass,
SH600276,up100pct,up100pct::SH600276::000001,cross_split,validation,robustness;validation,2022-06-29,2025-09-09,1332,2110,False,True,False,True,pass,
SH600282,up100pct,up100pct::SH600282::000000,cross_split,train,robustness;train,2020-07-10,2026-03-03,846,2208,False,True,False,False,pass,
SH600295,up100pct,up100pct::SH600295::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-02-27,251,2218,True,True,True,True,pass,
SH600298,up100pct,up100pct::SH600298::000000,train,train,train,2018-01-11,2020-08-21,251,885,False,False,False,False,pass,
SH600305,up100pct,up100pct::SH600305::000000,train,train,train,2019-07-05,2020-08-21,609,885,False,False,False,False,pass,
SH600309,up100pct,up100pct::SH600309::000000,train,train,train,2019-02-11,2021-02-18,385,877,False,False,False,False,pass,
SH600315,up100pct,up100pct::SH600315::000000,train,train,train,2019-02-11,2021-06-29,498,1078,False,False,False,False,pass,
SH600316,up100pct,up100pct::SH600316::000000,train,train,train,2020-07-28,2021-01-07,867,977,False,False,False,False,pass,
SH600323,up100pct,up100pct::SH600323::000000,train,train,train,2019-11-01,2026-04-29,688,2259,False,False,False,False,pass,
SH600325,up100pct,up100pct::SH600325::000000,train,train,train,2018-03-13,2023-04-07,286,1518,False,False,False,False,pass,
SH600329,up100pct,up100pct::SH600329::000000,cross_split,train,train;validation,2018-05-11,2023-03-07,328,1498,False,True,True,False,pass,
SH600338,up100pct,up100pct::SH600338::000000,train,train,train,2018-01-18,2021-09-01,249,1129,False,False,False,False,pass,
SH600339,up100pct,up100pct::SH600339::000000,train,train,train,2020-02-03,2026-03-04,745,2220,False,False,False,False,pass,
SH600346,up100pct,up100pct::SH600346::000000,train,train,train,2018-01-11,2021-02-18,188,939,False,False,False,False,pass,
SH600346,up100pct,up100pct::SH600346::000001,cross_split,robustness;validation,robustness;validation,2023-11-15,2026-01-26,1605,2138,True,True,False,True,pass,
SH600348,up100pct,up100pct::SH600348::000000,cross_split,train;validation,train;validation,2018-01-11,2022-08-17,251,1367,True,True,True,False,pass,
SH600350,up100pct,up100pct::SH600350::000000,cross_split,train;validation,robustness;train;validation,2018-01-11,2026-05-22,251,2275,True,True,True,True,pass,
SH600352,up100pct,up100pct::SH600352::000000,train,train,train,2018-01-11,2019-04-10,251,551,False,False,False,False,pass,
SH600352,up100pct,up100pct::SH600352::000001,cross_split,robustness;validation,robustness;validation,2022-11-16,2026-02-26,1426,2218,True,True,False,True,pass,
SH600362,up100pct,up100pct::SH600362::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-01-16,251,2195,True,True,True,True,pass,
SH600377,up100pct,up100pct::SH600377::000000,cross_split,train;validation,robustness;train;validation,2018-01-23,2025-05-30,259,2039,True,True,True,True,pass,
SH600378,up100pct,up100pct::SH600378::000000,cross_split,train,train;validation,2019-10-14,2023-02-16,547,1349,False,True,True,False,pass,
SH600390,up100pct,up100pct::SH600390::000000,cross_split,train,robustness;train;validation,2021-08-03,2024-11-06,1108,1896,False,True,True,True,pass,
SH600392,up100pct,up100pct::SH600392::000000,cross_split,train;validation,robustness;train;validation,2018-01-11,2026-02-27,251,2219,True,True,True,True,pass,
SH600398,up100pct,up100pct::SH600398::000000,cross_split,train,robustness;train;validation,2020-07-02,2024-06-17,844,1803,False,True,True,True,pass,
SH600399,up100pct,up100pct::SH600399::000000,train,train,train,2020-11-18,2021-08-23,735,921,False,False,False,False,pass,
SH600409,up100pct,up100pct::SH600409::000000,train,train,train,2019-02-11,2021-09-02,510,1137,False,False,False,False,pass,
SH600410,up100pct,up100pct::SH600410::000000,train,train,train,2018-05-11,2026-03-09,318,2215,False,False,False,False,pass,
SH600415,up100pct,up100pct::SH600415::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2025-08-26,251,2100,True,True,True,True,pass,
SH600418,up100pct,up100pct::SH600418::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2025-09-15,251,2114,True,True,True,True,pass,
SH600426,up100pct,up100pct::SH600426::000000,cross_split,robustness;train,robustness;train;validation,2019-02-11,2026-03-09,510,2225,True,True,True,True,pass,
SH600435,up100pct,up100pct::SH600435::000000,train,train,train,2018-01-17,2026-01-12,255,2191,False,False,False,False,pass,
SH600436,up100pct,up100pct::SH600436::000000,train,train,train,2018-01-11,2021-07-21,251,1106,False,False,False,False,pass,
SH600446,up100pct,up100pct::SH600446::000000,train,train,train,2018-01-17,2019-04-12,255,553,False,False,False,False,pass,
SH600460,up100pct,up100pct::SH600460::000000,train,train,train,2018-01-11,2021-07-27,186,1034,False,False,False,False,pass,
SH600460,up100pct,up100pct::SH600460::000001,robustness,robustness,robustness,2024-03-28,2026-05-28,1681,2203,False,False,False,False,pass,
SH600482,up100pct,up100pct::SH600482::000000,cross_split,robustness;train;validation,robustness;train;validation,2020-05-15,2026-04-23,806,2236,True,True,True,True,pass,
SH600486,up100pct,up100pct::SH600486::000000,train,train,train,2018-01-11,2021-02-18,251,997,False,False,False,False,pass,
SH600487,up100pct,up100pct::SH600487::000000,cross_split,robustness;train;validation,robustness;train;validation,2020-07-30,2026-03-02,849,2200,True,True,True,True,pass,
SH600489,up100pct,up100pct::SH600489::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-01-29,251,2193,True,True,True,True,pass,
SH600497,up100pct,up100pct::SH600497::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-03-13,2026-01-29,279,2194,True,True,True,True,pass,
SH600498,up100pct,up100pct::SH600498::000000,robustness,robustness,robustness,2025-02-18,2026-03-03,1970,2221,False,False,False,False,pass,
SH600499,up100pct,up100pct::SH600499::000000,train,train,train,2018-01-11,2021-11-24,251,1189,False,False,False,False,pass,
SH600500,up100pct,up100pct::SH600500::000000,train,train,train,2018-01-11,2021-09-10,251,1143,False,False,False,False,pass,
SH600511,up100pct,up100pct::SH600511::000000,train,train,train,2018-01-11,2020-12-11,246,954,False,False,False,False,pass,
SH600515,up100pct,up100pct::SH600515::000000,train,train,train,2019-02-26,2021-09-08,387,1006,False,False,False,False,pass,
SH600516,up100pct,up100pct::SH600516::000000,train,train,train,2020-02-03,2021-09-16,745,1145,False,False,False,False,pass,
SH600519,up100pct,up100pct::SH600519::000000,train,train,train,2018-01-11,2021-02-18,251,1002,False,False,False,False,pass,
SH600522,up100pct,up100pct::SH600522::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-05-20,251,2273,True,True,True,True,pass,
SH600529,up100pct,up100pct::SH600529::000000,train,train,train,2019-10-11,2020-08-03,673,871,False,False,False,False,pass,
SH600536,up100pct,up100pct::SH600536::000000,train,train,train,2019-02-21,2020-07-10,516,853,False,False,False,False,pass,
SH600536,up100pct,up100pct::SH600536::000001,cross_split,robustness;train;validation,robustness;train;validation,2021-02-01,2024-11-13,992,1906,True,True,True,True,pass,
SH600546,up100pct,up100pct::SH600546::000000,cross_split,train,train;validation,2020-01-08,2024-02-20,689,1684,False,True,True,False,pass,
SH600547,up100pct,up100pct::SH600547::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-01-29,222,2174,True,True,True,True,pass,
SH600548,up100pct,up100pct::SH600548::000000,cross_split,train,robustness;train,2019-03-05,2025-01-02,526,1943,False,True,False,False,pass,
SH600549,up100pct,up100pct::SH600549::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-03-02,251,2220,True,True,True,True,pass,
SH600556,up100pct,up100pct::SH600556::000000,train,train,train,2020-01-02,2020-08-24,563,717,False,False,False,False,pass,
SH600559,up100pct,up100pct::SH600559::000000,train,train,train,2018-01-18,2021-01-05,64,778,False,False,False,False,pass,
SH600562,up100pct,up100pct::SH600562::000000,cross_split,train,robustness;train,2020-06-24,2025-10-10,844,2126,False,True,False,False,pass,
SH600563,up100pct,up100pct::SH600563::000000,train,train,train,2020-11-06,2021-11-23,934,1188,False,False,False,False,pass,
SH600570,up100pct,up100pct::SH600570::000000,train,train,train,2018-01-11,2020-07-08,249,851,False,False,False,False,pass,
SH600570,up100pct,up100pct::SH600570::000001,robustness,robustness,robustness,2024-04-22,2025-08-25,1770,2097,False,False,False,False,pass,
SH600578,up100pct,up100pct::SH600578::000000,cross_split,robustness;train,robustness;train,2019-03-14,2026-05-26,533,2277,True,True,False,False,pass,
SH600580,up100pct,up100pct::SH600580::000000,cross_split,robustness;train,robustness;train,2020-01-03,2025-09-17,726,2110,True,True,False,False,pass,
SH600582,up100pct,up100pct::SH600582::000000,cross_split,train,robustness;train,2018-01-16,2024-04-19,254,1771,False,True,False,False,pass,
SH600583,up100pct,up100pct::SH600583::000000,cross_split,train,robustness;train;validation,2020-05-14,2026-03-03,816,2221,False,True,True,True,pass,
SH600584,up100pct,up100pct::SH600584::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-05-27,238,2260,True,True,True,True,pass,
SH600585,up100pct,up100pct::SH600585::000000,train,train,train,2018-01-11,2020-07-21,251,862,False,False,False,False,pass,
SH600588,up100pct,up100pct::SH600588::000000,robustness,robustness,robustness,2024-09-27,2025-03-07,1878,1981,False,False,False,False,pass,
SH600596,up100pct,up100pct::SH600596::000000,train,train,train,2018-05-23,2021-08-25,330,1117,False,False,False,False,pass,
SH600597,up100pct,up100pct::SH600597::000000,train,train,train,2018-05-11,2020-08-31,328,891,False,False,False,False,pass,
SH600598,up100pct,up100pct::SH600598::000000,train,train,train,2018-01-11,2020-08-19,251,883,False,False,False,False,pass,
SH600600,up100pct,up100pct::SH600600::000000,cross_split,train,train;validation,2018-01-11,2023-04-10,251,1522,False,True,True,False,pass,
SH600604,up100pct,up100pct::SH600604::000000,train,train,train,2018-01-16,2019-03-07,254,528,False,False,False,False,pass,
SH600612,up100pct,up100pct::SH600612::000000,cross_split,train,robustness;train;validation,2018-01-30,2024-04-08,264,1762,False,True,True,True,pass,
SH600621,up100pct,up100pct::SH600621::000000,train,train,train,2018-01-11,2020-07-14,245,851,False,False,False,False,pass,
SH600623,up100pct,up100pct::SH600623::000000,train,train,train,2019-02-11,2021-09-16,510,1147,False,False,False,False,pass,
SH600633,up100pct,up100pct::SH600633::000000,train,train,train,2018-05-11,2025-02-17,289,1930,False,False,False,False,pass,
SH600635,up100pct,up100pct::SH600635::000000,train,train,train,2018-01-16,2025-11-27,253,2160,False,False,False,False,pass,
SH600637,up100pct,up100pct::SH600637::000000,cross_split,robustness;train;validation,robustness;train;validation,2019-09-25,2026-01-13,659,2185,True,True,True,True,pass,
SH600640,up100pct,up100pct::SH600640::000000,train,train,train,2019-05-06,2019-12-26,566,727,False,False,False,False,pass,
SH600641,up100pct,up100pct::SH600641::000000,train,train,train,2019-12-30,2021-11-22,650,1108,False,False,False,False,pass,
SH600642,up100pct,up100pct::SH600642::000000,cross_split,train;validation,robustness;train;validation,2018-01-11,2026-05-29,251,2280,True,True,True,True,pass,
SH600660,up100pct,up100pct::SH600660::000000,cross_split,train;validation,robustness;train;validation,2018-01-11,2025-09-17,251,2116,True,True,True,True,pass,
SH600667,up100pct,up100pct::SH600667::000000,train,train,train,2018-01-16,2020-02-25,254,763,False,False,False,False,pass,
SH600673,up100pct,up100pct::SH600673::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-03-13,2026-05-07,64,2015,True,True,True,True,pass,
SH600674,up100pct,up100pct::SH600674::000000,cross_split,train,robustness;train;validation,2020-07-10,2024-10-08,855,1882,False,True,True,True,pass,
SH600685,up100pct,up100pct::SH600685::000000,train,train,train,2018-05-11,2020-07-23,214,740,False,False,False,False,pass,
SH600685,up100pct,up100pct::SH600685::000001,cross_split,train,robustness;train;validation,2021-11-29,2026-02-27,1068,2095,False,True,True,True,pass,
SH600699,up100pct,up100pct::SH600699::000000,cross_split,train;validation,robustness;train;validation,2018-05-11,2025-09-19,325,2115,True,True,True,True,pass,
SH600702,up100pct,up100pct::SH600702::000000,train,train,train,2020-11-25,2021-06-07,936,1063,False,False,False,False,pass,
SH600703,up100pct,up100pct::SH600703::000000,train,train,train,2018-01-16,2021-08-04,254,1116,False,False,False,False,pass,
SH600704,up100pct,up100pct::SH600704::000000,train,train,train,2018-05-11,2021-06-24,328,1087,False,False,False,False,pass,
SH600707,up100pct,up100pct::SH600707::000000,train,train,train,2019-02-28,2021-04-07,523,1034,False,False,False,False,pass,
SH600711,up100pct,up100pct::SH600711::000000,cross_split,train,robustness;train;validation,2021-07-15,2026-01-29,1051,2151,False,True,True,True,pass,
SH600733,up100pct,up100pct::SH600733::000000,train,train,train,2019-07-03,2021-05-20,183,639,False,False,False,False,pass,
SH600737,up100pct,up100pct::SH600737::000000,cross_split,train,robustness;train,2018-01-11,2025-09-02,251,2105,False,True,False,False,pass,
SH600739,up100pct,up100pct::SH600739::000000,train,train,train,2019-02-11,2020-08-04,503,865,False,False,False,False,pass,
SH600740,up100pct,up100pct::SH600740::000000,train,train,train,2019-02-11,2021-09-10,498,1131,False,False,False,False,pass,
SH600754,up100pct,up100pct::SH600754::000000,cross_split,train,train;validation,2018-01-11,2022-07-26,251,1351,False,True,True,False,pass,
SH600760,up100pct,up100pct::SH600760::000000,cross_split,robustness;train,robustness;train;validation,2018-01-11,2025-10-10,239,2115,True,True,True,True,pass,
SH600763,up100pct,up100pct::SH600763::000000,train,train,train,2018-05-11,2021-06-25,328,1088,False,False,False,False,pass,
SH600765,up100pct,up100pct::SH600765::000000,train,train,train,2021-01-04,2021-11-30,964,1183,False,False,False,False,pass,
SH600776,up100pct,up100pct::SH600776::000000,train,train,train,2019-02-11,2019-03-07,510,528,False,False,False,False,pass,
SH600777,up100pct,up100pct::SH600777::000000,cross_split,train,robustness;train,2018-05-16,2026-04-23,282,2160,False,True,False,False,pass,
SH600779,up100pct,up100pct::SH600779::000000,train,train,train,2018-01-11,2021-07-22,251,1105,False,False,False,False,pass,
SH600782,up100pct,up100pct::SH600782::000000,train,train,train,2018-05-11,2021-09-10,328,1143,False,False,False,False,pass,
SH600783,up100pct,up100pct::SH600783::000000,train,train,train,2019-02-14,2026-01-13,513,2192,False,False,False,False,pass,
SH600795,up100pct,up100pct::SH600795::000000,cross_split,train;validation,robustness;train;validation,2018-01-11,2024-06-13,187,1742,True,True,True,True,pass,
SH600801,up100pct,up100pct::SH600801::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-01-23,251,2198,True,True,True,True,pass,
SH600808,up100pct,up100pct::SH600808::000000,train,train,train,2018-01-12,2021-09-09,252,1142,False,False,False,False,pass,
SH600809,up100pct,up100pct::SH600809::000000,train,train,train,2018-01-11,2021-07-16,250,1092,False,False,False,False,pass,
SH600812,up100pct,up100pct::SH600812::000000,train,train,train,2019-09-06,2020-08-06,654,865,False,False,False,False,pass,
SH600816,up100pct,up100pct::SH600816::000000,train,train,train,2019-02-11,2019-03-07,510,528,False,False,False,False,pass,
SH600816,up100pct,up100pct::SH600816::000001,train,train,train,2020-02-10,2021-09-01,750,1081,False,False,False,False,pass,
SH600827,up100pct,up100pct::SH600827::000000,train,train,train,2018-01-11,2020-07-10,251,855,False,False,False,False,pass,
SH600835,up100pct,up100pct::SH600835::000000,train,train,train,2019-02-15,2025-11-26,514,2160,False,False,False,False,pass,
SH600839,up100pct,up100pct::SH600839::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2024-11-01,251,1900,True,True,True,True,pass,
SH600859,up100pct,up100pct::SH600859::000000,train,train,train,2018-01-11,2020-07-09,143,746,False,False,False,False,pass,
SH600862,up100pct,up100pct::SH600862::000000,train,train,train,2019-04-08,2021-01-13,549,981,False,False,False,False,pass,
SH600863,up100pct,up100pct::SH600863::000000,cross_split,train;validation,robustness;train;validation,2019-09-05,2026-05-28,653,2271,True,True,True,True,pass,
SH600869,up100pct,up100pct::SH600869::000000,train,train,train,2019-02-11,2026-01-08,497,2176,False,False,False,False,pass,
SH600871,up100pct,up100pct::SH600871::000000,cross_split,robustness;train;validation,robustness;train;validation,2020-02-03,2026-03-05,716,2192,True,True,True,True,pass,
SH600872,up100pct,up100pct::SH600872::000000,train,train,train,2018-01-11,2020-09-03,251,894,False,False,False,False,pass,
SH600873,up100pct,up100pct::SH600873::000000,cross_split,train,train;validation,2018-01-11,2022-07-06,251,1337,False,True,True,False,pass,
SH600875,up100pct,up100pct::SH600875::000000,cross_split,robustness;train;validation,robustness;train;validation,2021-02-09,2026-03-06,940,2164,True,True,True,True,pass,
SH600879,up100pct,up100pct::SH600879::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-01-07,251,2188,True,True,True,True,pass,
SH600884,up100pct,up100pct::SH600884::000000,train,train,train,2018-01-11,2021-10-28,251,1170,False,False,False,False,pass,
SH600885,up100pct,up100pct::SH600885::000000,robustness,robustness,robustness,2024-03-04,2026-05-27,1739,2278,False,False,False,False,pass,
SH600886,up100pct,up100pct::SH600886::000000,cross_split,train,robustness;train;validation,2018-01-11,2024-07-04,251,1821,False,True,True,True,pass,
SH600893,up100pct,up100pct::SH600893::000000,train,train,train,2018-01-11,2021-01-13,251,970,False,False,False,False,pass,
SH600893,up100pct,up100pct::SH600893::000001,robustness,robustness,robustness,2024-04-11,2026-03-10,1754,2215,False,False,False,False,pass,
SH600895,up100pct,up100pct::SH600895::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2025-09-30,251,2125,True,True,True,True,pass,
SH600900,up100pct,up100pct::SH600900::000000,cross_split,train,robustness;train;validation,2018-01-11,2024-10-08,251,1871,False,True,True,True,pass,
SH600919,up100pct,up100pct::SH600919::000000,cross_split,train;validation,robustness;train;validation,2021-06-11,2025-07-04,1073,2057,True,True,True,True,pass,
SH600938,up100pct,up100pct::SH600938::000000,cross_split,validation,robustness;validation,2022-07-21,2026-01-28,61,916,False,True,False,True,pass,
SH600956,up100pct,up100pct::SH600956::000000,train,train,train,2020-10-13,2021-10-08,70,310,False,False,False,False,pass,
SH600958,up100pct,up100pct::SH600958::000000,train,train,train,2019-02-11,2021-09-10,504,1137,False,False,False,False,pass,
SH600967,up100pct,up100pct::SH600967::000000,cross_split,train,robustness;train,2018-01-11,2025-08-11,251,2089,False,True,False,False,pass,
SH600968,up100pct,up100pct::SH600968::000000,cross_split,train;validation,robustness;train;validation,2019-09-20,2026-03-04,61,1620,True,True,True,True,pass,
SH600977,up100pct,up100pct::SH600977::000000,cross_split,train,robustness;train;validation,2021-01-13,2025-09-16,981,2115,False,True,True,True,pass,
SH600985,up100pct,up100pct::SH600985::000000,cross_split,train;validation,robustness;train;validation,2020-03-13,2024-10-08,675,1781,True,True,True,True,pass,
SH600988,up100pct,up100pct::SH600988::000000,cross_split,robustness;train;validation,robustness;train;validation,2020-05-20,2026-01-29,812,2196,True,True,True,True,pass,
SH600989,up100pct,up100pct::SH600989::000000,cross_split,robustness;train;validation,robustness;train;validation,2019-09-05,2026-03-16,79,1656,True,True,True,True,pass,
SH600999,up100pct,up100pct::SH600999::000000,train,train,train,2018-01-16,2021-01-13,254,975,False,False,False,False,pass,
SH601000,up100pct,up100pct::SH601000::000000,cross_split,train,robustness;train,2018-01-11,2024-08-02,249,1840,False,True,False,False,pass,
SH601019,up100pct,up100pct::SH601019::000000,cross_split,train,robustness;train,2019-02-11,2024-10-08,294,1666,False,True,False,False,pass,
SH601021,up100pct,up100pct::SH601021::000000,train,train,train,2018-01-17,2021-05-28,255,1069,False,False,False,False,pass,
