instrument,threshold_id,episode_cluster_id,cluster_split_bucket,cluster_member_split_bucket_set,cluster_calendar_span_split_bucket_set,cluster_start_date,cluster_end_date,cluster_start_pos,cluster_end_pos,touches_multiple_split_buckets,touches_multiple_calendar_split_buckets,train_validation_boundary_overlap,validation_robustness_boundary_overlap,split_overlap_status,blocking_reason
SZ000983,up100pct,up100pct::SZ000983::000000,cross_split,train;validation,train;validation,2018-01-11,2022-06-09,251,1309,True,True,True,False,pass,
SZ000987,up100pct,up100pct::SZ000987::000000,train,train,train,2019-09-05,2020-07-15,628,832,False,False,False,False,pass,
SZ000987,up100pct,up100pct::SZ000987::000001,cross_split,robustness;train;validation,robustness;train;validation,2021-05-17,2026-01-26,1034,2175,True,True,True,True,pass,
SZ000988,up100pct,up100pct::SZ000988::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-05-26,251,2277,True,True,True,True,pass,
SZ000990,up100pct,up100pct::SZ000990::000000,train,train,train,2018-01-12,2019-04-09,252,550,False,False,False,False,pass,
SZ000997,up100pct,up100pct::SZ000997::000000,cross_split,train,robustness;train,2019-02-11,2025-07-15,510,2070,False,True,False,False,pass,
SZ000998,up100pct,up100pct::SZ000998::000000,train,train,train,2019-02-11,2021-11-12,490,1161,False,False,False,False,pass,
SZ000999,up100pct,up100pct::SZ000999::000000,cross_split,validation,robustness;validation,2022-08-01,2024-10-09,1355,1883,False,True,False,True,pass,
SZ001203,up100pct,up100pct::SZ001203::000000,robustness,robustness,robustness,2025-11-11,2026-04-17,1094,1198,False,False,False,False,pass,
SZ001309,up100pct,up100pct::SZ001309::000000,robustness,robustness,robustness,2025-09-24,2026-05-07,787,930,False,False,False,False,pass,
SZ001389,up100pct,up100pct::SZ001389::000000,robustness,robustness,robustness,2025-09-22,2026-04-24,359,498,False,False,False,False,pass,
SZ001914,up100pct,up100pct::SZ001914::000000,train,train,train,2019-12-17,2020-08-04,709,861,False,False,False,False,pass,
SZ001965,up100pct,up100pct::SZ001965::000000,cross_split,train;validation,robustness;train;validation,2021-09-13,2024-12-27,905,1701,True,True,True,True,pass,
SZ002001,up100pct,up100pct::SZ002001::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-03-12,251,2228,True,True,True,True,pass,
SZ002008,up100pct,up100pct::SZ002008::000000,cross_split,robustness;validation,robustness;validation,2022-01-05,2026-04-23,1218,2257,True,True,False,True,pass,
SZ002019,up100pct,up100pct::SZ002019::000000,train,train,train,2020-01-03,2020-08-06,732,874,False,False,False,False,pass,
SZ002027,up100pct,up100pct::SZ002027::000000,train,train,train,2019-02-11,2021-02-18,510,1002,False,False,False,False,pass,
SZ002028,up100pct,up100pct::SZ002028::000000,cross_split,robustness;validation,robustness;validation,2022-01-05,2026-03-06,1218,2224,True,True,False,True,pass,
SZ002030,up100pct,up100pct::SZ002030::000000,train,train,train,2018-01-17,2020-08-04,255,872,False,False,False,False,pass,
SZ002050,up100pct,up100pct::SZ002050::000000,cross_split,robustness;validation,robustness;validation,2023-07-26,2026-01-19,1556,2158,True,True,False,True,pass,
SZ002056,up100pct,up100pct::SZ002056::000000,cross_split,train,robustness;train;validation,2018-01-11,2026-05-28,251,2279,False,True,True,True,pass,
SZ002064,up100pct,up100pct::SZ002064::000000,train,train,train,2019-12-20,2021-02-22,712,993,False,False,False,False,pass,
SZ002064,up100pct,up100pct::SZ002064::000001,cross_split,robustness;validation,robustness;validation,2022-07-26,2026-01-22,1340,2184,True,True,False,True,pass,
SZ002065,up100pct,up100pct::SZ002065::000000,train,train,train,2018-01-11,2020-03-03,251,758,False,False,False,False,pass,
SZ002065,up100pct,up100pct::SZ002065::000001,cross_split,train,robustness;train,2020-12-29,2025-02-21,961,1963,False,True,False,False,pass,
SZ002074,up100pct,up100pct::SZ002074::000000,robustness,robustness,robustness,2024-09-27,2025-09-12,1867,2100,False,False,False,False,pass,
SZ002075,up100pct,up100pct::SZ002075::000000,train,train,train,2019-02-20,2020-11-18,61,486,False,False,False,False,pass,
SZ002080,up100pct,up100pct::SZ002080::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-05-26,249,2265,True,True,True,True,pass,
SZ002085,up100pct,up100pct::SZ002085::000000,cross_split,train,robustness;train,2018-05-11,2024-10-31,280,1851,False,True,False,False,pass,
SZ002127,up100pct,up100pct::SZ002127::000000,train,train,train,2019-02-11,2020-07-10,505,850,False,False,False,False,pass,
SZ002128,up100pct,up100pct::SZ002128::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-03-12,150,2102,True,True,True,True,pass,
SZ002129,up100pct,up100pct::SZ002129::000000,cross_split,train,train;validation,2020-07-27,2022-07-01,629,1097,False,True,True,False,pass,
SZ002131,up100pct,up100pct::SZ002131::000000,cross_split,robustness;train,robustness;train,2019-11-20,2026-01-15,701,2194,True,True,False,False,pass,
SZ002138,up100pct,up100pct::SZ002138::000000,cross_split,train,train;validation,2018-03-13,2026-05-29,289,2280,False,True,True,False,pass,
SZ002152,up100pct,up100pct::SZ002152::000000,cross_split,train,robustness;train;validation,2018-01-11,2025-02-27,251,1977,False,True,True,True,pass,
SZ002153,up100pct,up100pct::SZ002153::000000,cross_split,train;validation,train;validation,2018-01-11,2023-04-03,241,1508,True,True,True,False,pass,
SZ002155,up100pct,up100pct::SZ002155::000000,robustness,robustness,robustness,2025-06-16,2026-03-03,2049,2211,False,False,False,False,pass,
SZ002156,up100pct,up100pct::SZ002156::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-05-27,249,2276,True,True,True,True,pass,
SZ002176,up100pct,up100pct::SZ002176::000000,train,train,train,2018-01-11,2021-08-06,251,1111,False,False,False,False,pass,
SZ002185,up100pct,up100pct::SZ002185::000000,cross_split,robustness;train;validation,robustness;train;validation,2019-09-05,2026-05-28,647,2263,True,True,True,True,pass,
SZ002195,up100pct,up100pct::SZ002195::000000,cross_split,robustness;train,robustness;train,2019-09-11,2026-01-14,657,2193,True,True,False,False,pass,
SZ002202,up100pct,up100pct::SZ002202::000000,cross_split,robustness;train;validation,robustness;train;validation,2019-02-11,2026-01-13,510,2186,True,True,True,True,pass,
SZ002221,up100pct,up100pct::SZ002221::000000,train,train,train,2019-02-13,2021-09-16,504,1139,False,False,False,False,pass,
SZ002223,up100pct,up100pct::SZ002223::000000,cross_split,train,robustness;train;validation,2018-01-11,2026-01-14,251,2193,False,True,True,True,pass,
SZ002241,up100pct,up100pct::SZ002241::000000,cross_split,robustness;validation,robustness;validation,2023-11-15,2025-10-09,1668,2126,True,True,False,True,pass,
SZ002242,up100pct,up100pct::SZ002242::000000,train,train,train,2019-07-02,2020-09-04,606,895,False,False,False,False,pass,
SZ002244,up100pct,up100pct::SZ002244::000000,cross_split,train,robustness;train;validation,2018-03-13,2025-09-22,289,2119,False,True,True,True,pass,
SZ002261,up100pct,up100pct::SZ002261::000000,robustness,robustness,robustness,2024-10-21,2025-08-28,1891,2102,False,False,False,False,pass,
SZ002262,up100pct,up100pct::SZ002262::000000,cross_split,train,validation,2020-06-12,2023-05-30,837,1555,False,False,False,False,pass,
SZ002266,up100pct,up100pct::SZ002266::000000,train,train,train,2020-06-18,2021-09-23,830,1139,False,False,False,False,pass,
SZ002268,up100pct,up100pct::SZ002268::000000,train,train,train,2021-07-26,2021-11-15,1109,1182,False,False,False,False,pass,
SZ002273,up100pct,up100pct::SZ002273::000000,cross_split,robustness;train,robustness;train,2019-12-18,2026-05-28,721,2279,True,True,False,False,pass,
SZ002281,up100pct,up100pct::SZ002281::000000,robustness,robustness,robustness,2024-03-06,2026-05-06,1741,2263,False,False,False,False,pass,
SZ002294,up100pct,up100pct::SZ002294::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-22,2026-04-02,258,2243,True,True,True,True,pass,
SZ002304,up100pct,up100pct::SZ002304::000000,train,train,train,2018-01-11,2021-01-06,251,976,False,False,False,False,pass,
SZ002311,up100pct,up100pct::SZ002311::000000,train,train,train,2020-05-12,2021-02-18,814,1002,False,False,False,False,pass,
SZ002320,up100pct,up100pct::SZ002320::000000,train,train,train,2018-05-11,2025-11-06,328,2146,False,False,False,False,pass,
SZ002326,up100pct,up100pct::SZ002326::000000,cross_split,train,,2020-02-11,2021-08-05,753,1117,False,False,False,False,pass,
SZ002353,up100pct,up100pct::SZ002353::000000,cross_split,robustness;train;validation,robustness;train;validation,2019-02-11,2026-02-27,510,2219,True,True,True,True,pass,
