threshold_id,path_type,episode_cluster_n,winner_anchor_n
up100pct,slow_grind_winner,162,34514
up50pct,slow_grind_winner,154,39244
up100pct,smooth_trend_winner,51,2967
up50pct,smooth_trend_winner,163,7594
up50pct,stair_step_winner,164,38906
up100pct,stair_step_winner,183,30337
up150pct,stair_step_winner,131,16883
up50pct,unclassified_mixed_path,493,76248
up100pct,unclassified_mixed_path,141,15857
up100pct,late_rescue_winner,293,41374
up50pct,late_rescue_winner,360,43705
up150pct,late_rescue_winner,226,34924
up150pct,slow_grind_winner,119,20886
up150pct,unclassified_mixed_path,63,6548
up100pct,jump_repricing_winner,12,585
up50pct,jump_repricing_winner,90,4835
up50pct,unclassified_short_path,21,54
up150pct,smooth_trend_winner,18,857
up100pct,unclassified_short_path,1,5
up50pct,choppy_reversal_winner,14,465
up150pct,jump_repricing_winner,7,338
up100pct,choppy_reversal_winner,1,5
