split_bucket,threshold_id,path_type,episode_cluster_n,episode_cluster_share,winner_anchor_n,wick_hit_only_n,wick_hit_only_share,wick_hit_only_share_by_path_type,wick_hit_only_share_in_choppy_reversal_winner,wick_hit_only_share_in_low_efficiency_predicate_hits,smooth_overrides_jump_episode_cluster_n,smooth_overrides_jump_share,path_type_missing_feature_flag_n
robustness,up100pct,slow_grind_winner,92,0.5935483870967742,13941,48,0.5217391304347826,0.5217391304347826,,,0,0.0,0
robustness,up50pct,slow_grind_winner,111,0.29442970822281167,25682,63,0.5675675675675675,0.5675675675675675,,0.45454545454545453,0,0.0,0
train,up100pct,smooth_trend_winner,38,0.06260296540362438,1664,19,0.5,0.5,1.0,0.5911330049261084,38,1.0,0
train,up50pct,smooth_trend_winner,111,0.12078346028291621,5617,67,0.6036036036036037,0.6036036036036037,0.5,0.5335570469798657,111,1.0,0
train,up50pct,stair_step_winner,155,0.16866158868335146,37158,85,0.5483870967741935,0.5483870967741935,0.5,0.5335570469798657,0,0.0,0
train,up100pct,stair_step_winner,177,0.2915980230642504,29933,93,0.5254237288135594,0.5254237288135594,1.0,0.5911330049261084,0,0.0,0
train,up150pct,stair_step_winner,131,0.31116389548693585,16883,72,0.549618320610687,0.549618320610687,,0.5957446808510638,0,0.0,0
train,up50pct,unclassified_mixed_path,308,0.33514689880304677,47691,152,0.4935064935064935,0.4935064935064935,0.5,0.5335570469798657,0,0.0,0
train,up100pct,unclassified_mixed_path,100,0.16474464579901152,10727,56,0.56,0.56,1.0,0.5911330049261084,0,0.0,0
validation,up100pct,slow_grind_winner,31,0.3780487804878049,9734,17,0.5483870967741935,0.5483870967741935,,0.5,0,0.0,0
train,up50pct,slow_grind_winner,12,0.013057671381936888,5486,5,0.4166666666666667,0.4166666666666667,0.5,0.5335570469798657,0,0.0,0
train,up100pct,late_rescue_winner,244,0.40197693574958815,28051,139,0.569672131147541,0.569672131147541,1.0,0.5911330049261084,0,0.0,0
train,up50pct,late_rescue_winner,264,0.28726877040261156,27535,138,0.5227272727272727,0.5227272727272727,0.5,0.5335570469798657,0,0.0,0
validation,up50pct,slow_grind_winner,31,0.1901840490797546,8076,18,0.5806451612903226,0.5806451612903226,,0.5961538461538461,0,0.0,0
validation,up100pct,late_rescue_winner,32,0.3902439024390244,11605,14,0.4375,0.4375,,0.5,0,0.0,0
validation,up150pct,late_rescue_winner,27,0.4909090909090909,7469,16,0.5925925925925926,0.5925925925925926,,1.0,0,0.0,0
train,up100pct,slow_grind_winner,39,0.0642504118616145,10839,23,0.5897435897435898,0.5897435897435898,1.0,0.5911330049261084,0,0.0,0
train,up150pct,slow_grind_winner,34,0.08076009501187649,6581,17,0.5,0.5,,0.5957446808510638,0,0.0,0
train,up150pct,unclassified_mixed_path,51,0.12114014251781473,4970,26,0.5098039215686274,0.5098039215686274,,0.5957446808510638,0,0.0,0
robustness,up50pct,unclassified_mixed_path,148,0.3925729442970822,23287,84,0.5675675675675675,0.5675675675675675,,0.45454545454545453,0,0.0,0
train,up150pct,late_rescue_winner,188,0.44655581947743467,26184,109,0.5797872340425532,0.5797872340425532,,0.5957446808510638,0,0.0,0
validation,up100pct,unclassified_mixed_path,8,0.0975609756097561,1382,5,0.625,0.625,,0.5,0,0.0,0
train,up100pct,jump_repricing_winner,7,0.011532125205930808,495,5,0.7142857142857143,0.7142857142857143,1.0,0.5911330049261084,0,0.0,0
train,up50pct,jump_repricing_winner,46,0.05005440696409141,1875,29,0.6304347826086957,0.6304347826086957,0.5,0.5335570469798657,0,0.0,0
validation,up150pct,slow_grind_winner,21,0.38181818181818183,6860,9,0.42857142857142855,0.42857142857142855,,1.0,0,0.0,0
robustness,up50pct,late_rescue_winner,30,0.07957559681697612,3406,14,0.4666666666666667,0.4666666666666667,,0.45454545454545453,0,0.0,0
validation,up50pct,late_rescue_winner,66,0.4049079754601227,12764,35,0.5303030303030303,0.5303030303030303,,0.5961538461538461,0,0.0,0
robustness,up150pct,slow_grind_winner,64,0.7272727272727273,7445,34,0.53125,0.53125,,,0,0.0,0
train,up50pct,unclassified_short_path,9,0.009793253536452665,40,4,0.4444444444444444,0.4444444444444444,0.5,0.5335570469798657,9,1.0,0
robustness,up100pct,smooth_trend_winner,8,0.05161290322580645,980,3,0.375,0.375,,,8,1.0,0
validation,up50pct,unclassified_mixed_path,37,0.22699386503067484,5270,20,0.5405405405405406,0.5405405405405406,,0.5961538461538461,0,0.0,0
robustness,up50pct,smooth_trend_winner,39,0.10344827586206896,1759,24,0.6153846153846154,0.6153846153846154,,0.45454545454545453,39,1.0,0
validation,up50pct,smooth_trend_winner,13,0.07975460122699386,218,10,0.7692307692307693,0.7692307692307693,,0.5961538461538461,13,1.0,0
train,up150pct,smooth_trend_winner,14,0.0332541567695962,696,8,0.5714285714285714,0.5714285714285714,,0.5957446808510638,14,1.0,0
validation,up50pct,stair_step_winner,4,0.024539877300613498,1202,3,0.75,0.75,,0.5961538461538461,0,0.0,0
robustness,up100pct,unclassified_mixed_path,33,0.2129032258064516,3748,21,0.6363636363636364,0.6363636363636364,,,0,0.0,0
train,up100pct,unclassified_short_path,1,0.0016474464579901153,5,0,0.0,0.0,1.0,0.5911330049261084,1,1.0,0
validation,up100pct,smooth_trend_winner,5,0.06097560975609756,323,2,0.4,0.4,,0.5,5,1.0,0
robustness,up150pct,smooth_trend_winner,1,0.011363636363636364,14,1,1.0,1.0,,,1,1.0,0
validation,up150pct,unclassified_mixed_path,4,0.07272727272727272,602,2,0.5,0.5,,1.0,0,0.0,0
validation,up100pct,stair_step_winner,5,0.06097560975609756,344,5,1.0,1.0,,0.5,0,0.0,0
robustness,up150pct,unclassified_mixed_path,8,0.09090909090909091,976,4,0.5,0.5,,,0,0.0,0
validation,up150pct,smooth_trend_winner,3,0.05454545454545454,147,1,0.3333333333333333,0.3333333333333333,,1.0,3,1.0,0
robustness,up50pct,jump_repricing_winner,33,0.08753315649867374,2061,19,0.5757575757575758,0.5757575757575758,,0.45454545454545453,0,0.0,0
robustness,up100pct,late_rescue_winner,17,0.10967741935483871,1718,13,0.7647058823529411,0.7647058823529411,,,0,0.0,0
robustness,up100pct,stair_step_winner,1,0.0064516129032258064,60,1,1.0,1.0,,,0,0.0,0
robustness,up150pct,late_rescue_winner,11,0.125,1271,6,0.5454545454545454,0.5454545454545454,,,0,0.0,0
train,up50pct,choppy_reversal_winner,14,0.015233949945593036,465,7,0.5,0.5,0.5,0.5335570469798657,0,0.0,0
validation,up50pct,jump_repricing_winner,11,0.06748466257668712,899,3,0.2727272727272727,0.2727272727272727,,0.5961538461538461,0,0.0,0
validation,up50pct,unclassified_short_path,1,0.006134969325153374,2,0,0.0,0.0,,0.5961538461538461,1,1.0,0
robustness,up50pct,stair_step_winner,5,0.013262599469496022,546,5,1.0,1.0,,0.45454545454545453,0,0.0,0
train,up150pct,jump_repricing_winner,3,0.007125890736342043,202,1,0.3333333333333333,0.3333333333333333,,0.5957446808510638,0,0.0,0
robustness,up50pct,unclassified_short_path,11,0.029177718832891247,12,6,0.5454545454545454,0.5454545454545454,,0.45454545454545453,11,1.0,0
train,up100pct,choppy_reversal_winner,1,0.0016474464579901153,5,1,1.0,1.0,1.0,0.5911330049261084,0,0.0,0
robustness,up150pct,jump_repricing_winner,4,0.045454545454545456,136,1,0.25,0.25,,,0,0.0,0
robustness,up100pct,jump_repricing_winner,4,0.025806451612903226,69,2,0.5,0.5,,,0,0.0,0
validation,up100pct,jump_repricing_winner,1,0.012195121951219513,21,0,0.0,0.0,,0.5,0,0.0,0
