split_bucket,path_type,feature_id,episode_cluster_n,feature_p25,feature_median,feature_p75,metric_distribution_status
robustness,unclassified_short_path,max_drawdown_before_hit_abs,11,0.0,0.0,0.0,pass
robustness,unclassified_short_path,underwater_days_share,11,0.0,0.0,0.0,pass
robustness,unclassified_short_path,directional_entropy_5state,11,-0.0,-0.0,-0.0,pass
robustness,unclassified_short_path,trend_line_r2,11,0.9978614201974354,0.999755040815687,0.9999997398249885,pass
robustness,unclassified_short_path,top1_positive_gain_share,11,0.500242018247383,0.5135559729644539,0.5378212597454701,pass
robustness,unclassified_short_path,top3_positive_gain_share,11,1.0,1.0,1.0,pass
robustness,unclassified_short_path,time_to_threshold_sessions,11,2.0,2.0,2.0,pass
robustness,unclassified_short_path,pullback_5pct_count,11,0.0,0.0,0.0,pass
robustness,unclassified_short_path,realized_volatility_to_hit,11,0.00013403369577182637,0.006613791823709143,0.016449133106077665,pass
train,choppy_reversal_winner,path_efficiency,14,0.03913641202300483,0.043126226072105325,0.045281470095932246,pass
train,choppy_reversal_winner,max_drawdown_before_hit_abs,14,0.3759539374496803,0.46021352329070764,0.4975214852749359,pass
train,choppy_reversal_winner,underwater_days_share,14,0.9582159466199367,0.9636434317155588,0.9717473957528361,pass
train,choppy_reversal_winner,directional_entropy_5state,14,0.9825534807674677,0.9855626038831189,0.9911034021389626,pass
train,choppy_reversal_winner,trend_line_r2,14,0.013324049166331592,0.049120242782383396,0.11601841996932774,pass
train,choppy_reversal_winner,top1_positive_gain_share,14,0.019667481523123972,0.025953520085116574,0.031500694356504676,pass
train,choppy_reversal_winner,top3_positive_gain_share,14,0.05895823855332769,0.06693487492659785,0.08021954406516846,pass
train,choppy_reversal_winner,time_to_threshold_sessions,14,370.0,390.5,468.25,pass
train,choppy_reversal_winner,pullback_5pct_count,14,4.0,5.5,6.75,pass
train,choppy_reversal_winner,realized_volatility_to_hit,14,0.029338445901824876,0.03117234431006161,0.03259373390338745,pass
train,jump_repricing_winner,path_efficiency,46,0.21418166297847246,0.28313490588598167,0.3559016574050366,pass
train,jump_repricing_winner,max_drawdown_before_hit_abs,46,0.104811807653575,0.14760827678646232,0.2243412399799535,pass
train,jump_repricing_winner,underwater_days_share,46,0.6898674242424243,0.7702839756592292,0.8522058823529411,pass
train,jump_repricing_winner,directional_entropy_5state,46,0.9061707760753523,0.9361597629591238,0.9701151463678621,pass
train,jump_repricing_winner,trend_line_r2,46,0.25421345644485516,0.46340292531980687,0.5805866606210192,pass
train,jump_repricing_winner,top1_positive_gain_share,46,0.12175298060052472,0.1390528930407664,0.16461142119694264,pass
train,jump_repricing_winner,top3_positive_gain_share,46,0.3254187606659177,0.36357171079610423,0.41914631521821333,pass
train,jump_repricing_winner,time_to_threshold_sessions,46,36.0,45.5,67.75,pass
train,jump_repricing_winner,pullback_5pct_count,46,1.0,2.0,2.0,pass
train,jump_repricing_winner,realized_volatility_to_hit,46,0.032709106125300036,0.04052415119549154,0.050272527239453565,pass
train,late_rescue_winner,path_efficiency,252,0.016285559967563725,0.022361411909592534,0.03104988391827848,pass
train,late_rescue_winner,max_drawdown_before_hit_abs,252,0.4282910628019324,0.5330845771144278,0.6250565164370694,pass
train,late_rescue_winner,underwater_days_share,252,0.9798334583846937,0.9868941604599454,0.9910171820753504,pass
train,late_rescue_winner,directional_entropy_5state,252,0.9076555452592193,0.9534949338868074,0.976511524463533,pass
train,late_rescue_winner,trend_line_r2,252,0.04370620959285314,0.12436086211547623,0.26468676184117135,pass
train,late_rescue_winner,top1_positive_gain_share,252,0.009630373440065586,0.012563611579292415,0.016818830343955364,pass
train,late_rescue_winner,top3_positive_gain_share,252,0.028510701586512227,0.03721940684722148,0.048509423948317684,pass
train,late_rescue_winner,time_to_threshold_sessions,252,781.0,1032.5,1333.25,pass
train,late_rescue_winner,pullback_5pct_count,252,3.0,4.0,5.0,pass
train,late_rescue_winner,realized_volatility_to_hit,252,0.021510782452137146,0.026227800774406007,0.03221924067251071,pass
train,slow_grind_winner,path_efficiency,11,0.05654069913556084,0.07003072171618889,0.09421993109340009,pass
train,slow_grind_winner,max_drawdown_before_hit_abs,11,0.12236607142857148,0.1621451104100946,0.1992567316730251,pass
train,slow_grind_winner,underwater_days_share,11,0.9197569756975698,0.9488703923900119,0.9545834186750415,pass
train,slow_grind_winner,directional_entropy_5state,11,0.9735288839544909,0.9763235745838648,0.9814365536909704,pass
train,slow_grind_winner,trend_line_r2,11,0.5436195640662087,0.5958880513603512,0.7083012745434902,pass
train,slow_grind_winner,top1_positive_gain_share,11,0.01737413604781817,0.02091190124192414,0.026236114469965967,pass
train,slow_grind_winner,top3_positive_gain_share,11,0.044058293232899295,0.05108080072273147,0.06523352091797774,pass
train,slow_grind_winner,time_to_threshold_sessions,11,656.0,730.0,872.5,pass
train,slow_grind_winner,pullback_5pct_count,11,4.0,4.0,5.0,pass
train,slow_grind_winner,realized_volatility_to_hit,11,0.008801291608073355,0.009707884730950137,0.011421235088237953,pass
train,smooth_trend_winner,path_efficiency,111,0.28299399931963365,0.38794615686162676,0.5831964428694122,pass
train,smooth_trend_winner,max_drawdown_before_hit_abs,111,0.06667429875195313,0.0993537964458805,0.13780853435896878,pass
train,smooth_trend_winner,underwater_days_share,111,0.47368421052631576,0.5925925925925926,0.7297297297297297,pass
train,smooth_trend_winner,directional_entropy_5state,111,0.8805450127552417,0.9241167420456056,0.9539346267468112,pass
train,smooth_trend_winner,trend_line_r2,111,0.726222916728603,0.7840752125374745,0.8538898000884088,pass
train,smooth_trend_winner,top1_positive_gain_share,111,0.09873973868773994,0.134859559300784,0.18058753693040303,pass
train,smooth_trend_winner,top3_positive_gain_share,111,0.2706080320355483,0.37374226507604524,0.49081678320672817,pass
