check_id,scope,observed_value,required_value,status,blocking_reason
U01,membership,true,true,pass,
U02,membership,1018500,1018500,pass,
U03,timing,1018500,1018500,pass,
U04,denominator,1018500,1018500,pass,
U05,universe_source,membership_file_only,no_current_constituent_backfill,pass,
