run_id,stage,accessed_at_utc,artifact_path_or_resource,artifact_sha256_or_root_hash,dataset_role,columns_or_metadata_read,derived_fields,feature_date_constraint,outcome_columns_detected,outcome_formula_executed,selection_or_tuning_allowed,purpose,access_gate
21A_paper_lineage_pit_data_and_architecture_contract,freeze,2026-07-13T15:36:28.285769Z,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/configs/config_21a_paper_lineage_pit_data_and_architecture_contract.yaml,28b7959c2f0baeaa10cc1c9bce7b996642e1ead818e1c21d5fe24df41aed44a3,resolved_config_input,identity|paths|source_allowlist|input_hash_expectations|paper_contract|feature_contract|universe_contract|architecture|arms|split|dependencies|metrics|execution|forward|gates|output,resolved_config,not_applicable,,false,false,freeze_stage_configuration,pass
21A_paper_lineage_pit_data_and_architecture_contract,freeze,2026-07-13T15:36:28.296650Z,package:PyYAML==6.0.3,,python_package,yaml.safe_load|yaml.safe_dump,resolved_config,not_applicable,,false,false,freeze_stage_configuration,pass
21A_paper_lineage_pit_data_and_architecture_contract,freeze,2026-07-13T15:36:28.298777Z,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21a/source_availability_manifest.csv,f8f2a2d160c52b10a9b8c3c9f5ad8961ed23fc7b69951e420ab78061a4e9b2a0,paper_source_manifest,source_id|source_role|requested_url|resolved_url|resolved_domain|http_status|content_sha256|content_type|retrieved_at_utc|inside_allowlist|identity_status|availability_status,,not_applicable,,false,false,formula_authorization,pass
21A_paper_lineage_pit_data_and_architecture_contract,freeze,2026-07-13T15:36:28.302585Z,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21a/paper_formula_registry_draft.csv,a9463725b0df03c8a0aedc5fe66a31ebf61b63f9d35b80fe5b1241a1b3680d7c,paper_formula_review,run_id|formula_id|source_id|paper_page|paper_section|equation_figure_table_anchor|paper_claim_summary|paper_formula_canonical|input_symbols|output_symbols|paper_disclosed|paper_exact_or_project_choice|project_formula_canonical|project_adaptation_reason|implementation_owner_stage|primary_or_sensitivity|claim_ceiling|human_verified|status|draft_registry_sha256_input,,not_applicable,,false,false,formula_authorization,pass
21A_paper_lineage_pit_data_and_architecture_contract,freeze,2026-07-13T15:36:28.302673Z,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21a/formula_review_packet.md,81569b398d9aca90888202c59b1c95eae2e846ac08c378f6da9ad7aac4ae2563,paper_formula_review,contract_metadata,,not_applicable,,false,false,formula_authorization,pass
21A_paper_lineage_pit_data_and_architecture_contract,freeze,2026-07-13T15:36:28.302755Z,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21a/formula_review_authorization.json,c06357ac5caab625724e76c7c3abb3ec34f00a694dfa65fc42a3bf378b2afd65,paper_formula_review,contract_metadata,,not_applicable,,false,false,formula_authorization,pass
21A_paper_lineage_pit_data_and_architecture_contract,freeze,2026-07-13T15:36:33.264921Z,topics/02_AFML_BIG_WINNER/data/processed/index/benchmark_indices_daily.csv,5a423eca433727c40eb59799301f31d49065bb17cd3bb49e61074af70d87e54d,input_audit:benchmark,date|open|high|low|close|volume|money|trade_date|index_alias|instrument|source_symbol|source_function|source_volume_unit|source_money_unit|source_trade_date,existence|size|sha256_or_root_hash|schema_status,not_applicable,,false,false,input_artifact_audit,pass
21A_paper_lineage_pit_data_and_architecture_contract,freeze,2026-07-13T15:36:33.265037Z,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/configs/config_21a_paper_lineage_pit_data_and_architecture_contract.yaml,28b7959c2f0baeaa10cc1c9bce7b996642e1ead818e1c21d5fe24df41aed44a3,input_audit:config,content_hash,existence|size|sha256_or_root_hash|schema_status,not_applicable,,false,false,input_artifact_audit,pass
21A_paper_lineage_pit_data_and_architecture_contract,freeze,2026-07-13T15:36:33.265107Z,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/censoring_treatment_freeze.csv,ab6ede0b7e40c43b79865bf60bf2d875e371f323a695ddc0e820258f0c8529ae,input_audit:ep19_censor,content_hash,existence|size|sha256_or_root_hash|schema_status,not_applicable,,false,false,input_artifact_audit,pass
21A_paper_lineage_pit_data_and_architecture_contract,freeze,2026-07-13T15:36:33.265166Z,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/replay_cost_assumption_freeze.csv,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,input_audit:ep19_cost,content_hash,existence|size|sha256_or_root_hash|schema_status,not_applicable,,false,false,input_artifact_audit,pass
