split_id,nominal_start,nominal_end,effective_start,effective_end,purge_side,purge_sessions,dropped_day_n,outcome_access_allowed,status
train,2018-01-02,2022-12-30,2018-01-02,2022-12-14,tail_of_earlier_split,12,12,false,pass
validation,2023-01-03,2023-12-29,2023-01-03,2023-12-13,tail_of_earlier_split,12,12,false,pass
historical_design_holdout,2024-01-02,2026-05-29,2024-01-02,2026-05-29,none,0,0,false,pass
