check_id,observed_value,required_value,batch_size,peak_memory_mib,repeat_delta,status
batch_candidate_full_graph,finite_deterministic,finite_deterministic,256,324.0,0.0,pass
python_version,3.11.12,">=3.10,<3.13",,,,pass
torch_version,2.8.0+cu128,2.8.0,,,,pass
platform,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,recorded,,,,pass
torch_cuda_version,12.8,recorded,,,,pass
cuda_available,true,true,,,,pass
cuda_driver_version,610.74,recorded,,,,pass
cuda_device_name,NVIDIA GeForce RTX 4070 SUPER,CUDA RTX 4070 SUPER,256,324.0,0.0,pass
cuda_total_memory_mib,12281.5,>0,256,324.0,,pass
cudnn_version,91002,recorded,,,,pass
deterministic_algorithms_enabled,true,true,,,,pass
cublas_workspace_config,:4096:8,:4096:8,,,,pass
deterministic_debug_mode,2,recorded,,,,pass
known_nondeterministic_ops,none_observed_in_synthetic_graph,none_observed_in_synthetic_graph,256,324.0,0.0,pass
K1C_train_global_mixture,0.0,0.0,256,,0.0,pass
K1C_inference_global_mixture,0.0,0.0,256,,0.0,pass
pyproject_sha256,cd2d0cff7728be686b59ca14b63c35d6050af6b5ff3a2305fa2e50e606d8dd66,recorded_or_true,,,,pass
requirements_sha256,f5be199c2d2bfef623f8781b2dc71047f8a05ef3d6348d43dfc40478e07b7af1,recorded_or_true,,,,pass
uv_lock_sha256,95b1c429f48b9ef1e950d1639334cdcc8633cb1536213e4f236b15e7b00b4e60,recorded_or_true,,,,pass
dependency_lock_gate,true,recorded_or_true,,,,pass
pyqlib_version,0.9.7,0.9.7,,,,pass
lightgbm_version,4.6.0,4.6.0,,,,pass
