dependency,required_spec,baseline_version,lock_resolved_version,runtime_version,direct_or_transitive,baseline_source,resolved_source,lock_action,allowed_change,status
lightgbm,==4.6.0,preimplementation_lock,4.6.0,4.6.0,transitive,Section_13_1,uv.lock|runtime_metadata,unchanged,false,pass
numpy,">=1.26,<2.0",preimplementation_lock,1.26.4,1.26.4,direct,Section_13_1,uv.lock|runtime_metadata,unchanged,false,pass
pandas,">=2.2,<3.0",preimplementation_lock,2.3.3,2.3.3,direct,Section_13_1,uv.lock|runtime_metadata,unchanged,false,pass
pyqlib,==0.9.7,preimplementation_lock,0.9.7,0.9.7,transitive,Section_13_1,uv.lock|runtime_metadata,unchanged,false,pass
stage_interpreter,.venv/bin/python,process_bootstrap,3.11.12,3.11.12,interpreter,Section_15_0,/home/xiaolv/.local/share/uv/python/cpython-3.11.12-linux-x86_64-gnu/bin/python3.11|sha256=89b2f5166fb529c259aedd43e5f718c60e35d58e630cb40ae6accb48fc4f961a,uv_sync_frozen_before_stage,false,pass
torch,==2.8.0,preimplementation_lock,2.8.0,2.8.0,direct_optional,Section_13_1,uv.lock|runtime_metadata,add_torch_only,true,pass
