horizon,split,fallback_comparator_share
H10,robustness,0.011819803746654773
H10,train,0.003514463368477967
H10,validation,0.001638960430812456
H20,robustness,0.01220073664825046
H20,train,0.003672316384180791
H20,validation,0.0024189646831156266
H5,robustness,0.011813607525705535
H5,train,0.002903907074973601
H5,validation,0.0
