signal_date,horizon,active_overlap_share,effective_independent_event_count
2020-02-21,H5,0.0,36
2020-03-06,H5,0.0,72
2020-05-08,H5,0.0,108
2020-05-15,H5,0.4444444444444444,128
2020-06-12,H5,0.0,163
2020-06-19,H5,0.2972972972972973,189
2020-06-24,H5,0.4444444444444444,209
2020-07-03,H5,0.3076923076923077,236
2020-07-10,H5,0.2727272727272727,268
2020-07-17,H5,0.20930232558139536,302
2020-07-24,H5,0.5952380952380952,319
2020-07-31,H5,0.4090909090909091,345
2020-08-07,H5,0.32608695652173914,376
2020-08-14,H5,0.5777777777777777,395
2020-08-21,H5,0.5652173913043478,415
2020-08-28,H5,0.5434782608695652,436
2020-09-04,H5,0.4318181818181818,461
2020-09-11,H5,0.627906976744186,477
2020-09-18,H5,0.6136363636363636,494
2020-09-25,H5,0.46511627906976744,517
2020-09-30,H5,0.5365853658536586,536
2020-10-09,H5,0.6511627906976745,551
2020-10-16,H5,0.4883720930232558,573
2020-10-23,H5,0.6341463414634146,588
2020-10-30,H5,0.5,609
2020-11-06,H5,0.4090909090909091,635
2020-11-13,H5,0.7045454545454546,648
2020-11-20,H5,0.5555555555555556,668
2020-11-27,H5,0.6818181818181818,682
2020-12-04,H5,0.37777777777777777,710
2020-12-11,H5,0.3953488372093023,736
2020-12-18,H5,0.4444444444444444,761
2020-12-25,H5,0.4318181818181818,786
2020-12-31,H5,0.4,813
2021-01-08,H5,0.3617021276595745,843
2021-01-15,H5,0.3333333333333333,875
2021-01-22,H5,0.3958333333333333,904
2021-01-29,H5,0.34782608695652173,934
2021-02-05,H5,0.5217391304347826,956
2021-02-10,H5,0.56,978
2021-02-19,H5,0.46938775510204084,1004
2021-02-26,H5,0.5,1027
2021-03-05,H5,0.7391304347826086,1039
2021-03-12,H5,0.5555555555555556,1059
2021-03-19,H5,0.45454545454545453,1083
2021-03-26,H5,0.5,1106
2021-04-02,H5,0.40425531914893614,1134
2021-04-09,H5,0.41304347826086957,1161
2021-04-16,H5,0.45652173913043476,1186
2021-04-23,H5,0.3404255319148936,1217
2021-04-30,H5,0.43478260869565216,1243
2021-05-07,H5,0.5106382978723404,1266
2021-05-14,H5,0.32608695652173914,1297
2021-05-21,H5,0.4375,1324
2021-05-28,H5,0.4583333333333333,1350
2021-06-04,H5,0.4489795918367347,1377
2021-06-11,H5,0.4375,1404
2021-06-18,H5,0.6086956521739131,1422
2021-06-25,H5,0.5106382978723404,1445
2021-07-02,H5,0.5106382978723404,1468
2021-07-09,H5,0.5531914893617021,1489
2021-07-16,H5,0.5102040816326531,1513
2021-07-23,H5,0.5918367346938775,1533
2021-07-30,H5,0.6595744680851063,1549
2021-08-06,H5,0.6458333333333334,1566
2021-08-13,H5,0.58,1587
2021-08-20,H5,0.6041666666666666,1606
2021-08-27,H5,0.74,1619
2021-09-03,H5,0.5098039215686274,1644
2021-09-10,H5,0.5370370370370371,1669
2021-09-17,H5,0.6037735849056604,1690
2021-09-24,H5,0.5576923076923077,1713
2021-09-30,H5,0.68,1729
2021-10-08,H5,0.7,1744
2021-10-15,H5,0.3673469387755102,1775
2021-10-22,H5,0.46,1802
2021-10-29,H5,0.46,1829
2021-11-05,H5,0.4897959183673469,1854
2021-11-12,H5,0.36,1886
2021-11-19,H5,0.4423076923076923,1915
2021-11-26,H5,0.5384615384615384,1939
2021-12-03,H5,0.5384615384615384,1963
2021-12-10,H5,0.2962962962962963,2001
2021-12-17,H5,0.5192307692307693,2026
2021-12-24,H5,0.6274509803921569,2045
2021-12-31,H5,0.48148148148148145,2073
2022-01-07,H5,0.6862745098039216,2089
2022-01-14,H5,0.6,2109
2022-01-21,H5,0.44,2137
2022-01-28,H5,0.48936170212765956,2161
2022-02-11,H5,0.0,2210
2022-02-18,H5,0.5918367346938775,2230
2022-02-25,H5,0.4489795918367347,2257
2022-03-04,H5,0.5102040816326531,2281
2022-03-11,H5,0.5652173913043478,2301
2022-03-18,H5,0.5652173913043478,2321
2022-03-25,H5,0.6222222222222222,2338
2022-04-01,H5,0.5217391304347826,2360
2022-04-08,H5,0.6444444444444445,2376
2022-04-15,H5,0.5777777777777777,2395
2022-04-22,H5,0.6666666666666666,2409
2022-04-29,H5,0.5,2430
2022-05-06,H5,0.5952380952380952,2447
2022-05-13,H5,0.4186046511627907,2472
2022-05-27,H5,0.0,2515
2022-06-02,H5,0.37777777777777777,2543
2022-06-10,H5,0.40425531914893614,2571
2022-06-17,H5,0.5319148936170213,2593
2022-06-24,H5,0.46808510638297873,2618
2022-07-01,H5,0.2916666666666667,2652
2022-07-08,H5,0.32653061224489793,2685
2022-07-15,H5,0.46808510638297873,2710
2022-07-22,H5,0.46808510638297873,2735
2022-07-29,H5,0.5957446808510638,2754
2022-08-05,H5,0.45652173913043476,2779
2022-08-12,H5,0.5106382978723404,2802
2022-08-19,H5,0.6041666666666666,2821
2022-08-26,H5,0.5,2845
2022-09-02,H5,0.4782608695652174,2869
2022-09-09,H5,0.6170212765957447,2887
2022-09-16,H5,0.5434782608695652,2908
2022-09-23,H5,0.5111111111111111,2930
2022-09-30,H5,0.5,2952
2022-10-14,H5,0.0,2996
2022-10-21,H5,0.5555555555555556,3016
2022-10-28,H5,0.7441860465116279,3027
2022-11-04,H5,0.3111111111111111,3058
2022-11-11,H5,0.4,3085
2022-11-18,H5,0.6,3103
2022-11-25,H5,0.6222222222222222,3120
2022-12-02,H5,0.45652173913043476,3145
2022-12-09,H5,0.5434782608695652,3166
2022-12-16,H5,0.6222222222222222,3183
2022-12-23,H5,0.7209302325581395,3195
2022-12-30,H5,0.6136363636363636,3212
2023-01-06,H5,0.35555555555555557,3241
2023-01-13,H5,0.29545454545454547,3272
2023-01-20,H5,0.21739130434782608,3308
2023-02-03,H5,0.0,3354
2023-02-10,H5,0.574468085106383,3374
2023-02-17,H5,0.6170212765957447,3392
2023-02-24,H5,0.5833333333333334,3412
2023-03-03,H5,0.6458333333333334,3429
2023-03-10,H5,0.6086956521739131,3447
2023-03-17,H5,0.5869565217391305,3466
2023-03-24,H5,0.5106382978723404,3489
2023-03-31,H5,0.5106382978723404,3512
2023-04-07,H5,0.5,3536
2023-04-14,H5,0.6170212765957447,3554
2023-04-21,H5,0.6808510638297872,3569
2023-04-28,H5,0.6170212765957447,3587
2023-05-05,H5,0.717391304347826,3600
2023-05-12,H5,0.6739130434782609,3615
2023-05-19,H5,0.6086956521739131,3633
2023-05-26,H5,0.5217391304347826,3655
2023-06-02,H5,0.4666666666666667,3679
2023-06-09,H5,0.6444444444444445,3695
2023-06-16,H5,0.34782608695652173,3725
2023-06-21,H5,0.4888888888888889,3748
2023-06-30,H5,0.5555555555555556,3768
2023-07-07,H5,0.5333333333333333,3789
2023-07-14,H5,0.4444444444444444,3814
2023-07-21,H5,0.4888888888888889,3837
2023-07-28,H5,0.5652173913043478,3857
2023-08-04,H5,0.43478260869565216,3883
2023-08-11,H5,0.3695652173913043,3912
2023-08-18,H5,0.7045454545454546,3925
2023-08-25,H5,0.6046511627906976,3942
2023-09-01,H5,0.5777777777777777,3961
2023-09-08,H5,0.5111111111111111,3983
2023-09-15,H5,0.7111111111111111,3996
2023-09-22,H5,0.5434782608695652,4017
2023-09-28,H5,0.5777777777777777,4036
2023-10-13,H5,0.0,4080
2023-10-20,H5,0.6511627906976745,4095
2023-10-27,H5,0.5581395348837209,4114
2023-11-03,H5,0.46511627906976744,4137
2023-11-10,H5,0.5227272727272727,4158
2023-11-17,H5,0.6136363636363636,4175
2023-11-24,H5,0.46511627906976744,4198
2023-12-01,H5,0.5116279069767442,4219
2023-12-08,H5,0.6666666666666666,4233
2023-12-15,H5,0.6190476190476191,4249
2023-12-22,H5,0.4634146341463415,4271
2023-12-29,H5,0.5121951219512195,4291
2024-01-05,H5,0.4878048780487805,4312
2024-01-12,H5,0.55,4330
2024-01-19,H5,0.5641025641025641,4347
2024-01-26,H5,0.6410256410256411,4361
2024-02-02,H5,0.7105263157894737,4372
2024-02-08,H5,0.41025641025641024,4395
2024-02-23,H5,0.0,4437
2024-03-01,H5,0.4090909090909091,4463
2024-03-08,H5,0.4186046511627907,4488
2024-03-15,H5,0.38636363636363635,4515
2024-03-22,H5,0.37209302325581395,4542
2024-03-29,H5,0.46511627906976744,4565
2024-04-03,H5,0.6363636363636364,4581
2024-04-12,H5,0.4318181818181818,4606
2024-04-19,H5,0.5777777777777777,4625
2024-04-26,H5,0.4090909090909091,4651
