fetched_at_utc,classification_year,effective_start_date,effective_end_date,classification_first_open_trade_date,source_snapshot_year,source_snapshot_trade_date,snapshot_policy,snapshot_trade_date,source_api,board_ts_code,board_name,idx_type,level,con_code,con_name,trade_date
2026-07-07T06:52:29Z,2016,2016-01-01,2016-12-31,20160104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,20250102,dc_member,BK1186.DC,首发经济,概念板块,,600824.SH,益民集团,20250102
2026-07-07T06:52:29Z,2016,2016-01-01,2016-12-31,20160104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,20250102,dc_member,BK1186.DC,首发经济,概念板块,,002918.SZ,蒙娜丽莎,20250102
2026-07-07T06:52:29Z,2016,2016-01-01,2016-12-31,20160104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,20250102,dc_member,BK1186.DC,首发经济,概念板块,,000417.SZ,合百集团,20250102
2026-07-07T06:52:29Z,2016,2016-01-01,2016-12-31,20160104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,20250102,dc_member,BK1186.DC,首发经济,概念板块,,002187.SZ,广百股份,20250102
2026-07-07T06:52:29Z,2016,2016-01-01,2016-12-31,20160104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,20250102,dc_member,BK1186.DC,首发经济,概念板块,,603682.SH,锦和商管,20250102
2026-07-07T06:52:29Z,2016,2016-01-01,2016-12-31,20160104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,20250102,dc_member,BK1186.DC,首发经济,概念板块,,600778.SH,友好集团,20250102
2026-07-07T06:52:29Z,2016,2016-01-01,2016-12-31,20160104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,20250102,dc_member,BK1186.DC,首发经济,概念板块,,002269.SZ,美邦服饰,20250102
2026-07-07T06:52:29Z,2016,2016-01-01,2016-12-31,20160104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,20250102,dc_member,BK1186.DC,首发经济,概念板块,,600272.SH,开开实业,20250102
2026-07-07T06:52:29Z,2016,2016-01-01,2016-12-31,20160104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,20250102,dc_member,BK1186.DC,首发经济,概念板块,,000501.SZ,武商集团,20250102
2026-07-07T06:52:29Z,2016,2016-01-01,2016-12-31,20160104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,20250102,dc_member,BK1186.DC,首发经济,概念板块,,002780.SZ,三夫户外,20250102
