split,year,board_proxy,executable_rate_denominator_count,executable_rate_numerator_count,non_executable_next_open_count,limit_rule_unavailable_count,executable_rate,main_label_complete_rate
all,all,all,1563,1562,1,0,0.999360204734485,0.9993597951344431
all,all,chinext,323,323,0,0,1.0,1.0
all,all,main_board,1240,1239,1,0,0.9991935483870967,0.9991928974979822
all,2018,all,88,88,0,0,1.0,1.0
all,2018,chinext,5,5,0,0,1.0,1.0
all,2018,main_board,83,83,0,0,1.0,1.0
all,2019,all,68,68,0,0,1.0,1.0
all,2019,chinext,11,11,0,0,1.0,1.0
all,2019,main_board,57,57,0,0,1.0,1.0
all,2020,all,75,75,0,0,1.0,1.0
all,2020,chinext,9,9,0,0,1.0,1.0
all,2020,main_board,66,66,0,0,1.0,1.0
all,2021,all,200,200,0,0,1.0,1.0
all,2021,chinext,35,35,0,0,1.0,1.0
all,2021,main_board,165,165,0,0,1.0,1.0
all,2022,all,295,295,0,0,1.0,1.0
all,2022,chinext,55,55,0,0,1.0,1.0
all,2022,main_board,240,240,0,0,1.0,1.0
all,2023,all,234,234,0,0,1.0,1.0
all,2023,chinext,68,68,0,0,1.0,1.0
all,2023,main_board,166,166,0,0,1.0,1.0
all,2024,all,251,250,1,0,0.9960159362549801,1.0
all,2024,chinext,51,51,0,0,1.0,1.0
all,2024,main_board,200,199,1,0,0.995,1.0
all,2025,all,237,237,0,0,1.0,1.0
all,2025,chinext,53,53,0,0,1.0,1.0
all,2025,main_board,184,184,0,0,1.0,1.0
all,2026,all,115,115,0,0,1.0,0.991304347826087
all,2026,chinext,36,36,0,0,1.0,1.0
all,2026,main_board,79,79,0,0,1.0,0.9873417721518988
train,all,all,431,431,0,0,1.0,1.0
train,all,chinext,60,60,0,0,1.0,1.0
train,all,main_board,371,371,0,0,1.0,1.0
train,2018,all,88,88,0,0,1.0,1.0
train,2018,chinext,5,5,0,0,1.0,1.0
train,2018,main_board,83,83,0,0,1.0,1.0
train,2019,all,68,68,0,0,1.0,1.0
train,2019,chinext,11,11,0,0,1.0,1.0
train,2019,main_board,57,57,0,0,1.0,1.0
train,2020,all,75,75,0,0,1.0,1.0
train,2020,chinext,9,9,0,0,1.0,1.0
train,2020,main_board,66,66,0,0,1.0,1.0
train,2021,all,200,200,0,0,1.0,1.0
train,2021,chinext,35,35,0,0,1.0,1.0
train,2021,main_board,165,165,0,0,1.0,1.0
validation,all,all,529,529,0,0,1.0,1.0
validation,all,chinext,123,123,0,0,1.0,1.0
validation,all,main_board,406,406,0,0,1.0,1.0
validation,2022,all,295,295,0,0,1.0,1.0
validation,2022,chinext,55,55,0,0,1.0,1.0
validation,2022,main_board,240,240,0,0,1.0,1.0
validation,2023,all,234,234,0,0,1.0,1.0
validation,2023,chinext,68,68,0,0,1.0,1.0
validation,2023,main_board,166,166,0,0,1.0,1.0
robustness,all,all,603,602,1,0,0.9983416252072969,0.9983388704318937
robustness,all,chinext,140,140,0,0,1.0,1.0
robustness,all,main_board,463,462,1,0,0.9978401727861771,0.9978354978354979
robustness,2024,all,251,250,1,0,0.9960159362549801,1.0
robustness,2024,chinext,51,51,0,0,1.0,1.0
robustness,2024,main_board,200,199,1,0,0.995,1.0
robustness,2025,all,237,237,0,0,1.0,1.0
robustness,2025,chinext,53,53,0,0,1.0,1.0
robustness,2025,main_board,184,184,0,0,1.0,1.0
robustness,2026,all,115,115,0,0,1.0,0.991304347826087
robustness,2026,chinext,36,36,0,0,1.0,1.0
robustness,2026,main_board,79,79,0,0,1.0,0.9873417721518988
