section,parameter,value,freeze_basis,oos_used_for_selection
event_contract,prior_lookback_sessions,250,fixed_contract_constant,False
event_contract,seed_low_lookback_sessions,60,fixed_contract_constant,False
event_contract,anchor_search_horizon_sessions,120,fixed_contract_constant,False
event_contract,rank_jump_threshold,0.05,fixed_contract_constant,False
event_contract,rank_jump_window,20,fixed_contract_constant,False
event_contract,persistence_window,20,fixed_contract_constant,False
event_contract,persistence_floor,0.0,fixed_contract_constant,False
event_contract,persistence_coverage,0.7,fixed_contract_constant,False
event_contract,amount_ratio_20d_gate,1.5,fixed_contract_constant,False
event_contract,plus20_threshold,0.2,fixed_contract_constant,False
event_contract,continuation_window,20,fixed_contract_constant,False
event_contract,continuation_rank_floor,0.0,fixed_contract_constant,False
event_contract,continuation_rank_coverage,0.6,fixed_contract_constant,False
event_contract,continuation_amount_floor,1.2,fixed_contract_constant,False
event_contract,continuation_amount_coverage,0.6,fixed_contract_constant,False
false_repair,drawdown_floor,-0.1,fixed_contract_constant,False
false_repair,insufficient_runup_floor,0.05,fixed_contract_constant,False
density,seed_density_window,20,fixed_contract_constant,False
density,reclaim_density_window,20,fixed_contract_constant,False
density,event_density_window,20,fixed_contract_constant,False
labels,confirm_20.horizon_days,20,fixed_contract_constant,False
labels,confirm_20.upper_barrier,0.12,fixed_contract_constant,False
labels,confirm_20.lower_barrier,-0.08,fixed_contract_constant,False
labels,confirm_20.touch_priority,lower_barrier_first,fixed_contract_constant,False
labels,failure_10.horizon_days,10,fixed_contract_constant,False
labels,failure_10.lower_barrier,-0.1,fixed_contract_constant,False
labels,continuous_horizons,"[10, 20, 60]",fixed_contract_constant,False
labels,near_winner_horizon_days,120,fixed_contract_constant,False
labels,near_winner_mfe_lower,0.3,fixed_contract_constant,False
labels,near_winner_mfe_upper,0.5,fixed_contract_constant,False
gates,min_total_event_count,120,fixed_contract_constant,False
gates,min_validation_event_count,30,fixed_contract_constant,False
gates,min_robustness_event_count,30,fixed_contract_constant,False
gates,min_baseline_match_coverage,0.8,fixed_contract_constant,False
gates,min_validation_baseline_match_coverage,0.7,fixed_contract_constant,False
gates,min_robustness_baseline_match_coverage,0.7,fixed_contract_constant,False
gates,min_event_label_complete_rate,0.7,fixed_contract_constant,False
gates,min_executable_rate,0.8,fixed_contract_constant,False
gates,confirm20_rate_lift,1.25,fixed_contract_constant,False
gates,confirm20_abs_diff,0.05,fixed_contract_constant,False
