split,year,candidate_count_before_false_repair,event_invalidated_false_repair_count,candidate_count_after_false_repair,false_repair_10d_diagnostic_count,false_repair_20d_diagnostic_count,insufficient_runup_20d_diagnostic_count
all,all,1771,204,1567,72,190,468
all,2018,110,21,89,10,18,46
all,2019,69,1,68,0,1,9
all,2020,87,12,75,4,11,11
all,2021,225,25,200,12,24,54
all,2022,353,56,297,18,54,111
all,2023,260,26,234,8,25,91
all,2024,283,32,251,8,30,61
all,2025,258,20,238,10,18,62
all,2026,126,11,115,2,9,23
train,all,491,59,432,26,54,120
train,2018,110,21,89,10,18,46
train,2019,69,1,68,0,1,9
train,2020,87,12,75,4,11,11
train,2021,225,25,200,12,24,54
validation,all,613,82,531,26,79,202
validation,2022,353,56,297,18,54,111
validation,2023,260,26,234,8,25,91
robustness,all,667,63,604,20,57,146
robustness,2024,283,32,251,8,30,61
robustness,2025,258,20,238,10,18,62
robustness,2026,126,11,115,2,9,23
