event_count,baseline_count,executable_rate_denominator_count,executable_rate_numerator_count,event_confirm20_pos_rate,baseline_confirm20_pos_rate,confirm20_rate_lift,confirm20_rate_diff,event_failure10_rate,baseline_failure10_rate,failure10_rate_diff,event_forward_return_20d_mean,event_forward_return_20d_median,baseline_forward_return_20d_mean,baseline_forward_return_20d_median,forward_return_20d_diff,event_payoff_ratio,censored_count,non_executable_next_open_count,event_type,baseline_family,baseline_t0_policy,false_repair_policy,split,regime_bucket,baseline_match_coverage,matched_event_count,unmatched_event_count,cross_split_boundary_unusable_count,train_confirm20_rate_lift,validation_confirm20_rate_lift,robustness_confirm20_rate_lift,train_failure10_rate_diff,validation_failure10_rate_diff,robustness_failure10_rate_diff,train_forward_return_20d_diff,validation_forward_return_20d_diff,robustness_forward_return_20d_diff,train_lift,validation_lift,robustness_lift,split_stability,claim_status
1563,4440,1261,1260,0.23492063492063492,0.20945945945945946,1.1215565796210958,0.02546117546117546,0.15714285714285714,0.1313063063063063,0.025836550836550842,3.2141834778597738e-06,-0.013064842247362873,-0.00122198241652214,-0.013285024154589431,0.0012251965999999998,1.250543057629418,1,1,E_S3_all,baseline_raw,observed_failure_decision_date,raw_retained,all,all,0.8067818298144593,1261,302,8,1.3136355917812874,0.935424175483471,1.1525896035175212,0.0340508296979119,-0.01473234866121012,0.04786132165722275,0.02617173571487815,-0.006927130170306666,-0.004375212147752298,1.3136355917812874,0.935424175483471,1.1525896035175212,not_stable_or_sample_blocked,diagnostic
375,646,258,258,0.17829457364341086,0.30959752321981426,0.5758914728682171,-0.1313029495764034,0.14728682170542637,0.13157894736842105,0.015707874337005323,0.012599160082693798,0.00414264140582099,0.04155273167733374,0.03167420814479627,-0.028953571594639942,1.3507596954714158,0,0,E_S3_all,baseline_raw,observed_failure_decision_date,raw_retained,all,risk_off,0.688,258,117,1,0.2927927927927928,0.4138948225002543,0.874000761324705,0.0074364305133536035,0.010602505018519032,0.03151837856406732,-0.003536430408331697,-0.056266246877536695,-0.010318688582437119,0.2927927927927928,0.4138948225002543,0.874000761324705,not_stable_or_sample_blocked,diagnostic
728,2702,671,670,0.27611940298507465,0.19541080680977055,1.4130201266395297,0.0807085961753041,0.19850746268656716,0.14359733530717986,0.0549101273793873,-0.0027427068597770487,-0.019591121985739035,-0.009494103887839408,-0.01748251748251739,0.006751397028062359,1.2164286635159303,1,1,E_S3_all,baseline_raw,observed_failure_decision_date,raw_retained,all,risk_on,0.9217032967032966,671,57,5,1.8517536103743002,1.385164288084965,1.2794220303996997,0.031916080794554186,0.04420018345485924,0.06320460232696126,0.03833788003327269,0.0025337028652928084,-0.004619820348225363,1.8517536103743002,1.385164288084965,1.2794220303996997,not_stable_or_sample_blocked,diagnostic
460,1092,332,332,0.19578313253012047,0.184981684981685,1.0583919837766909,0.010801447548435483,0.08132530120481928,0.10073260073260074,-0.01940729952778146,-0.00424373444006709,-0.016793255365402493,-0.006058239824151848,-0.016200294550810068,0.001814505384084758,1.2638900559059638,0,0,E_S3_all,baseline_raw,observed_failure_decision_date,raw_retained,all,transition,0.7217391304347827,332,128,2,1.1965811965811965,1.186219739292365,0.7478632478632479,0.07777777777777778,-0.07161712987730545,0.04242424242424243,0.02201856034047659,0.007742336606483215,-0.029108661341466602,1.1965811965811965,1.186219739292365,0.7478632478632479,not_stable_or_sample_blocked,diagnostic
431,967,302,302,0.26490066225165565,0.20165460186142709,1.3136355917812874,0.06324606039022856,0.2119205298013245,0.1778697001034126,0.0340508296979119,0.014786391301114804,-0.007102788651680847,-0.011385344413763347,-0.021929824561403466,0.02617173571487815,1.5529074206722304,0,0,E_S3_all,baseline_raw,observed_failure_decision_date,raw_retained,train,all,0.7006960556844548,302,129,2,1.3136355917812874,0.935424175483471,1.1525896035175212,0.0340508296979119,-0.01473234866121012,0.04786132165722275,0.02617173571487815,-0.006927130170306666,-0.004375212147752298,1.3136355917812874,0.935424175483471,1.1525896035175212,not_stable_or_sample_blocked,diagnostic
114,169,74,74,0.06756756756756757,0.23076923076923078,0.2927927927927928,-0.1632016632016632,0.20270270270270271,0.1952662721893491,0.0074364305133536035,-0.00335806238561305,-0.011983240223463698,0.00017836802271864723,0.0059880239520957446,-0.003536430408331697,1.065414456504722,0,0,E_S3_all,baseline_raw,observed_failure_decision_date,raw_retained,train,risk_off,0.6491228070175439,74,40,0,0.2927927927927928,0.4138948225002543,0.874000761324705,0.0074364305133536035,0.010602505018519032,0.03151837856406732,-0.003536430408331697,-0.056266246877536695,-0.010318688582437119,0.2927927927927928,0.4138948225002543,0.874000761324705,not_stable_or_sample_blocked,diagnostic
206,618,174,174,0.3505747126436782,0.18932038834951456,1.8517536103743002,0.16125432429416361,0.2471264367816092,0.215210355987055,0.031916080794554186,0.023765504727883597,-0.0018028866467237892,-0.014572375305389093,-0.024516129032258083,0.03833788003327269,1.6277683213252188,0,0,E_S3_all,baseline_raw,observed_failure_decision_date,raw_retained,train,risk_on,0.8446601941747572,174,32,2,1.8517536103743002,1.385164288084965,1.2794220303996997,0.031916080794554186,0.04420018345485924,0.06320460232696126,0.03833788003327269,0.0025337028652928084,-0.004619820348225363,1.8517536103743002,1.385164288084965,1.2794220303996997,not_stable_or_sample_blocked,diagnostic
111,180,54,54,0.25925925925925924,0.21666666666666667,1.1965811965811965,0.04259259259259257,0.1111111111111111,0.03333333333333333,0.07777777777777778,0.010718314200375759,-0.015755480355024776,-0.011300246140100834,-0.021929824561403466,0.02201856034047659,1.6341105661996087,0,0,E_S3_all,baseline_raw,observed_failure_decision_date,raw_retained,train,transition,0.4864864864864865,54,57,0,1.1965811965811965,1.186219739292365,0.7478632478632479,0.07777777777777778,-0.07161712987730545,0.04242424242424243,0.02201856034047659,0.007742336606483215,-0.029108661341466602,1.1965811965811965,1.186219739292365,0.7478632478632479,not_stable_or_sample_blocked,diagnostic
529,1441,423,423,0.15839243498817968,0.1693268563497571,0.935424175483471,-0.010934421361577434,0.13238770685579196,0.14712005551700208,-0.01473234866121012,-0.022080483728029544,-0.023965141612200314,-0.015153353557722878,-0.021479713603818618,-0.006927130170306666,0.9131644663653308,0,0,E_S3_all,baseline_raw,observed_failure_decision_date,raw_retained,validation,all,0.7996219281663516,423,106,5,1.3136355917812874,0.935424175483471,1.1525896035175212,0.0340508296979119,-0.01473234866121012,0.04786132165722275,0.02617173571487815,-0.006927130170306666,-0.004375212147752298,1.3136355917812874,0.935424175483471,1.1525896035175212,not_stable_or_sample_blocked,diagnostic
174,313,113,113,0.11504424778761062,0.2779552715654952,0.4138948225002543,-0.16291102377788458,0.1415929203539823,0.13099041533546327,0.010602505018519032,-0.011023399495027716,-0.01276595744680864,0.04524284738250898,0.03167420814479627,-0.056266246877536695,0.9528557954432373,0,0,E_S3_all,baseline_raw,observed_failure_decision_date,raw_retained,validation,risk_off,0.6494252873563219,113,61,0,0.2927927927927928,0.4138948225002543,0.874000761324705,0.0074364305133536035,0.010602505018519032,0.03151837856406732,-0.003536430408331697,-0.056266246877536695,-0.010318688582437119,0.2927927927927928,0.4138948225002543,0.874000761324705,not_stable_or_sample_blocked,diagnostic
