arm_order,arm_id,model_seed,config_id,planned,primary_or_sensitivity,attempt_n,selected_batch_size,job_status,checkpoint_produced,failure_reason
0,D0_R2_RAW_EXACT_REPLAY,20260713,84df7eea731276b159d70dbd0839975035a112cb3c76b8d20e4680f659eee4e8,True,primary,1,256,complete,True,
0,D0_R2_RAW_EXACT_REPLAY,20260714,84df7eea731276b159d70dbd0839975035a112cb3c76b8d20e4680f659eee4e8,True,primary,1,256,complete,True,
0,D0_R2_RAW_EXACT_REPLAY,20260715,84df7eea731276b159d70dbd0839975035a112cb3c76b8d20e4680f659eee4e8,True,primary,1,256,complete,True,
1,D1_R2_RETURN_PATH_CSZ_ONLY,20260713,5c5a1212d66524fad8ae5a71b27874975074ee03af117228d0e6429db2adf55a,True,primary,1,256,complete,True,
1,D1_R2_RETURN_PATH_CSZ_ONLY,20260714,5c5a1212d66524fad8ae5a71b27874975074ee03af117228d0e6429db2adf55a,True,primary,1,256,complete,True,
1,D1_R2_RETURN_PATH_CSZ_ONLY,20260715,5c5a1212d66524fad8ae5a71b27874975074ee03af117228d0e6429db2adf55a,True,primary,1,256,complete,True,
2,D2_R2_GRADBAL_ONLY,20260713,0f2bb23aea6233940ada4524a2dec453fd7956c426668adfb676b06490963b69,True,primary,1,256,complete,True,
2,D2_R2_GRADBAL_ONLY,20260714,0f2bb23aea6233940ada4524a2dec453fd7956c426668adfb676b06490963b69,True,primary,1,256,complete,True,
2,D2_R2_GRADBAL_ONLY,20260715,0f2bb23aea6233940ada4524a2dec453fd7956c426668adfb676b06490963b69,True,primary,1,256,complete,True,
3,D3_R2_ST_HARD_ONLY,20260713,b37701d11fd1b2e9d5d995e675a04d0332a2b7ef83569182686aa908f35762a4,True,primary,1,256,complete,True,
3,D3_R2_ST_HARD_ONLY,20260714,b37701d11fd1b2e9d5d995e675a04d0332a2b7ef83569182686aa908f35762a4,True,primary,1,256,complete,True,
3,D3_R2_ST_HARD_ONLY,20260715,b37701d11fd1b2e9d5d995e675a04d0332a2b7ef83569182686aa908f35762a4,True,primary,1,256,complete,True,
4,D4_R2_REPAIR_COMBINED_V1,20260713,fd743836b46d6681c12008b8f84b4b3965479d405035dee1764919e56feb0d22,True,primary,1,256,complete,True,
4,D4_R2_REPAIR_COMBINED_V1,20260714,fd743836b46d6681c12008b8f84b4b3965479d405035dee1764919e56feb0d22,True,primary,1,256,complete,True,
4,D4_R2_REPAIR_COMBINED_V1,20260715,fd743836b46d6681c12008b8f84b4b3965479d405035dee1764919e56feb0d22,True,primary,1,256,complete,True,
5,D5_K2_RAW_NO_RESIDUAL,20260713,6132128ea864eda9d3ba57fff48570b38a9d08f717c8eae28a35858cc44fdc5b,True,primary,1,256,complete,True,
5,D5_K2_RAW_NO_RESIDUAL,20260714,6132128ea864eda9d3ba57fff48570b38a9d08f717c8eae28a35858cc44fdc5b,True,primary,1,256,complete,True,
5,D5_K2_RAW_NO_RESIDUAL,20260715,6132128ea864eda9d3ba57fff48570b38a9d08f717c8eae28a35858cc44fdc5b,True,primary,1,256,complete,True,
6,D6_R1_RAW_MLP_RESIDUAL,20260713,db22c5950d9736aebdfbccfd45abb62b92aa9bfdfd36659f5b8470312f2c7c2c,True,primary,1,256,complete,True,
6,D6_R1_RAW_MLP_RESIDUAL,20260714,db22c5950d9736aebdfbccfd45abb62b92aa9bfdfd36659f5b8470312f2c7c2c,True,primary,1,256,complete,True,
6,D6_R1_RAW_MLP_RESIDUAL,20260715,db22c5950d9736aebdfbccfd45abb62b92aa9bfdfd36659f5b8470312f2c7c2c,True,primary,1,256,complete,True,
