,0
1day.excess_return_with_cost.max_drawdown,-0.1899777139202876
1day.ffr,1.0
ICIR,0.049792074306823135
1day.pos,0.0
1day.excess_return_without_cost.information_ratio,-0.07998600877126665
1day.excess_return_without_cost.max_drawdown,-0.16400908326082253
1day.pa,0.0
l2.valid,0.99658922089171
Rank ICIR,0.05165638430594055
IC,0.005211288249234129
1day.excess_return_with_cost.mean,-0.00022684728446370093
Rank IC,0.005574071391943638
1day.excess_return_with_cost.information_ratio,-0.7063600597038844
1day.excess_return_with_cost.annualized_return,-0.05398965370236082
1day.excess_return_without_cost.mean,-2.5685823114823045e-05
1day.excess_return_without_cost.annualized_return,-0.006113225901327885
1day.excess_return_with_cost.std,0.004954455462534659
l2.train,0.9799087448204256
1day.excess_return_without_cost.std,0.0049541361708496205
