artifact_id,resolved_path,required_flag,lineage_role,row_count,column_count,sha256,read_status,schema_status
requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/requirement_13g_event_survival_opportunity_and_defense_overlay_diagnostic.md,True,run_config_input,,1.0,ca4d0eeda9139e06f5599cf32ec9e1912a9f79cb49ef231ff4cddf2171617aef,pass,pass
upstream_requirement_13a3,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/requirement_13a3_compression_repair_state_cost_and_native_feasibility_diagnostic.md,True,run_config_input,,1.0,586a5f300ea3a2be49ff8ae6c169c7a68c7ae34e79c7aa9f3983dad9d71b03e3,pass,pass
upstream_requirement_13c,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/requirement_13c_morphology_orthogonal_residual_importance_diagnostic.md,True,run_config_input,,1.0,807718a7467b160dafe861c3f2dbc6ccfeebe08211ab6a22ba8849448a1bbcb9,pass,pass
upstream_requirement_13e,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/requirement_13e_nonlinear_winner_train_kfold_feasibility_diagnostic.md,True,run_config_input,,1.0,1341068082d3ce81b40d4c4b3426affb6fd7c2545824416f2d0149aa84c05093,pass,pass
upstream_requirement_13f,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/requirement_13f_early_path_confirmation_delayed_entry_train_diagnostic.md,True,run_config_input,,1.0,b807483e71eebeb024eb252422ce14c5e7cf4da6ac5c5b0419a7afb681f060a6,pass,pass
upstream_13c_config,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/configs/config_13c_morphology_orthogonal_residual_importance_diagnostic.yaml,True,upstream_13_lineage,,1.0,d2b5f81b3d453390a756c9e5f0fdd7a5dc8b51257f51e2245ce5ebb13251ffee,pass,pass
upstream_report_13c,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/reports/morphology_orthogonal_residual_importance_diagnostic_report.md,True,lineage_report_only_not_row_truth,,1.0,fa2ebc21214bb680677ee633a8414f9a9536a4130d86ec50fb95cabd0f33013b,pass,pass
upstream_report_13e,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/reports/nonlinear_winner_train_kfold_feasibility_diagnostic_report.md,True,lineage_report_only_not_row_truth,,1.0,24c11320c471da37a91703f548618b89986bd49e98995f4fc10619d5e66078b4,pass,pass
upstream_report_13f,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/reports/early_path_confirmation_delayed_entry_train_diagnostic_report.md,True,lineage_report_only_not_row_truth,,1.0,c5afc42a99e9f0ba93879c798fcc41e1f963bd37c1a48020f79c74d399f80ce7,pass,pass
upstream_13c_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/manifests/13C_morphology_orthogonal_residual_importance_diagnostic_manifest.json,True,upstream_13_lineage,,1.0,c5790b3f78a4bfca6bdff35d5b0cfc2212eafe61a02f3f532ae806e30bbeb7a2,pass,pass
upstream_13a3_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/compression_repair_state_feasibility_decision.csv,True,upstream_13_lineage,1.0,23.0,477722a7295b592931919b3cfb4d96356ec35960cd5a4bba0059edb14339ad0f,pass,pass
upstream_13c_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/morphology_orthogonal_residual_importance_decision.csv,True,upstream_13_lineage,1.0,24.0,67ec71e5a8b703ce365945461d40766effbd6a8d5a433f9585c2f25164eba57f,pass,pass
upstream_13c_feature_cluster_dictionary,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/feature_cluster_dictionary.csv,True,upstream_13_lineage,17.0,8.0,ef7661a83801a6c39aa43549281945c21707658ec966487de5c39602caa74329,pass,pass
upstream_13c_sample_uniqueness_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/sample_uniqueness_audit.csv,True,upstream_13_lineage,18.0,17.0,e198b3b5613be63d6b7657cae823c155fc70ee0381338689e04a124fe957c515,pass,pass
upstream_13c_row_level_rebuild_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13C_morphology_orthogonal_residual_importance_diagnostic/row_level_rebuild_audit.csv,True,upstream_13_lineage,3.0,13.0,5af542f4f84d40bcf3528d3e4eeae8fd6fc9a805730ed1cf3f6565acd1892ea4,pass,pass
upstream_13c_morphology_residual_panel_cache,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13C_morphology_orthogonal_residual_importance_diagnostic/morphology_residual_panel.parquet,True,upstream_13_lineage,431239.0,136.0,6e8efa1053baa46cee39f1edd0568618e8bdb4212cd9e494b1dc89c9827ca3bf,pass,pass
