split_bucket,winner_before_fail_n,winner_retained_n,winner_opportunity_retained_rate,fail_before_winner_n,badside_avoided_n,badside_avoided_rate,badside_support_caveat,winner_retention_support_caveat
train,1173,122,0.10400682011935208,1837,1622,0.8829613500272183,False,False
validation,263,29,0.11026615969581749,630,540,0.8571428571428571,False,False
robustness,686,81,0.11807580174927114,570,477,0.8368421052631579,False,False
