split_bucket,up_threshold,down_threshold,horizon_sessions,touch_side,touch_n,median_time_to_hit,p25_time_to_hit,p75_time_to_hit
robustness,0.2,-0.2,20,upper,381,11.0,7.0,16.0
robustness,0.2,-0.2,20,lower,33,11.0,9.0,16.0
robustness,0.2,-0.2,60,upper,1298,30.0,18.0,43.0
robustness,0.2,-0.2,60,lower,182,44.0,28.0,52.0
robustness,0.2,-0.2,120,upper,2252,50.0,27.0,93.0
robustness,0.2,-0.2,120,lower,530,71.0,51.25,94.0
robustness,0.2,-0.15,20,upper,381,11.0,7.0,16.0
robustness,0.2,-0.15,20,lower,125,14.0,9.0,17.0
robustness,0.2,-0.15,60,upper,1298,30.0,18.0,43.0
robustness,0.2,-0.15,60,lower,570,36.0,24.0,45.0
robustness,0.2,-0.15,120,upper,2252,50.0,27.0,93.0
robustness,0.2,-0.15,120,lower,1186,62.0,37.0,87.0
robustness,0.2,-0.1,20,upper,381,11.0,7.0,16.0
robustness,0.2,-0.1,20,lower,510,12.0,8.0,16.0
robustness,0.2,-0.1,60,upper,1298,30.0,18.0,43.0
robustness,0.2,-0.1,60,lower,1454,29.0,16.0,39.0
robustness,0.2,-0.1,120,upper,2252,50.0,27.0,93.0
robustness,0.2,-0.1,120,lower,2180,39.0,22.0,71.0
robustness,0.3,-0.2,20,upper,133,14.0,10.0,17.0
robustness,0.3,-0.2,20,lower,33,11.0,9.0,16.0
robustness,0.3,-0.2,60,upper,686,35.0,23.0,48.0
robustness,0.3,-0.2,60,lower,182,44.0,28.0,52.0
robustness,0.3,-0.2,120,upper,1381,61.0,35.0,94.0
robustness,0.3,-0.2,120,lower,530,71.0,51.25,94.0
robustness,0.3,-0.15,20,upper,133,14.0,10.0,17.0
robustness,0.3,-0.15,20,lower,125,14.0,9.0,17.0
robustness,0.3,-0.15,60,upper,686,35.0,23.0,48.0
robustness,0.3,-0.15,60,lower,570,36.0,24.0,45.0
robustness,0.3,-0.15,120,upper,1381,61.0,35.0,94.0
robustness,0.3,-0.15,120,lower,1186,62.0,37.0,87.0
robustness,0.3,-0.1,20,upper,133,14.0,10.0,17.0
robustness,0.3,-0.1,20,lower,510,12.0,8.0,16.0
robustness,0.3,-0.1,60,upper,686,35.0,23.0,48.0
robustness,0.3,-0.1,60,lower,1454,29.0,16.0,39.0
robustness,0.3,-0.1,120,upper,1381,61.0,35.0,94.0
robustness,0.3,-0.1,120,lower,2180,39.0,22.0,71.0
robustness,0.5,-0.2,20,upper,24,15.5,12.75,19.0
robustness,0.5,-0.2,20,lower,33,11.0,9.0,16.0
robustness,0.5,-0.2,60,upper,214,44.0,29.0,53.0
robustness,0.5,-0.2,60,lower,182,44.0,28.0,52.0
robustness,0.5,-0.2,120,upper,625,77.0,52.0,96.0
robustness,0.5,-0.2,120,lower,530,71.0,51.25,94.0
robustness,0.5,-0.15,20,upper,24,15.5,12.75,19.0
robustness,0.5,-0.15,20,lower,125,14.0,9.0,17.0
robustness,0.5,-0.15,60,upper,214,44.0,29.0,53.0
robustness,0.5,-0.15,60,lower,570,36.0,24.0,45.0
robustness,0.5,-0.15,120,upper,625,77.0,52.0,96.0
robustness,0.5,-0.15,120,lower,1186,62.0,37.0,87.0
robustness,0.5,-0.1,20,upper,24,15.5,12.75,19.0
robustness,0.5,-0.1,20,lower,510,12.0,8.0,16.0
robustness,0.5,-0.1,60,upper,214,44.0,29.0,53.0
robustness,0.5,-0.1,60,lower,1454,29.0,16.0,39.0
robustness,0.5,-0.1,120,upper,625,77.0,52.0,96.0
robustness,0.5,-0.1,120,lower,2180,39.0,22.0,71.0
train,0.2,-0.2,20,upper,979,11.0,8.0,15.0
train,0.2,-0.2,20,lower,234,15.0,12.0,17.0
train,0.2,-0.2,60,upper,2086,22.0,12.0,35.0
train,0.2,-0.2,60,lower,931,38.0,20.0,49.0
train,0.2,-0.2,120,upper,2638,28.0,14.0,50.75
train,0.2,-0.2,120,lower,1927,62.0,38.0,92.0
train,0.2,-0.15,20,upper,979,11.0,8.0,15.0
train,0.2,-0.15,20,lower,598,15.0,11.0,17.0
train,0.2,-0.15,60,upper,2086,22.0,12.0,35.0
train,0.2,-0.15,60,lower,1857,29.0,17.0,45.0
train,0.2,-0.15,120,upper,2638,28.0,14.0,50.75
