lineage_check_id,observed_value,expected_value,status,source_artifact
13a3.decision_state,13A3_selected_composite_state_not_supported,13A3_selected_composite_state_not_supported,pass,upstream_13a3_decision
13a3.selected_state_id,repair_range_participation_core_30,repair_range_participation_core_30,pass,upstream_13a3_decision
13a3.sequence_mining_authorized,False,False,pass,upstream_13a3_decision
13c.decision_state,13C_stop_residual_probability_only_no_utility,13C_stop_residual_probability_only_no_utility,pass,upstream_13c_decision
13c.selected_state_id,repair_range_participation_core_30,repair_range_participation_core_30,pass,upstream_13c_decision
13c.meta_labeling_authorized,False,False,pass,upstream_13c_decision
13c.bet_sizing_authorized,False,False,pass,upstream_13c_decision
13e.decision_state,13E_stop_no_nonlinear_auc_improvement,13E_stop_no_nonlinear_auc_improvement,pass,upstream_13e_decision
13e.selected_state_id,repair_range_participation_core_30,repair_range_participation_core_30,pass,upstream_13e_decision
13e.meta_labeling_authorized,False,False,pass,upstream_13e_decision
13e.bet_sizing_authorized,False,False,pass,upstream_13e_decision
13f.decision_state,13F_stop_no_delayed_utility_improvement,13F_stop_no_delayed_utility_improvement,pass,upstream_13f_decision
13f.selected_state_id,repair_range_participation_core_30,repair_range_participation_core_30,pass,upstream_13f_decision
13f.meta_labeling_authorized,False,False,pass,upstream_13f_decision
13f.bet_sizing_authorized,False,False,pass,upstream_13f_decision
13c_panel.full_split_coverage,robustness;train;validation,train;validation;robustness,pass,upstream_13c_morphology_residual_panel_cache
13c_panel.selected_membership_available,repair_range_participation_core_30,repair_range_participation_core_30,pass,upstream_13c_morphology_residual_panel_cache
13c_panel.row_id_unique,unique,unique,pass,upstream_13c_morphology_residual_panel_cache
13f.row_membership_used,False,False,pass,upstream_13f_decision
13c.row_level_rebuild_audit_all_pass,0,0,pass,upstream_13c_row_level_rebuild_audit
13c_manifest.readable,readable,readable,pass,upstream_13c_manifest
13c_cache.morphology_residual_panel.manifest_schema_hash,6c980cae1dcf516620b03f74d194cba11128f86f465e294ce3e9b02fdc242a23,6c980cae1dcf516620b03f74d194cba11128f86f465e294ce3e9b02fdc242a23,pass,upstream_13c_manifest
13c_output.morphology_orthogonal_residual_importance_decision.manifest_sha256,67ec71e5a8b703ce365945461d40766effbd6a8d5a433f9585c2f25164eba57f,67ec71e5a8b703ce365945461d40766effbd6a8d5a433f9585c2f25164eba57f,pass,upstream_13c_manifest
13c_output.feature_cluster_dictionary.manifest_sha256,ef7661a83801a6c39aa43549281945c21707658ec966487de5c39602caa74329,ef7661a83801a6c39aa43549281945c21707658ec966487de5c39602caa74329,pass,upstream_13c_manifest
13c_output.sample_uniqueness_audit.manifest_sha256,e198b3b5613be63d6b7657cae823c155fc70ee0381338689e04a124fe957c515,e198b3b5613be63d6b7657cae823c155fc70ee0381338689e04a124fe957c515,pass,upstream_13c_manifest
13c_output.row_level_rebuild_audit.manifest_sha256,5af542f4f84d40bcf3528d3e4eeae8fd6fc9a805730ed1cf3f6565acd1892ea4,5af542f4f84d40bcf3528d3e4eeae8fd6fc9a805730ed1cf3f6565acd1892ea4,pass,upstream_13c_manifest
