split_bucket,up_threshold,down_threshold,horizon_sessions,endpoint_id,raw_event_n,analysis_event_n,analysis_event_fraction,evaluable_n,not_evaluable_n,entry_not_executable_n,entry_price_missing_n,max_horizon_path_incomplete_n,split_lineage_missing_n,qfq_bar_mapping_missing_n,rate_denominator,upper_hit_rate,lower_hit_rate,winner_before_fail_rate,fail_before_winner_rate,survive_without_fail_rate,opportunity_without_fail_rate,upper_first_winner_before_fail_rate,upper_first_fail_before_winner_rate,upper_first_minus_lower_first_winner_rate_delta,upper_first_minus_lower_first_fail_rate_delta,median_time_to_upper,median_time_to_lower,terminal_return_mean,mfe_return_mean,mae_return_mean,same_bar_ambiguous_rate
train,0.2,-0.2,20,up_0p2_before_down_m0p2_H20,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.15709242618741978,0.03754813863928113,0.15709242618741978,0.03754813863928113,0.9624518613607189,0.15709242618741978,0.15709242618741978,0.03754813863928113,0.0,0.0,11.0,15.0,0.023086047077564606,0.10892338062509434,-0.06412811131674877,0.0
train,0.2,-0.2,60,up_0p2_before_down_m0p2_H60,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.33472400513478817,0.14939024390243902,0.3313543003851091,0.14602053915275995,0.850609756097561,0.3313543003851091,0.3313543003851091,0.14602053915275995,0.0,0.0,22.0,38.0,-0.00776395367016253,0.1827530186018949,-0.11290164030630798,0.0
train,0.2,-0.2,120,up_0p2_before_down_m0p2_H120,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.4232991014120667,0.3092105263157895,0.40709242618741975,0.2870667522464698,0.6907894736842105,0.40709242618741975,0.40709242618741975,0.2870667522464698,0.0,0.0,28.0,62.0,0.0040064813373430885,0.23595223036093382,-0.15389593670581658,0.0
train,0.2,-0.15,20,up_0p2_before_down_m0p15_H20,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.15709242618741978,0.09595635430038511,0.15677150192554556,0.09595635430038511,0.9040436456996149,0.15677150192554556,0.15677150192554556,0.09595635430038511,0.0,0.0,11.0,15.0,0.023086047077564606,0.10892338062509434,-0.06412811131674877,0.0
train,0.2,-0.15,60,up_0p2_before_down_m0p15_H60,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.33472400513478817,0.29797817715019254,0.3236521181001284,0.2886713735558408,0.7020218228498074,0.3236521181001284,0.3236521181001284,0.2886713735558408,0.0,0.0,22.0,29.0,-0.00776395367016253,0.1827530186018949,-0.11290164030630798,0.0
train,0.2,-0.15,120,up_0p2_before_down_m0p15_H120,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.4232991014120667,0.47175866495507063,0.3881578947368421,0.42811296534017973,0.5282413350449294,0.3881578947368421,0.3881578947368421,0.42811296534017973,0.0,0.0,28.0,48.0,0.0040064813373430885,0.23595223036093382,-0.15389593670581658,0.0
train,0.2,-0.1,20,up_0p2_before_down_m0p1_H20,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.15709242618741978,0.20362644415917844,0.15532734274711169,0.20282413350449294,0.7963735558408216,0.15532734274711169,0.15532734274711169,0.20282413350449294,0.0,0.0,11.0,14.0,0.023086047077564606,0.10892338062509434,-0.06412811131674877,0.0
train,0.2,-0.1,60,up_0p2_before_down_m0p1_H60,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.33472400513478817,0.491816431322208,0.3064826700898588,0.47175866495507063,0.508183568677792,0.3064826700898588,0.3064826700898588,0.47175866495507063,0.0,0.0,22.0,25.0,-0.00776395367016253,0.1827530186018949,-0.11290164030630798,0.0
train,0.2,-0.1,120,up_0p2_before_down_m0p1_H120,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.4232991014120667,0.6312580231065469,0.3478818998716303,0.5606546854942234,0.36874197689345317,0.3478818998716303,0.3478818998716303,0.5606546854942234,0.0,0.0,28.0,31.0,0.0040064813373430885,0.23595223036093382,-0.15389593670581658,0.0
train,0.3,-0.2,20,up_0p3_before_down_m0p2_H20,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.07461489088575096,0.03754813863928113,0.07461489088575096,0.03754813863928113,0.9624518613607189,0.07461489088575096,0.07461489088575096,0.03754813863928113,0.0,0.0,12.0,15.0,0.023086047077564606,0.10892338062509434,-0.06412811131674877,0.0
train,0.3,-0.2,60,up_0p3_before_down_m0p2_H60,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.19383825417201542,0.14939024390243902,0.19207317073170732,0.14794608472400514,0.850609756097561,0.19207317073170732,0.19207317073170732,0.14794608472400514,0.0,0.0,26.0,38.0,-0.00776395367016253,0.1827530186018949,-0.11290164030630798,0.0
train,0.3,-0.2,120,up_0p3_before_down_m0p2_H120,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.26957637997432604,0.3092105263157895,0.2604300385109114,0.30231065468549423,0.6907894736842105,0.2604300385109114,0.2604300385109114,0.30231065468549423,0.0,0.0,36.0,62.0,0.0040064813373430885,0.23595223036093382,-0.15389593670581658,0.0
train,0.3,-0.15,20,up_0p3_before_down_m0p15_H20,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.07461489088575096,0.09595635430038511,0.07445442875481387,0.09595635430038511,0.9040436456996149,0.07445442875481387,0.07445442875481387,0.09595635430038511,0.0,0.0,12.0,15.0,0.023086047077564606,0.10892338062509434,-0.06412811131674877,0.0
train,0.3,-0.15,60,up_0p3_before_down_m0p15_H60,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.19383825417201542,0.29797817715019254,0.18822207958921694,0.2947689345314506,0.7020218228498074,0.18822207958921694,0.18822207958921694,0.2947689345314506,0.0,0.0,26.0,29.0,-0.00776395367016253,0.1827530186018949,-0.11290164030630798,0.0
train,0.3,-0.15,120,up_0p3_before_down_m0p15_H120,6232,6232,1.0,6232,0,0,0,0,0,0,6232,0.26957637997432604,0.47175866495507063,0.24695121951219512,0.4579589216944801,0.5282413350449294,0.24695121951219512,0.24695121951219512,0.4579589216944801,0.0,0.0,36.0,48.0,0.0040064813373430885,0.23595223036093382,-0.15389593670581658,0.0
