selected_state_id,split_bucket,raw_event_n,analysis_event_n,analysis_event_fraction,entry_not_executable_n,entry_price_missing_n,max_horizon_path_incomplete_n,split_lineage_missing_n,qfq_bar_mapping_missing_n,selected_membership_source,13f_row_level_used,row_level_rebuild_gate_status
repair_range_participation_core_30,train,6232,6232,1.0,0,0,0,0,0,13C_full_split_morphology_residual_panel,False,pass
repair_range_participation_core_30,validation,2627,2627,1.0,0,0,0,0,0,13C_full_split_morphology_residual_panel,False,pass
repair_range_participation_core_30,robustness,4813,4813,1.0,0,0,0,0,0,13C_full_split_morphology_residual_panel,False,pass
