comparison_id,decision_date,lhs_monthly_return,rhs_monthly_return,paired_delta,lhs_evaluable,rhs_evaluable,paired_evaluable,event_month_posthoc,missing_reason,run_id,contract_version
MODEL__D10__L000__STOP05__GROSS,2024-07-31,-0.026392983573,-0.0355823576611,0.00918937408804,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2024-08-30,0.0557980009197,0.0302549534719,0.0255430474478,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2024-09-30,-0.0201792525406,-0.0221713179827,0.00199206544208,True,True,True,True,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2024-10-31,0.0136965988093,0.00446495818265,0.00923164062662,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2024-11-29,0.0365357490583,0.0246342281356,0.0119015209227,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2024-12-31,-0.0335723175858,-0.0401268438921,0.00655452630629,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2025-01-27,-0.0203752192236,-0.00828717966853,-0.012088039555,True,True,True,True,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2025-02-28,0.0164732592267,-0.0160097718944,0.0324830311211,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2025-03-31,-0.020639408636,-0.0455132255201,0.0248738168841,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2025-04-30,0.0323026539393,-0.0106590799594,0.0429617338987,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2025-05-30,0.039389599002,0.0399254074003,-0.000535808398252,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2025-06-30,-0.00200754318465,0.0197625502625,-0.0217700934471,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2025-07-31,0.0109606442913,0.105037866849,-0.0940772225579,True,True,True,True,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2025-08-29,-0.0293113334151,-0.0218750189361,-0.00743631447902,True,True,True,True,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2025-09-30,0.0289120632578,-0.0380608618025,0.0669729250603,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2025-10-31,-0.0186935124697,-0.0419902048093,0.0232966923396,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2025-11-28,0.00721554330649,0.0292216654605,-0.022006122154,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__GROSS,2025-12-31,0.0250216397092,0.0635139679282,-0.038492328219,True,True,True,False,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
