policy_id,cost_scenario_id,terminal_mark_date,open_position_n,open_position_weight,open_position_notional_cny,sell_commission_cny,sell_stamp_tax_cny,sell_transfer_fee_cny,sell_slippage_cny,total_shadow_cost_cny,live_final_NAV,liquidation_adjusted_final_NAV,live_nav_compound_return,liquidation_adjusted_compound_return,live_nav_break_even_slippage_bps,live_nav_break_even_status,liquidation_adjusted_break_even_slippage_bps,liquidation_adjusted_break_even_status,historical_support_claim_allowed,deployment_authorized,source_table_content_hash,run_id,contract_version
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,2026-04-30,17,0.423573370916,4292731,0,0,0,0,0,10134562.9701,10134562.9701,0.013456297008,0.013456297008,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,False,False,0107a66139fa9f9f492a30699d4540f8436a3cfb50bee91e5fde8f2593abad8d,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP000,2026-04-30,17,0.42939142922,4292731,1073.18275,2146.3655,42.92731,0,3262.47556,9997244.25752,9993981.78196,-0.000275574247758,-0.000601821803758,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,False,False,ce508c8f7137034062b6432ac809ad9eebe13adfd9b05029ca47d0f801f254bd,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP005,2026-04-30,17,0.435278968051,4292731,1073.18275,2146.3655,42.92731,2146.3655,5408.84106,9862022.55354,9856613.71248,-0.0137977446463,-0.0143386287523,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,False,False,273885529b4f023f399f961988e5689962cecd9938502642ae3a4c987800b37e,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP010,2026-04-30,17,0.441330203671,4292731,1073.18275,2146.3655,42.92731,4292.731,7555.20656,9726800.84955,9719245.64299,-0.0273199150448,-0.0280754357008,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,False,False,4e7ad4e1b07ca286739f76faf8a8d2967f4fa4ce03c20fd928379b14826047bc,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP020,2026-04-30,17,0.453951854773,4292731,1073.18275,2146.3655,42.92731,8585.462,11847.93756,9456357.44158,9444509.50402,-0.0543642558418,-0.0555490495978,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,False,False,5b1416925d5d8e6b760e23412afdc64aa2c5dcf523c012aa439b531b1df861ba,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP040,2026-04-30,17,0.481492360892,4292731,1073.18275,2146.3655,42.92731,17170.924,20433.39956,8915470.62564,8895037.22608,-0.108452937436,-0.110496277392,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,False,False,cc0236570c5514d9cc9848c0c339c033fb6c8b9847fb1893b382320b8b1a1fe2,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP10,GROSS,2026-04-30,37,0.848749899475,9703612,0,0,0,0,0,11432828.4528,11432828.4528,0.143282845276,0.143282845276,57.2078183213,root_found,54.5863872649,root_found,False,False,88126cd13170e5ebb20fc7698099b0015b3e49cba5c44ef0bf0d6399a4135836,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP10,SLIP000,2026-04-30,37,0.85744598472,9703612,2425.903,4851.806,97.03612,0,7374.74512,11316878.4657,11309503.7206,0.131687846573,0.130950372061,57.2078183213,root_found,54.5863872649,root_found,False,False,12e697a07c634f4c5dc580b4e35f16024a71df6c0ab55d3e83fd4af5741f239b,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP10,SLIP005,2026-04-30,37,0.866256066741,9703612,2425.903,4851.806,97.03612,4851.806,12226.55112,11201782.4435,11189555.8924,0.12017824435,0.118955589238,57.2078183213,root_found,54.5863872649,root_found,False,False,b186ae1150c109a7f7cbdff7b5c767a11c382e36550a986ff11b1d9098ad8b6a,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP10,SLIP010,2026-04-30,37,0.87524907184,9703612,2425.903,4851.806,97.03612,9703.612,17078.35712,11086686.4213,11069608.0642,0.108668642128,0.106960806416,57.2078183213,root_found,54.5863872649,root_found,False,False,8471b7d95241d0744e9b78cbb96233c694f5e9de5abd15ad3697ceb05abf4bd7,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
