comparison_id,month_scope,paired_month_n,required_calendar_month_n,mean_delta,median_delta,win_month_rate,worst_delta,bootstrap_method,rng_bit_generator,seed,block_length_months,sampled_block_n,repetitions,bootstrap_statistic,quantile_method,CI_lower,CI_median,CI_upper,status,missing_reason,run_id,contract_version
MODEL__D10__L000__STOP05__GROSS,all,21,21,0.00338330459756,0.00655452630629,0.619047619048,-0.0940772225579,circular_moving_block_bootstrap_paired_monthly_mean,PCG64,20260716,3,7,20000,paired_mean_monthly_delta,linear,-0.0118104938884,0.00384640368206,0.0158854995899,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__SLIP000,all,21,21,0.00344994172717,0.00666028437059,0.619047619048,-0.0947181563113,circular_moving_block_bootstrap_paired_monthly_mean,PCG64,20260716,3,7,20000,paired_mean_monthly_delta,linear,-0.0114666544713,0.00383645887003,0.016283572067,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__SLIP005,all,21,21,0.003519861685,0.0067855117337,0.619047619048,-0.0953526128289,circular_moving_block_bootstrap_paired_monthly_mean,PCG64,20260716,3,7,20000,paired_mean_monthly_delta,linear,-0.011657669637,0.0039960824246,0.0164488964528,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__SLIP010,all,21,21,0.00359146804297,0.00691125863352,0.619047619048,-0.0959965056528,circular_moving_block_bootstrap_paired_monthly_mean,PCG64,20260716,3,7,20000,paired_mean_monthly_delta,linear,-0.0116600404932,0.00399830914141,0.0164709580184,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__SLIP020,all,21,21,0.00373999170682,0.0071643190633,0.666666666667,-0.0973134611563,circular_moving_block_bootstrap_paired_monthly_mean,PCG64,20260716,3,7,20000,paired_mean_monthly_delta,linear,-0.0117690679155,0.00429773943584,0.0170932154014,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP05__SLIP040,all,21,21,0.00406023189345,0.00767676159378,0.571428571429,-0.100070459021,circular_moving_block_bootstrap_paired_monthly_mean,PCG64,20260716,3,7,20000,paired_mean_monthly_delta,linear,-0.0117185502739,0.00436052090554,0.0178583011949,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP10__GROSS,all,21,21,-0.000882605629199,0.00834350497924,0.52380952381,-0.120313607056,circular_moving_block_bootstrap_paired_monthly_mean,PCG64,20260716,3,7,20000,paired_mean_monthly_delta,linear,-0.0222620960213,-0.000726672593875,0.0183671717612,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP10__SLIP000,all,21,21,-0.000896710287867,0.00839139289946,0.52380952381,-0.121073452348,circular_moving_block_bootstrap_paired_monthly_mean,PCG64,20260716,3,7,20000,paired_mean_monthly_delta,linear,-0.0226110998246,-0.000586754336797,0.0185542192556,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP10__SLIP005,all,21,21,-0.000907608254968,0.00842307534697,0.52380952381,-0.121823585864,circular_moving_block_bootstrap_paired_monthly_mean,PCG64,20260716,3,7,20000,paired_mean_monthly_delta,linear,-0.0227826504493,-0.00074063639351,0.0186814543687,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MODEL__D10__L000__STOP10__SLIP010,all,21,21,-0.000918961225663,0.00845475779448,0.52380952381,-0.12258352098,circular_moving_block_bootstrap_paired_monthly_mean,PCG64,20260716,3,7,20000,paired_mean_monthly_delta,linear,-0.0225197120541,-0.000591077962056,0.0190874639887,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
